Country;Video;Frame;Num_Groups;Groups
Brazil - BR;BR-03;1;7;[1  2  3  4  5  6], [7  8  9], [10  11  12  13  14], [15  16  17], [19  20  21], [21  22  23  24], [26  28  29]
Brazil - BR;BR-03;2;5;[2  3  4], [7  8], [15  16  17], [21  23  24], [26  28  29]
Brazil - BR;BR-03;3;6;[2  3  4  5  6], [7  8  9], [12  13  14], [15  16  17], [21  23  24], [26  28]
Brazil - BR;BR-03;4;5;[2  3  4  5  6], [7  8], [12  13  14], [15  16  17], [21  23  24]
Brazil - BR;BR-03;5;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  23  24], [26  27], [28  29]
Brazil - BR;BR-03;6;8;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  23  24], [28  29]
Brazil - BR;BR-03;7;9;[1  2  3  5], [4  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  23  24], [28  29]
Brazil - BR;BR-03;8;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  23  24], [28  29]
Brazil - BR;BR-03;9;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  28  29]
Brazil - BR;BR-03;10;9;[1  2  3  4  5  6], [4  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27  28  29]
Brazil - BR;BR-03;11;9;[1  2], [3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27  28  29]
Brazil - BR;BR-03;12;9;[2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;13;9;[2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;14;9;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;15;10;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [24  25], [26  27], [28  29]
Brazil - BR;BR-03;16;10;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23], [24  25], [26  27], [28  29]
Brazil - BR;BR-03;17;10;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [24  25], [26  27], [28  29]
Brazil - BR;BR-03;18;10;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [24  25], [26  27], [28  29]
Brazil - BR;BR-03;19;9;[2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;20;9;[2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;21;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;22;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;23;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;24;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;25;10;[1  2  3  4  5  6], [4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;26;10;[1  2  3  4  5  6], [4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24], [26  27], [28  29]
Brazil - BR;BR-03;27;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;28;9;[2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;29;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;30;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;31;8;[1  2  3  4  5  6], [8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;32;8;[1  2  3  4  5  6], [7  8], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;33;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;34;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;35;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;36;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;37;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;38;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;39;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;40;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;41;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;42;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;43;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;44;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;45;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;46;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;47;8;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27  28  29]
Brazil - BR;BR-03;48;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;49;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;50;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;51;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;52;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
Brazil - BR;BR-03;53;9;[1  2  3  4  5  6], [7  8  9], [10  11], [12  13  14], [15  16  17], [19  20], [21  22  23  24  25], [26  27], [28  29]
