Country;Video;Frame;Num_Groups;Groups
China - CN;CN-04;1;7;[2  3], [4  5  6], [8   9  10], [12  13], [14  16  17], [17  18], [23  24]
China - CN;CN-04;2;4;[4  5  6], [9  10], [12  13], [16  17]
China - CN;CN-04;3;2;[8  9], [12  13]
China - CN;CN-04;4;3;[2  3], [14  16  17], [23  24]
China - CN;CN-04;5;5;[2  3], [9  10], [12  13], [16  17], [23  24]
China - CN;CN-04;6;5;[2  3], [9  10], [12  13], [16  17], [23  24]
China - CN;CN-04;7;6;[2  3], [9  10], [12  13], [16  17], [20  21], [23  24]
China - CN;CN-04;8;6;[2  3], [9  10], [12  13], [16  17], [20  21], [23  24]
China - CN;CN-04;9;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;10;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;11;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;12;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;13;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;14;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;15;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;16;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;17;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;18;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;19;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;20;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;21;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;22;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;23;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;24;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;25;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;26;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;27;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;28;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;29;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;30;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;31;5;[2  3], [9  10], [16  17  18], [20  21], [23  24]
China - CN;CN-04;32;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;33;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;34;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;35;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;36;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;37;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;38;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;39;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;40;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;41;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;42;6;[2  3], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;43;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;44;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;45;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;46;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;47;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;48;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;49;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;50;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;51;7;[2  3], [5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;52;7;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [20  21], [23  24]
China - CN;CN-04;53;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;54;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;55;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;56;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;57;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;58;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;59;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;60;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;61;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;62;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;63;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;64;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;65;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;66;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;67;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;68;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
China - CN;CN-04;69;6;[2  3], [4  5  6], [9  10], [12  13], [16  17  18], [23  24]
