Country;Video;Frame;Num_Groups;Groups
Germany - DE;DE-01;1;7;[1  2  3], [6  20], [7   8   9  10], [11  12], [22  29], [23  24], [25  26]
Germany - DE;DE-01;2;5;[1  2], [6  20], [11  12], [23  24], [25  26]
Germany - DE;DE-01;3;3;[9  10], [23  24], [25  26]
Germany - DE;DE-01;4;1;[23  24]
Germany - DE;DE-01;5;2;[8   9  10], [23  24]
Germany - DE;DE-01;6;3;[1  2], [8   9  10], [23  24]
Germany - DE;DE-01;7;4;[1  2], [6  20], [8   9  10], [23  24]
Germany - DE;DE-01;8;3;[1  2], [8   9  10], [23  24]
Germany - DE;DE-01;9;4;[1  2], [6  20], [8   9  10], [23  24]
Germany - DE;DE-01;10;4;[1  2], [6  20], [8   9  10], [23  24]
Germany - DE;DE-01;11;3;[1  2], [6  20], [7   8  10]
Germany - DE;DE-01;12;3;[1  2], [6  20], [7   8   9  10]
Germany - DE;DE-01;13;3;[1  2], [6  20], [7   8   9  10]
Germany - DE;DE-01;14;3;[1  2], [6  20], [7   8   9  10]
Germany - DE;DE-01;15;3;[6  20], [7  10], [8  9]
Germany - DE;DE-01;16;2;[6  20], [7   8   9  10]
Germany - DE;DE-01;17;2;[6  20], [7   8   9  10]
Germany - DE;DE-01;18;2;[6  20], [7   8   9  10]
Germany - DE;DE-01;19;4;[2  3], [6  20], [7  10], [8  9]
Germany - DE;DE-01;20;3;[2  3], [6  20], [7   8   9  10]
Germany - DE;DE-01;21;2;[6  20], [7   8   9  10]
Germany - DE;DE-01;22;2;[6  20], [7   8   9  10]
Germany - DE;DE-01;23;3;[4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;24;3;[4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;25;3;[4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;26;3;[4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;27;4;[1  2  3], [4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;28;4;[1  2  3], [4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;29;4;[1  2  3], [4  12], [6  20], [7   8   9  10]
Germany - DE;DE-01;30;4;[1  3], [4  12], [6  20], [7   8   9  10  19]
Germany - DE;DE-01;31;4;[1  3], [4  12], [6  20], [7   8   9  10  19]
Germany - DE;DE-01;32;4;[1  3], [4  12], [6  20], [7   8   9  10  19]
Germany - DE;DE-01;33;4;[1  3], [4  12], [6  20], [7   8   9  10  19]
Germany - DE;DE-01;34;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;35;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;36;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;37;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;38;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;39;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;40;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;41;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;42;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;43;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;44;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;45;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;46;4;[1  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;47;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;48;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;49;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;50;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;51;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;52;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;53;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;54;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;55;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;56;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;57;5;[1  2], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;58;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;59;5;[2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;60;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;61;5;[2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;62;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;63;5;[1  2], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;64;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;65;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;66;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;67;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;68;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;69;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;70;5;[1  2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;71;5;[2  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;72;4;[2  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;73;4;[2  3], [6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;74;3;[6  20], [7   8   9  10  19], [11  12]
Germany - DE;DE-01;75;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;76;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;77;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;78;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;79;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;80;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;81;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;82;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;83;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;84;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;85;5;[1  3], [6  20], [7   8   9  10  19], [11  12], [25  26]
Germany - DE;DE-01;86;4;[6  20], [7   8   9  10  19], [11  12], [25  26]
