Country;Video;Frame;Num_Groups;Groups
Spain - ES;ES-01;1;5;[1  9], [2   3   6   7  12  13  14  16  20], [14  15], [16  17], [18  19]
Spain - ES;ES-01;2;2;[3  16], [6  7]
Spain - ES;ES-01;3;2;[3  16], [6  7]
Spain - ES;ES-01;4;1;[2   3   6   7  12]
Spain - ES;ES-01;5;2;[2   3  16], [6   7  14  15]
Spain - ES;ES-01;6;3;[2   3   6   7  12  14  16], [14  15], [16  17]
Spain - ES;ES-01;7;3;[2   3   6   7  12  14  16  20], [14  15], [16  17]
Spain - ES;ES-01;8;4;[2   3   6   7  12  14  16  20], [7  13], [14  15], [16  17]
Spain - ES;ES-01;9;4;[2   3   6   7  12  13  14  16  20], [7  13], [10  16  17], [14  15]
Spain - ES;ES-01;10;3;[2   3   6   7  12  14  16  20], [7  13], [10  16  17]
Spain - ES;ES-01;11;3;[2   3   6   7  12  13  14  16  20], [7  13], [10  16  17]
Spain - ES;ES-01;12;3;[2   3   6   7  12  13  14  16  20], [7  13], [10  16  17]
Spain - ES;ES-01;13;3;[2   3  12  13  16  20], [6   7  13  14], [16  17  20]
Spain - ES;ES-01;14;3;[2   3  12  13  20], [6   7  13], [16  17  20]
Spain - ES;ES-01;15;3;[2   3  12  13  20], [6   7  13], [16  20]
Spain - ES;ES-01;16;3;[2   3  12  13  20], [6   7  13], [16  20]
Spain - ES;ES-01;17;3;[2   3  12  13  20], [6   7  13], [16  17  20]
Spain - ES;ES-01;18;3;[2   3  12  13  20], [6   7  13], [16  17  20]
Spain - ES;ES-01;19;3;[2   3  12  13  20], [6   7  13], [16  17  20]
Spain - ES;ES-01;20;4;[2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;21;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;22;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;23;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;24;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;25;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;26;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;27;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;28;5;[1  9], [2   3  20], [6   7  13  14], [12  13], [16  17  20]
Spain - ES;ES-01;29;5;[1  9], [2   3  20], [6   7  13  14], [10  16  17  20], [12  13]
Spain - ES;ES-01;30;5;[1  9], [2   3  20], [6   7  13  14], [10  16  17  20], [12  13]
Spain - ES;ES-01;31;5;[1  9], [2   3  20], [6   7  13  14], [10  16  17  20], [12  13]
Spain - ES;ES-01;32;6;[1  9], [2   3  14  15  20], [6   7  13  14  15], [10  16  17  20], [12  13], [15  16]
Spain - ES;ES-01;33;5;[1  9], [2   3  14  15  20], [6   7  13  14  15], [12  13], [16  17  20]
Spain - ES;ES-01;34;4;[1  9], [2   3   6   7  14  15  20], [7  12  13], [16  17  20]
Spain - ES;ES-01;35;4;[1  9], [2   3   6   7  14  15  20], [7  12  13], [16  17  20]
Spain - ES;ES-01;36;5;[1  9], [2   3  20], [6   7  13], [12  13], [16  17  20]
Spain - ES;ES-01;37;5;[1  9], [2   3  20], [6   7  13], [12  13], [16  17  20]
Spain - ES;ES-01;38;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;39;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;40;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;41;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;42;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;43;6;[1  9], [2   3  20], [6   7  13], [12  13], [14  15], [16  17  20]
Spain - ES;ES-01;44;6;[1  9], [2   3  14  20], [4  11], [6   7  13  14  15], [12  13], [16  17  20]
Spain - ES;ES-01;45;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [16  17  20]
Spain - ES;ES-01;46;6;[1  9], [2   3  14  20], [4  11], [6   7  12  13  14  15], [12  13], [16  17  20]
Spain - ES;ES-01;47;6;[1  9], [2   3  14  20], [4  11], [6   7  12  13  14  15], [12  13], [16  17  20]
Spain - ES;ES-01;48;6;[1  9], [2   3  14  20], [4  11], [6   7  12  13  14  15], [12  13], [16  17  20]
Spain - ES;ES-01;49;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [16  17  20]
Spain - ES;ES-01;50;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [16  17  20]
Spain - ES;ES-01;51;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [16  17  20]
Spain - ES;ES-01;52;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [15  16  17  20]
Spain - ES;ES-01;53;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [15  16  17  20]
Spain - ES;ES-01;54;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [15  16  17  20]
Spain - ES;ES-01;55;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [15  16  17  20]
Spain - ES;ES-01;56;5;[1  9], [2   3   6   7  14  15  20], [4  11], [7  12  13], [15  16  17  20]
Spain - ES;ES-01;57;6;[1  9], [2   3  15  20], [4  11], [6   7  12  13], [12  13], [15  16  17  20]
Spain - ES;ES-01;58;6;[1  9], [2   3  15  20], [4  11], [6   7   8  12  13], [8  12  13], [15  16  17  20]
Spain - ES;ES-01;59;7;[1  9], [2   3  20], [4  11], [6   7   8  12  13], [8  12  13], [14  15  16], [16  17  20]
Spain - ES;ES-01;60;7;[1  9], [2   3  20], [4  11], [6   7   8  12  13], [12  13], [14  15  16], [16  20]
Spain - ES;ES-01;61;6;[1   9  15  16  20], [2   3  20], [4  11], [6   7   8  12  13], [12  13], [14  15]
Spain - ES;ES-01;62;6;[1   9  16], [2   3  20], [4  11], [6   7   8  12  13], [12  13], [14  15]
Spain - ES;ES-01;63;6;[1   9  16], [2   3  20], [4  11], [6   7   8  12  13], [12  13], [14  15]
Spain - ES;ES-01;64;5;[1   9  16], [2   3  20], [4  11], [6   7   8  12  13], [12  13]
Spain - ES;ES-01;65;5;[1   9  16], [2   3  20], [4  11], [6   7   8  12  13], [12  13]
Spain - ES;ES-01;66;5;[1   9  16], [2   3  20], [4  11], [6   7   8  12], [12  13]
Spain - ES;ES-01;67;5;[1   9  16  20], [2  3], [4  11], [6   7   8  12], [12  13]
Spain - ES;ES-01;68;5;[1   9  16  20], [2  3], [4  11], [6   7   8  12], [12  13]
Spain - ES;ES-01;69;6;[1   9  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [14  15]
Spain - ES;ES-01;70;6;[1   9  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [14  15]
Spain - ES;ES-01;71;7;[1   9  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [14  15], [18  19]
Spain - ES;ES-01;72;6;[1   9  15  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [18  19]
Spain - ES;ES-01;73;6;[1   9  15  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [18  19]
Spain - ES;ES-01;74;6;[1   9  15  16  17  20], [2  3], [4  11], [6   7   8  12], [12  13], [18  19]
Spain - ES;ES-01;75;5;[1   9  15  16  17  20], [2   3   8  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;76;5;[1   9  15  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;77;5;[1   9  15  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;78;5;[1   9  15  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;79;5;[1   9  15  16  17], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;80;5;[1   9  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;81;5;[1   9  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;82;5;[1   9  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;83;5;[1   9  16  17  20], [2   3  12  13], [4  11], [6  7  8], [18  19]
Spain - ES;ES-01;84;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;85;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;86;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;87;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;88;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;89;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;90;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;91;4;[1   9  16  17  20], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;92;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;93;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;94;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;95;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;96;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;97;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;98;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;99;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;100;4;[1   9  16  17], [2   3  12  13], [6  7  8], [18  19]
Spain - ES;ES-01;101;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [18  19]
Spain - ES;ES-01;102;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [18  19]
Spain - ES;ES-01;103;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15], [18  19]
Spain - ES;ES-01;104;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;105;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15], [18  19]
Spain - ES;ES-01;106;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15], [18  19]
Spain - ES;ES-01;107;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15], [18  19]
Spain - ES;ES-01;108;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;109;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;110;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;111;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;112;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;113;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;114;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;115;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;116;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;117;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;118;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [15  16], [18  19]
Spain - ES;ES-01;119;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;120;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;121;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;122;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;123;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;124;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;125;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;126;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;127;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;128;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;129;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;130;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;131;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;132;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;133;6;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16], [18  19]
Spain - ES;ES-01;134;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;135;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;136;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;137;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;138;5;[1   9  15  16  17], [2  3], [6  7  8], [12  13], [14  15]
Spain - ES;ES-01;139;5;[1   9  15  16  17], [2  3], [6  7  8], [12  13], [14  15]
Spain - ES;ES-01;140;5;[1   9  15  16  17], [2  3], [6  7  8], [12  13], [14  15]
Spain - ES;ES-01;141;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;142;5;[1   9  15  16  17], [2  3], [6  7  8], [12  13], [14  15]
Spain - ES;ES-01;143;5;[1   9  16  17], [2  3], [6  7  8], [12  13], [14  15  16]
Spain - ES;ES-01;144;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  16  17], [16  17]
Spain - ES;ES-01;145;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  16  17], [16  17]
Spain - ES;ES-01;146;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  16  17], [16  17]
Spain - ES;ES-01;147;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;148;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;149;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;150;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;151;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;152;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;153;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;154;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;155;6;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17]
Spain - ES;ES-01;156;7;[1  9], [2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;157;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;158;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;159;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;160;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;161;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;162;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;163;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;164;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
Spain - ES;ES-01;165;6;[2  3], [6  7  8], [12  13], [14  15  17], [16  17], [18  19]
