Country;Video;Frame;Num_Groups;Groups
Japan - JP;JP-03;1;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;2;3;[2  3], [5  6], [10  11]
Japan - JP;JP-03;3;3;[2  3], [4  39], [5  6]
Japan - JP;JP-03;4;3;[2  3], [4  39], [5  6]
Japan - JP;JP-03;5;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;6;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;7;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;8;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;9;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;10;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;11;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;12;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;13;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;14;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;15;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;16;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;17;4;[2  3], [4  39], [5  6], [10  11]
Japan - JP;JP-03;18;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;19;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;20;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;21;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;22;5;[2  3], [4  39], [5  6], [10  11], [15  16]
Japan - JP;JP-03;23;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;24;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;25;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;26;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;27;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;28;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;29;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;30;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;31;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;32;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;33;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;34;7;[2  3], [4  39], [5  6], [10  11], [15  16], [18  19], [27  28]
Japan - JP;JP-03;35;6;[2  3], [4  39], [5  6], [10  11], [15  16], [27  28]
Japan - JP;JP-03;36;7;[2  3], [4  39], [5  6], [10  11], [15  16  20], [18  19], [27  28]
Japan - JP;JP-03;37;7;[2  3], [4  39], [5  6], [10  11], [15  16], [18  19], [27  28]
Japan - JP;JP-03;38;7;[2  3], [4  39], [5  6], [10  11], [15  16  20], [18  19], [27  28]
Japan - JP;JP-03;39;7;[2  3], [4  39], [5  6], [10  11], [15  16  20], [18  19], [27  28]
Japan - JP;JP-03;40;7;[2  3], [4  39], [5  6], [10  11], [15  16  20], [18  19], [27  28]
Japan - JP;JP-03;41;7;[2  3], [4  39], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;42;7;[2  3], [4  39], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;43;7;[2  3], [4  39], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;44;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;45;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;46;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;47;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;48;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;49;7;[2  3], [4  39  40], [5  6], [10  11], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;50;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;51;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;52;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;53;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;54;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;55;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;56;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;57;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;58;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;59;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;60;8;[2  3], [4  39], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;61;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;62;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;63;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;64;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;65;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;66;8;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16  20  35], [18  19], [27  28]
Japan - JP;JP-03;67;9;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16], [18  19], [20  35], [27  28]
Japan - JP;JP-03;68;9;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16], [18  19], [20  35], [27  28]
Japan - JP;JP-03;69;9;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16], [18  19], [20  35], [27  28]
Japan - JP;JP-03;70;9;[2  3], [4  39  40], [5  6], [10  11], [14  22], [15  16], [18  19], [20  35], [27  28]
