Country;Video;Frame;Num_Groups;Groups
Unknown - UKN;UKN-03;1;5;[3  4], [5  7], [10  18  19], [14  15], [16  17]
Unknown - UKN;UKN-03;2;4;[5  7], [10  18  19], [14  15], [16  17]
Unknown - UKN;UKN-03;3;3;[5  7], [14  15], [18  19]
Unknown - UKN;UKN-03;4;2;[5  7], [14  15]
Unknown - UKN;UKN-03;5;2;[16  17], [18  19]
Unknown - UKN;UKN-03;6;2;[16  17], [18  19]
Unknown - UKN;UKN-03;7;3;[14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;8;3;[14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;9;3;[14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;10;2;[14  15], [18  19]
Unknown - UKN;UKN-03;11;4;[3  4], [12  13], [14  15], [18  19]
Unknown - UKN;UKN-03;12;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;13;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;14;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;15;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;16;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;17;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;18;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;19;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;20;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;21;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;22;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;23;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;24;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;25;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;26;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;27;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;28;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;29;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;30;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;31;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;32;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;33;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;34;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;35;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;36;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;37;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;38;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;39;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;40;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;41;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;42;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;43;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;44;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;45;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;46;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;47;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;48;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;49;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;50;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;51;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;52;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;53;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;54;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;55;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;56;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;57;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;58;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;59;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;60;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;61;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;62;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;63;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;64;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;65;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;66;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;67;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;68;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;69;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;70;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;71;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;72;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;73;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;74;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;75;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;76;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;77;6;[3  4], [5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;78;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;79;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;80;5;[3  4], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;81;4;[12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;82;4;[12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;83;4;[12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;84;5;[5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;85;5;[5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;86;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;87;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;88;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;89;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;90;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;91;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;92;5;[5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;93;5;[5  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;94;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;95;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;96;5;[5  6  7], [12  13], [14  15], [16  17], [18  19]
Unknown - UKN;UKN-03;97;3;[14  15], [16  17], [18  19]
