Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Austria - AT;AT-03;1;1;89;372;378;378;yes;1.118;0;7.32;8.0359;0.94493;0;0.26364;0.33333;100;0;1;-1;1;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.75;1;0
Austria - AT;AT-03;1;2;81;231;332;332;yes;1.0308;0;6.72;2.0567;0.97;0;0.15869;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.61111;1;0
Austria - AT;AT-03;1;3;79;203;321;321;yes;1.0308;0;6.975;2.8626;0.97;0;0.053736;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.55556;1;0.16667
Austria - AT;AT-03;1;4;450;202;1487;1487;yes;0.79057;0;8.9825;13.4918;0.92733;0;0.098237;0.66667;100;-1;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.11111;1;0.75
Austria - AT;AT-03;1;5;444;131;1471;1471;yes;1.25;0;8.8375;3.6323;0.90163;0;0.098237;0.66667;100;-1;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0.75;1;0.11111;1;0.75
Austria - AT;AT-03;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;0.75;0.31944;1;0.58333
Austria - AT;AT-03;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;1;0.36111;1;0.33333
Austria - AT;AT-03;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;0.5;0.38889;0.25;0.83333
Austria - AT;AT-03;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0.5;0.75;0.79167;0.25;0.5
Austria - AT;AT-03;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0;0.79167;0;0.66667
Austria - AT;AT-03;2;1;90;371;382;382;yes;0.5;333.4349;7.315;8.051;0.43292;0;0.26303;0.33333;100;2;1;-1;1;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.75;1;0
Austria - AT;AT-03;2;2;82;230;336;336;yes;1.0308;345.9638;6.7175;2.0661;0.80557;0;0.1584;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.61111;1;0
Austria - AT;AT-03;2;3;80;202;325;325;yes;1.0308;345.9638;6.9725;2.8813;0.80557;0;0.053782;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.55556;1;0.16667
Austria - AT;AT-03;2;4;451;201;1490;1490;yes;0.55902;341.5651;8.9725;13.4931;0.81631;0;0.097479;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.11111;1;0.75
Austria - AT;AT-03;2;5;446;130;1476;1476;yes;1.0308;0;8.8425;3.6127;0.80557;0;0.097479;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0.75;1;0.11111;1;0.75
Austria - AT;AT-03;2;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;0.75;0.31944;1;0.58333
Austria - AT;AT-03;2;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;1;0.36111;1;0.33333
Austria - AT;AT-03;2;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;0.5;0.38889;0.25;0.83333
Austria - AT;AT-03;2;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0.5;0.75;0.79167;0.25;0.5
Austria - AT;AT-03;2;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0;0.79167;0;0.66667
Austria - AT;AT-03;3;1;90;372;382;382;yes;1.25;0;7.335;8.0715;0.57923;0;0.26409;0.33333;100;2;1;-1;1;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.75;1;0
Austria - AT;AT-03;3;2;83;230;340;340;yes;0;0;6.715;2.0963;0.77922;0;0.15896;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.61111;1;0
Austria - AT;AT-03;3;3;81;202;329;329;yes;0;0;6.9725;2.9118;0.77922;0;0.053827;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;0.75;0.55556;1;0.16667
Austria - AT;AT-03;3;4;452;201;1492;1492;yes;0.55902;0;8.97;13.4955;0.74921;0;0.097561;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;1;1;0.11111;1;0.75
Austria - AT;AT-03;3;5;448;130;1480;1480;yes;1.3463;6.3402;8.8525;3.6361;0.66102;0;0.097561;0.66667;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0.75;1;0.11111;1;0.75
Austria - AT;AT-03;3;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;0.75;0.31944;1;0.58333
Austria - AT;AT-03;3;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;100;-3;-3;2;-2;63.342;76.7;25.9389;72.7554;70.6058;0;1;0.36111;1;0.33333
