Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Brazil - BR;BR-09;1;1;472;434;952;952;yes;0.65002;0;12.7133;11.1896;0.36265;0;1;0;86;-1;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.15278;1;0.75
Brazil - BR;BR-09;1;2;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.68056;1;0.16667
Brazil - BR;BR-09;1;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.66667;1;0.16667
Brazil - BR;BR-09;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.52778;1;0.16667
Brazil - BR;BR-09;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;1;7;183;113;183;183;yes;1.4823;0;6.33;4.3095;0.21846;0;0.18904;1.5;86;2;1;-1;1;83.3735;82.0769;25.1623;67.67;72.3691;1;1;0.55556;0;0.83333
Brazil - BR;BR-09;1;8;244;112;339;339;yes;1.8614;0;5.44;1.5625;0.22213;0;0.12627;1.5;86;2;1;-1;1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.5;0.81944;0;0.66667
Brazil - BR;BR-09;1;9;291;125;472;472;yes;0;0;5.5233;6.7232;0.58397;0;0.18324;1.5;86;-2;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.80556;0;0.66667
Brazil - BR;BR-09;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.47222;1;0.33333
Brazil - BR;BR-09;1;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.68056;1;0.16667
Brazil - BR;BR-09;1;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;1;13;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;2;1;471;435;951;951;yes;0;116.5651;12.7133;11.1761;0.59989;0;1;0;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.15278;1;0.75
Brazil - BR;BR-09;2;2;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.68056;1;0.16667
Brazil - BR;BR-09;2;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.66667;1;0.16667
Brazil - BR;BR-09;2;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.52778;1;0.16667
Brazil - BR;BR-09;2;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;2;7;184;112;184;184;yes;4.3215;281.3099;6.3533;4.2748;0.011848;0;0.18908;1.5;86;2;1;-1;1;83.3735;82.0769;25.1623;67.67;72.3691;1;1;0.55556;0;0.83333
Brazil - BR;BR-09;2;8;245;113;343;343;yes;0.87209;51.3402;5.4033;1.6369;0.54005;0;0.12437;1.5;86;0;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.5;0.81944;0;0.66667
Brazil - BR;BR-09;2;9;291;125;472;472;yes;0;0;5.5033;6.6715;0.59989;0;0.17968;1.5;86;-2;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.80556;0;0.66667
Brazil - BR;BR-09;2;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.47222;1;0.33333
Brazil - BR;BR-09;2;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.68056;1;0.16667
Brazil - BR;BR-09;2;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;2;13;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;3;1;471;435;951;951;yes;0.82222;116.5651;12.6667;11.1761;0.36269;0;1;0;86;-1;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.15278;1;0.75
Brazil - BR;BR-09;3;2;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.68056;1;0.16667
Brazil - BR;BR-09;3;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.66667;1;0.16667
Brazil - BR;BR-09;3;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;3;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.52778;1;0.16667
Brazil - BR;BR-09;3;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;3;7;184;115;189;189;yes;1.8614;56.3099;6.2467;4.3772;0.62079;0;0.18544;1.5;86;2;1;-1;1;83.3735;82.0769;25.1623;67.67;72.3691;1;1;0.55556;0;0.83333
Brazil - BR;BR-09;3;8;244;113;340;340;yes;1.4823;78.6901;5.3967;1.5698;0.63148;0;0.12436;1.5;86;-1;1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.5;0.81944;0;0.66667
Brazil - BR;BR-09;3;9;291;125;472;472;yes;1.4535;0;5.49;6.6694;0.94613;0;0.18032;1.5;86;-2;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.80556;0;0.66667
Brazil - BR;BR-09;3;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.47222;1;0.33333
Brazil - BR;BR-09;3;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.68056;1;0.16667
Brazil - BR;BR-09;3;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;3;13;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.88889;1;0
Brazil - BR;BR-09;4;1;470;436;949;949;yes;0.91927;126.8699;12.7267;11.1817;0.3689;0;1;0;86;-2;-1;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.15278;1;0.75
Brazil - BR;BR-09;4;2;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.68056;1;0.16667
Brazil - BR;BR-09;4;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.66667;1;0.16667
Brazil - BR;BR-09;4;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;4;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.52778;1;0.16667
Brazil - BR;BR-09;4;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0;0.47222;1;0.33333
Brazil - BR;BR-09;4;7;183;114;185;185;yes;1.3;63.4349;6.2867;4.3388;0.39794;0;0.18582;1.5;86;2;1;-1;1;83.3735;82.0769;25.1623;67.67;72.3691;1;1;0.55556;0;0.83333
Brazil - BR;BR-09;4;8;244;112;339;339;yes;3.1309;0;5.42;1.4925;0.39498;0;0.124;1.5;86;-1;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.5;0.81944;0;0.66667
Brazil - BR;BR-09;4;9;289;125;467;467;yes;3.035;180;5.4933;6.7073;0.41751;0;0.17818;1.5;86;-2;-1;1;-1;83.3735;82.0769;25.1623;67.67;72.3691;1;0.25;0.80556;0;0.66667
Brazil - BR;BR-09;4;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.47222;1;0.33333
Brazil - BR;BR-09;4;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;86;-3;-3;2;-2;83.3735;82.0769;25.1623;67.67;72.3691;0;0.25;0.68056;1;0.16667
