Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
France - FR;FR-01;1;1;650;200;627;627;yes;0.46;0;NaN;90.6819;NaN;0;1;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;1;0.5;0.61111;1;0
France - FR;FR-01;1;2;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;1;0;0.54167;1;0.16667
France - FR;FR-01;1;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0.25;0.11111;0.75;0.75
France - FR;FR-01;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.58333;1;0
France - FR;FR-01;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.11111;0.75;0.75
France - FR;FR-01;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.56944;0.75;0
France - FR;FR-01;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.59722;1;0
France - FR;FR-01;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.59722;1;0
France - FR;FR-01;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;1;0.81944;0;0.5
France - FR;FR-01;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0;0;0.48611;0.25;0.41667
France - FR;FR-01;1;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;0;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.5;0;0.56944;1;0
France - FR;FR-01;2;1;649;200;626;626;yes;0.65054;180;9.32;80.7567;0.04652;0;1;0;50;-1;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;1;0.5;0.61111;1;0
France - FR;FR-01;2;2;227;88;165;165;yes;1.0286;0;9.32;33.8527;0.04652;0;1;Inf;50;-1;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;1;0;0.54167;1;0.16667
France - FR;FR-01;2;3;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-1;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0.25;0.11111;0.75;0.75
France - FR;FR-01;2;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-1;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.58333;1;0
France - FR;FR-01;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-1;50;-3;-3;2;-2;56.9438;78.8182;25.5172;30.5247;44.8649;0.25;0;0.11111;0.75;0.75
