Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Japan - JP;JP-01;1;1;617;533;1212;1212;yes;1.2644;0;8.3952;7.7089;0.39871;0;0.14352;0.1;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.25;0.38889;0.25;0.66667
Japan - JP;JP-01;1;2;113;389;314;314;yes;0.92;0;8.1;9.962;0.93013;0;0.14645;0.25;75;-2;-1;1;-1;79.4278;89.4091;26.1011;52.1748;49.5616;0;0.5;0.11111;0.25;0.91667
Japan - JP;JP-01;1;3;191;238;133;133;yes;1.84;0;9.651;6.8571;0.30886;0;0.12372;0.2;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;1;0.375;0.75;0.41667
Japan - JP;JP-01;1;4;235;249;245;245;yes;0.61333;0;8.2638;1.874;0.90795;0;0.1065;0.3;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0;1;0.38889;0;1
Japan - JP;JP-01;1;5;267;254;317;317;yes;0.86738;0;7.49;1.5818;0.48011;0;0.11484;0.4;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.58333;1;0
Japan - JP;JP-01;1;6;300;263;399;399;yes;1.1057;0;6.7533;1.2697;0.46142;0;0.11822;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.58333;1;0
Japan - JP;JP-01;1;7;347;299;551;551;yes;1.2267;0;5.8438;4.2582;0.4544;0;0.12888;0.5;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.5;0.25;0.73611;1;0
Japan - JP;JP-01;1;8;393;298;632;632;yes;0.30667;0;5.5319;3.1462;0.39764;0;0.12335;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.75;1;0
Japan - JP;JP-01;1;9;523;318;888;888;yes;0.61333;0;5.5586;2.7171;0.41882;0;0.12239;0.4;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.48611;0.25;0.75
Japan - JP;JP-01;1;10;572;338;994;994;yes;0;0;5.9781;1.6591;0.73834;0;0.083863;0.25;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.45833;0.25;0.66667
Japan - JP;JP-01;1;11;611;337;1059;1059;yes;0.43369;0;6.3148;1.9858;0.42673;0;0.12233;0.3;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.5;0.29167;0.25;0.91667
Japan - JP;JP-01;1;12;731;387;1292;1292;yes;0.96977;0;8.2086;5.8059;0.46419;0;0.13121;0.15;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0;0.44444;1;0
Japan - JP;JP-01;1;13;957;399;1649;1649;yes;0.68573;0;12.0286;3.6596;0.37043;0;0.10465;0.15;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.75;0.59722;0.25;0.75
Japan - JP;JP-01;1;14;924;333;1583;1583;yes;0.96977;0;11.0776;2.6085;0.46419;0;0.075795;0.15;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.30556;1;0.16667
Japan - JP;JP-01;1;15;853;325;1460;1460;yes;0.68573;0;9.691;5.3339;0.39283;0;0.11394;0.2;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0;0;0.43056;1;0
Japan - JP;JP-01;1;16;577;261;916;916;yes;1.5333;0;5.5952;1.1308;0.36493;0;0.10562;0.35;75;1;-1;0;0;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.5;0.77778;0.25;0.5
Japan - JP;JP-01;1;17;475;236;685;685;yes;0.61333;0;5.3981;0.90127;0.46167;0;0.10697;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.5;0.75;1;0
Japan - JP;JP-01;1;18;529;216;760;760;yes;1.5333;0;5.511;1.5136;0.35721;0;0.12384;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.75;1;0
Japan - JP;JP-01;1;19;497;198;664;664;yes;0.86738;0;5.7333;1.517;0.44673;0;0.096659;0.35;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.75;1;0
Japan - JP;JP-01;1;20;439;198;544;544;yes;2.2114;0;6.1305;1.2521;0.18574;0;0.11394;0.45;75;1;-1;0;0;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.5;0.61111;1;0
Japan - JP;JP-01;1;21;404;202;479;479;yes;0.61333;0;6.4552;3.8439;0.48582;0;0.12017;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.61111;1;0
Japan - JP;JP-01;1;22;659;223;1029;1029;yes;0.68573;0;6.3505;8.3941;0.46001;0;0.13105;0.3;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.5;0.76389;0.25;0.75
Japan - JP;JP-01;2;1;616;537;1213;1213;yes;0.30667;75.9638;8.429;7.6372;0.67532;0;0.14693;0.1;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.25;0.38889;0.25;0.66667
Japan - JP;JP-01;2;2;111;389;311;311;yes;0.86738;180;8.1329;9.91;0.66582;0;0.1389;0.2;75;-2;-1;1;-1;79.4278;89.4091;26.1011;52.1748;49.5616;0;0.5;0.11111;0.25;0.91667
Japan - JP;JP-01;2;3;194;238;139;139;yes;1.7348;0;9.5757;6.9069;0.32562;0;0.12105;0.2;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;1;0.375;0.75;0.41667
Japan - JP;JP-01;2;4;234;249;243;243;yes;0.61333;180;8.2848;1.7142;0.69653;0;0.10752;0.3;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0;1;0.38889;0;1
Japan - JP;JP-01;2;5;269;253;319;319;yes;0;315;7.4719;1.7526;0.87411;0;0.11534;0.4;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.58333;1;0
Japan - JP;JP-01;2;6;303;262;402;402;yes;0.68573;326.3099;6.7286;1.2433;0.58139;0;0.11867;0.45;75;-1;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.58333;1;0
Japan - JP;JP-01;2;7;349;299;555;555;yes;0;0;5.8252;4.3991;0.87411;0;0.12371;0.45;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.5;0.25;0.73611;1;0
Japan - JP;JP-01;2;8;394;297;632;632;yes;0;270;5.529;2.9614;0.87411;0;0.12377;0.45;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.75;1;0
Japan - JP;JP-01;2;9;522;319;888;888;yes;0;90;5.5643;2.8122;0.87411;0;0.12383;0.4;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.75;0.48611;0.25;0.75
Japan - JP;JP-01;2;10;572;338;994;994;yes;0.43369;0;5.9767;1.6262;0.72855;0;0.08317;0.25;75;-3;-3;2;-2;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.25;0.45833;0.25;0.66667
Japan - JP;JP-01;2;11;611;338;1060;1060;yes;0.68573;45;6.3195;2.0058;0.7076;0;0.12252;0.3;75;0;-1;1;-1;79.4278;89.4091;26.1011;52.1748;49.5616;1;0.5;0.29167;0.25;0.91667
Japan - JP;JP-01;2;12;731;385;1291;1291;yes;0.61333;251.5651;8.189;5.7579;0.9187;0;0.13202;0.15;75;-2;-1;1;-1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0;0.44444;1;0
Japan - JP;JP-01;2;13;956;400;1647;1647;yes;1.3011;153.4349;12.0052;3.7194;0.45971;0;0.10541;0.15;75;2;1;-1;1;79.4278;89.4091;26.1011;52.1748;49.5616;0.75;0.75;0.59722;0.25;0.75
