Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Austria - AT;AT-02;1;1;756;301;1615;1615;yes;1.0753;0;5.8556;4.1532;0.62264;0;0.15367;0.375;93;0;-1;1;-1;98.4252;87.0556;20.2202;57.9815;51.9447;1;1;0.19444;0.75;0.91667
Austria - AT;AT-02;1;2;753;208;1612;1612;yes;0.96923;0;5.6467;6.1926;0.70812;0;0.15952;0.25;93;0;1;-1;1;98.4252;87.0556;20.2202;57.9815;51.9447;1;1;0.23611;1;0.66667
Austria - AT;AT-02;1;3;151;280;460;460;yes;0.53763;0;9.5333;8.2925;0.6152;0.00010952;0.058502;0.25;93;2;1;-1;1;98.4252;87.0556;20.2202;57.9815;51.9447;1;0.25;0.22222;1;0.5
Austria - AT;AT-02;1;4;152;244;463;463;yes;0;0;9.5611;6.2275;0.87427;0.00010952;0.058502;0.25;93;-2;-1;1;-1;98.4252;87.0556;20.2202;57.9815;51.9447;1;0.5;0.19444;1;0.66667
Austria - AT;AT-02;1;5;664;412;1497;1497;yes;0.38016;0;5.86;5.2735;0.41565;0;0.15081;0.375;93;2;1;-1;1;98.4252;87.0556;20.2202;57.9815;51.9447;1;0.25;0.61111;1;0
Austria - AT;AT-02;1;6;650;491;1478;1478;yes;0;0;6.5656;10.6387;0.87427;0;0.15367;0.25;93;-2;-1;1;-1;98.4252;87.0556;20.2202;57.9815;51.9447;1;0.5;0.61111;1;0
Austria - AT;AT-02;1;7;531;126;1301;1301;yes;0.76033;0;4.5489;4.6873;0.5182;0;0.084763;0.5;93;-1;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0.75;0.25;0.11111;0.5;1
Austria - AT;AT-02;1;8;495;98;1241;1241;yes;0.60109;0;4.7244;4.2901;0.77432;0;0.068643;0.5;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;1;0.5;0.22222;0.75;0.66667
Austria - AT;AT-02;1;9;514;60;1273;1273;yes;0.60109;0;4.88;0.46719;0.77432;0;0.062923;0.5;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0.75;0;0.16667;1;0.66667
Austria - AT;AT-02;1;10;552;42;1335;1335;yes;0.60109;0;4.9733;1.8457;0.77432;0;0.079043;0.5;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;1;0;0.15278;1;0.75
Austria - AT;AT-02;1;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;1;0.48611;0.5;0.58333
Austria - AT;AT-02;1;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;0.5;0.52778;0.5;0.33333
Austria - AT;AT-02;1;13;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;0.5;0.52778;0.5;0.33333
Austria - AT;AT-02;1;14;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;0.5;0.52778;0.5;0.33333
Austria - AT;AT-02;1;15;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;0;0.38889;0.75;0.25
Austria - AT;AT-02;1;16;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-9;93;-3;-3;2;-2;98.4252;87.0556;20.2202;57.9815;51.9447;0;0;0.34722;0.75;0.5
