Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
China - CN;CN-04;1;1;347;87;390;390;yes;1.4546;0;9.7396;10.6957;0.39055;0;1;0;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.41667;0;0.75
China - CN;CN-04;1;2;189;263;176;176;yes;1.6586;0;9.4535;11.8188;0.25778;0.0017553;0.028952;0.090909;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.16667;0.25;0.75
China - CN;CN-04;1;3;213;265;207;207;yes;1.3011;0;9.0035;8.1441;0.43515;0.0017553;0.028952;0.090909;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.13889;0.25;0.75
China - CN;CN-04;1;4;144;437;137;137;yes;0;0;10.2239;4.7668;0.7242;0;0.071844;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.30556;1;0
China - CN;CN-04;1;5;180;418;178;178;yes;0;0;9.5296;3.4489;0.7242;0;0.0769;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.26389;1;0.16667
China - CN;CN-04;1;6;205;444;210;210;yes;0;0;9.3596;13.3379;0.7242;0;0.089461;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.30556;1;0
China - CN;CN-04;1;7;61;508;49;49;yes;1.0286;0;12.2017;6.5945;0.4493;0;0.1368;0.18182;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.33333;1;0
China - CN;CN-04;1;8;386;219;439;439;yes;2.3;0;6.9439;7.0942;0.13263;0;0.095282;0.18182;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.19444;0.25;0.75
China - CN;CN-04;1;9;423;239;487;487;yes;0.46;0;6.4865;2.4335;0.85111;0;0.099357;0.27273;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.58333;1;0
China - CN;CN-04;1;10;440;241;510;510;yes;0.46;0;6.387;2.6804;0.85111;0;0.10409;0.31818;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.61111;1;0
China - CN;CN-04;1;11;481;355;551;551;yes;0.65054;0;6.6448;10.0174;0.43118;0;0.14223;0.22727;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.16667;0.25;0.66667
China - CN;CN-04;1;12;426;537;467;467;yes;0.46;0;8.8474;13.3689;0.52255;0;0.054687;0.090909;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.25;0.23611;0.5;0.41667
China - CN;CN-04;1;13;478;541;526;526;yes;0.46;0;8.8778;13.4937;0.52255;0;0.054687;0.090909;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.23611;0.5;0.5
China - CN;CN-04;1;14;511;236;608;608;yes;1.4546;0;6.3113;2.3379;0.46118;0;0.1092;0.40909;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.18056;0.25;0.66667
China - CN;CN-04;1;15;549;312;645;645;yes;1.8966;0;6.5352;10.2964;0.35288;0;0.12868;0.31818;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.26389;1;0.16667
China - CN;CN-04;1;16;538;221;648;648;yes;0.65054;0;6.4813;2.4371;0.53129;0;0.10176;0.36364;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.25;0.23611;0.5;0.5
China - CN;CN-04;1;17;573;205;700;700;yes;1.3011;0;6.8452;3.0613;0.49133;0;0.095205;0.31818;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.27778;0.5;0.41667
China - CN;CN-04;1;18;600;222;733;733;yes;0.92;0;6.943;1.7953;0.56052;0;0.10353;0.36364;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.25;0.20833;0.5;0.41667
China - CN;CN-04;1;19;652;224;805;805;yes;0.46;0;7.6261;7.5212;0.38836;0;0.10643;0.27273;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.15278;0.25;0.66667
China - CN;CN-04;1;20;666;171;841;841;yes;1.8966;0;8.447;2.8869;0.36322;0;0.098575;0.22727;50;1;-1;0;0;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.15278;0.25;0.66667
China - CN;CN-04;1;21;665;134;852;852;yes;0.92;0;9.1465;9.4332;0.3991;0;0.11964;0.18182;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;1;0.16667;0;1
China - CN;CN-04;1;22;841;198;1083;1083;yes;1.0286;0;11.8357;17.2534;0.54831;0;1;0.045455;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.56944;0.25;0.75
China - CN;CN-04;1;23;888;381;1066;1066;yes;1.0286;0;11.9248;22.4891;0.4493;0;0.047794;0.090909;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.40278;0.75;0.25
China - CN;CN-04;1;24;902;348;1098;1098;yes;0.65054;0;12.2096;5.0485;0.43118;0;0.047794;0.090909;50;0;-1;1;-1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.75;0.40278;0.75;0.25
China - CN;CN-04;1;25;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;0;0.75;0.41667;0.25;0.75
China - CN;CN-04;1;26;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;0;0.5;0.58333;0.25;0.5
China - CN;CN-04;1;27;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;0;0.75;0.69444;0.25;0.75
China - CN;CN-04;1;28;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;0.5;0.5;0.55556;0.25;0.75
China - CN;CN-04;2;1;345;86;387;387;yes;1.4546;198.4349;9.7752;10.5283;0.39213;0;1;0;50;-1;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.41667;0;0.75
China - CN;CN-04;2;2;192;261;179;179;yes;0;326.3099;9.4148;12.1391;0.82573;0.00093772;0.028952;0.090909;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.16667;0.25;0.75
China - CN;CN-04;2;3;214;266;209;209;yes;0.92;45;8.9635;7.7791;0.52883;0.00093772;0.028952;0.090909;50;2;1;-1;1;56.2456;91.6786;26.9958;51.3975;69.8876;1;0.5;0.13889;0.25;0.75
China - CN;CN-04;2;4;144;437;137;137;yes;0;0;10.2191;4.8296;0.82573;0;0.072151;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.30556;1;0
China - CN;CN-04;2;5;180;418;178;178;yes;0.46;0;9.5243;3.4812;0.56259;0;0.077206;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.26389;1;0.16667
China - CN;CN-04;2;6;205;444;210;210;yes;0;0;9.353;13.384;0.82573;0;0.08992;0.18182;50;-3;-3;2;-2;56.2456;91.6786;26.9958;51.3975;69.8876;1;0;0.30556;1;0
