Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Germany - DE;DE-02;1;1;288;93;824;824;yes;0.64789;0;9.262;6.6903;0.33886;0;1;0;71;-1;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;1;0.5;0.72222;0.75;0.16667
Germany - DE;DE-02;1;2;44;66;149;149;yes;2.0488;0;10.522;1.1183;0.18865;0;0.10758;0.75;71;1;-1;0;0;53.4613;87.0556;26.1245;56.4724;59.2366;1;1;0.20833;0.25;0.66667
Germany - DE;DE-02;1;3;476;249;1522;1522;yes;1.3357;0;14.21;3.25;0.29574;0;0.16989;0.5;71;2;1;-1;1;53.4613;87.0556;26.1245;56.4724;59.2366;1;0.75;0.31944;0;1
Germany - DE;DE-02;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0.25;0.25;0.73611;0.75;0
Germany - DE;DE-02;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0.25;0.25;0.875;0.75;0
Germany - DE;DE-02;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0.25;0.25;0.68056;0.75;0.16667
Germany - DE;DE-02;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0.25;0.5;0.51389;0.5;0.41667
Germany - DE;DE-02;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0;0.25;0.875;0.75;0
Germany - DE;DE-02;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0;0;0.40278;1;0.16667
Germany - DE;DE-02;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0;0.5;0.875;0.75;0
Germany - DE;DE-02;1;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-5;71;-3;-3;2;-2;53.4613;87.0556;26.1245;56.4724;59.2366;0.25;0.25;0.40278;1;0.16667
