Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
France - FR;FR-02;1;1;288;104;467;467;yes;4.0659;0;7.495;33.8181;0.13084;0;0.08075;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;0.5;0;0.88889;1;0
France - FR;FR-02;1;2;307;91;475;475;yes;0;0;7.345;14.5483;0.031676;0;0.08075;1;40;2;1;-1;1;71.884;61.1667;26.9601;56.0672;107.9576;0.75;0;0.88889;1;0
France - FR;FR-02;1;3;452;136;1017;1017;yes;3.0965;0;13.72;70.0706;0.1555;0;1;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;1;1;0.65278;0;0.83333
France - FR;FR-02;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0;0.375;1;0.41667
France - FR;FR-02;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0.25;0.11111;0.25;1
France - FR;FR-02;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0.25;0.25;0.125;0.5;0.91667
France - FR;FR-02;2;1;285;105;462;462;yes;1.8183;135;7.58;33.8337;0.37088;0;0.091433;1;40;2;1;-1;1;71.884;61.1667;26.9601;56.0672;107.9576;0.5;0;0.88889;1;0
France - FR;FR-02;2;2;307;91;475;475;yes;0;0;7.36;14.8696;0.68544;0;0.091433;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;0.75;0;0.88889;1;0
France - FR;FR-02;2;3;451;135;1012;1012;yes;0;201.8014;13.67;69.3988;0.68544;0;1;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;1;1;0.65278;0;0.83333
France - FR;FR-02;2;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0;0.375;1;0.41667
France - FR;FR-02;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0.25;0.11111;0.25;1
France - FR;FR-02;2;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0.25;0.25;0.125;0.5;0.91667
France - FR;FR-02;3;1;284;106;463;463;yes;2.5715;116.5651;7.605;34.2116;0.23815;0;0.095821;1;40;1;3;-1;1;71.884;61.1667;26.9601;56.0672;107.9576;0.5;0;0.88889;1;0
France - FR;FR-02;3;2;307;91;475;475;yes;3.6366;0;7.39;14.8817;0.07872;0;0.095821;1;40;0;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;0.75;0;0.88889;1;0
France - FR;FR-02;3;3;451;135;1012;1012;yes;2.0732;201.8014;13.665;69.2707;0.16214;0;1;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;1;1;0.65278;0;0.83333
France - FR;FR-02;3;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0;0.375;1;0.41667
France - FR;FR-02;3;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0.25;0.11111;0.25;1
France - FR;FR-02;3;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0.25;0.25;0.125;0.5;0.91667
France - FR;FR-02;4;1;286;105;465;465;yes;2.9319;116.5651;7.485;33.661;0.43641;0;0.088727;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;0.5;0;0.88889;1;0
France - FR;FR-02;4;2;308;92;481;481;yes;3.45;18.4349;7.225;15.0396;0.43013;0;0.088727;1;40;-2;-1;1;-1;71.884;61.1667;26.9601;56.0672;107.9576;0.75;0;0.88889;1;0
France - FR;FR-02;4;3;451;134;1009;1009;yes;1.8183;206.5651;13.49;68.7331;0.0089029;0;1;1;40;1;3;-1;1;71.884;61.1667;26.9601;56.0672;107.9576;1;1;0.65278;0;0.83333
France - FR;FR-02;4;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;40;-3;-3;2;-2;71.884;61.1667;26.9601;56.0672;107.9576;0;0;0.375;1;0.41667
