Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Unknown - UKN;UKN-03;1;1;651;506;634;634;yes;0;0;7.4183;11.2612;0.89461;0;0.18357;0.11765;74;-2;-1;1;-1;61.033;88.35;27.2034;72.3497;91.8339;1;0.25;0.125;0.25;0.83333
Unknown - UKN;UKN-03;1;2;193;566;241;241;yes;1.5541;0;5.7989;4.0677;0.45651;0;0.14828;0.41176;74;-1;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;1;0.73611;0;0.83333
Unknown - UKN;UKN-03;1;3;108;520;184;184;yes;0.62162;0;5.4156;2.2847;0.87075;2.4231e-05;0.11373;0.29412;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.25;0.11111;0.25;0.91667
Unknown - UKN;UKN-03;1;4;158;514;236;236;yes;0.69499;0;5.1383;1.2327;0.74665;2.4231e-05;0.12673;0.41176;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.25;0.11111;0.25;0.91667
Unknown - UKN;UKN-03;1;5;332;475;420;420;yes;0;0;4.89;1.7899;0.89461;0;0.14735;0.47059;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;0.75;0;0.45833;0.5;0.41667
Unknown - UKN;UKN-03;1;6;373;525;416;416;yes;0.43955;0;5.61;3.6166;0.80282;0;0.14067;0.35294;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0;0.15278;0.5;0.66667
Unknown - UKN;UKN-03;1;7;370;449;476;476;yes;0;0;4.9144;4.3912;0.89461;0;0.14935;0.35294;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.25;0.61111;1;0
Unknown - UKN;UKN-03;1;8;133;453;245;245;yes;0.98287;0;4.77;1.6916;0.60677;0;0.16294;0.47059;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.25;0.125;0;0.91667
Unknown - UKN;UKN-03;1;9;263;379;444;444;yes;0;0;4.4822;1.5408;0.89461;0;0.1463;0.41176;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.75;0.625;0.25;0.5
Unknown - UKN;UKN-03;1;10;239;342;459;459;yes;0;0;4.9506;1.0273;0.89461;0;0.14362;0.47059;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.75;0.48611;0.25;0.66667
Unknown - UKN;UKN-03;1;11;676;333;879;879;yes;2.4275;0;8.1811;17.2944;0.17091;0;1;0.058824;74;2;1;-1;1;61.033;88.35;27.2034;72.3497;91.8339;1;0.5;0.29167;0.25;0.75
Unknown - UKN;UKN-03;1;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-18;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;0;0.5;0.11111;0.25;0.83333
Unknown - UKN;UKN-03;1;13;489;633;428;428;yes;0;0;7.4556;3.7353;0.89461;0;0.15807;0.11765;74;-2;-1;1;-1;61.033;88.35;27.2034;72.3497;91.8339;1;1;0.22222;0.25;0.66667
Unknown - UKN;UKN-03;1;14;76;384;223;223;yes;0;0;5.5322;1.0185;0.89461;0;0.1551;0.29412;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;1;0.26389;0;1
Unknown - UKN;UKN-03;1;15;64;404;195;195;yes;0;0;5.4461;1.3403;0.89461;0;0.13899;0.23529;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;1;0.125;0;1
Unknown - UKN;UKN-03;1;16;137;314;364;364;yes;0;0;6.5944;1.5201;0.89461;0;0.15466;0.29412;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.5;0.15278;0.5;0.66667
Unknown - UKN;UKN-03;1;17;163;303;411;411;yes;0;0;6.7444;5.175;0.89461;0;0.13958;0.23529;74;-3;-3;2;-2;61.033;88.35;27.2034;72.3497;91.8339;1;0.5;0.18056;0.5;0.66667
