Country;Video;Frame;Num_Groups;Groups
Austria - AT;AT-02;1;3;[3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;2;1;[8   9  10]
Austria - AT;AT-02;3;2;[5  6], [8   9  10]
Austria - AT;AT-02;4;1;[8   9  10]
Austria - AT;AT-02;5;1;[8  9]
Austria - AT;AT-02;6;1;[8  9]
Austria - AT;AT-02;7;2;[3  4], [8  9]
Austria - AT;AT-02;8;2;[3  4], [8  9]
Austria - AT;AT-02;9;2;[3  4], [8  9]
Austria - AT;AT-02;10;2;[3  4], [8  9]
Austria - AT;AT-02;11;2;[3  4], [8  9]
Austria - AT;AT-02;12;3;[3  4], [5  6], [8  9]
Austria - AT;AT-02;13;3;[3  4], [5  6], [8   9  10]
Austria - AT;AT-02;14;3;[3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;15;3;[3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;16;3;[3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;17;3;[3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;18;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;19;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;20;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;21;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;22;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;23;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;24;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;25;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;26;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;27;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;28;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;29;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;30;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;31;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;32;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;33;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;34;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;35;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;36;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;37;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;38;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;39;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;40;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;41;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;42;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;43;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;44;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;45;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;46;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;47;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;48;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;49;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;50;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;51;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;52;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;53;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;54;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;55;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;56;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;57;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;58;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;59;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;60;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;61;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;62;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;63;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;64;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;65;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;66;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;67;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;68;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;69;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;70;3;[1  2], [3  4], [7   8   9  10]
Austria - AT;AT-02;71;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;72;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;73;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;74;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;75;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;76;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;77;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;78;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;79;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;80;4;[1  2], [3  4], [5  6], [7   8   9  10]
Austria - AT;AT-02;81;4;[1  2], [3  4], [5  6], [7   8  10]
Austria - AT;AT-02;82;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;83;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;84;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;85;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;86;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;87;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;88;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;89;3;[3  4], [5  6], [7   8  10]
Austria - AT;AT-02;90;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;91;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;92;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;93;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;94;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;95;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;96;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;97;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;98;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;99;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;100;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;101;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;102;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;103;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;104;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;105;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;106;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;107;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;108;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;109;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;110;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;111;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;112;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;113;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;114;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;115;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;116;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;117;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;118;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;119;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;120;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;121;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;122;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;123;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;124;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;125;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;126;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;127;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;128;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;129;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;130;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;131;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;132;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;133;3;[3  4], [5  6], [7  8]
Austria - AT;AT-02;134;2;[3  4], [7  8]
Austria - AT;AT-02;135;2;[3  4], [7  8]
Austria - AT;AT-02;136;2;[3  4], [7  8]
Austria - AT;AT-02;137;3;[3  4], [7  8], [12  13  14]
Austria - AT;AT-02;138;3;[3  4], [7  8], [12  13  14]
Austria - AT;AT-02;139;2;[3  4], [7  8]
Austria - AT;AT-02;140;2;[3  4], [7  8]
Austria - AT;AT-02;141;3;[3  4], [7  8], [13  14]
Austria - AT;AT-02;142;3;[3  4], [7  8], [12  13  14]
Austria - AT;AT-02;143;3;[3  4], [7  8], [13  14]
Austria - AT;AT-02;144;2;[3  4], [13  14]
Austria - AT;AT-02;145;2;[3  4], [13  14]
Austria - AT;AT-02;146;2;[3  4], [13  14]
Austria - AT;AT-02;147;2;[3  4], [13  14]
Austria - AT;AT-02;148;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;149;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;150;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;151;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;152;2;[3  4], [5  6]
Austria - AT;AT-02;153;2;[3  4], [5  6]
Austria - AT;AT-02;154;2;[3  4], [5  6]
Austria - AT;AT-02;155;2;[3  4], [5  6]
Austria - AT;AT-02;156;2;[3  4], [5  6]
Austria - AT;AT-02;157;2;[3  4], [5  6]
Austria - AT;AT-02;158;3;[3  4], [5  6], [12  13]
Austria - AT;AT-02;159;2;[3  4], [5  6]
Austria - AT;AT-02;160;3;[3  4], [5  6], [12  13]
Austria - AT;AT-02;161;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;162;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;163;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;164;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;165;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;166;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;167;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;168;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;169;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;170;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;171;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;172;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;173;3;[3  4], [5  6], [12  13  14]
Austria - AT;AT-02;174;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;175;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;176;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;177;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;178;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;179;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;180;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;181;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;182;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;183;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;184;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;185;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;186;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;187;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;188;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;189;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;190;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;191;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;192;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;193;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;194;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;195;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;196;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;197;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;198;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;199;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;200;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;201;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;202;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;203;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;204;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;205;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;206;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;207;3;[3  4], [5  6], [13  14]
Austria - AT;AT-02;208;2;[5  6], [13  14]
Austria - AT;AT-02;209;2;[5  6], [13  14]
Austria - AT;AT-02;210;2;[5  6], [13  14]
Austria - AT;AT-02;211;2;[5  6], [13  14]
Austria - AT;AT-02;212;2;[5  6], [13  14]
Austria - AT;AT-02;213;2;[5  6], [13  14]
Austria - AT;AT-02;214;2;[5  6], [13  14]
Austria - AT;AT-02;215;2;[5  6], [13  14]
Austria - AT;AT-02;216;2;[5  6], [13  14]
Austria - AT;AT-02;217;2;[5  6], [13  14]
Austria - AT;AT-02;218;2;[5  6], [13  14]
Austria - AT;AT-02;219;2;[5  6], [13  14]
Austria - AT;AT-02;220;2;[5  6], [13  14]
Austria - AT;AT-02;221;2;[5  6], [13  14]
Austria - AT;AT-02;222;1;[13  14]
Austria - AT;AT-02;223;1;[13  14]
Austria - AT;AT-02;224;1;[13  14]
Austria - AT;AT-02;225;1;[13  14]
Austria - AT;AT-02;226;1;[13  14]
Austria - AT;AT-02;227;1;[13  14]
Austria - AT;AT-02;228;1;[13  14]
Austria - AT;AT-02;229;1;[13  14]
Austria - AT;AT-02;230;1;[13  14]
Austria - AT;AT-02;231;1;[13  14]
Austria - AT;AT-02;232;1;[12  13  14]
Austria - AT;AT-02;233;1;[12  13  14]
Austria - AT;AT-02;234;1;[12  13  14]
Austria - AT;AT-02;235;1;[12  13  14]
Austria - AT;AT-02;236;1;[12  13  14]
Austria - AT;AT-02;237;1;[12  13  14]
Austria - AT;AT-02;238;1;[12  13  14]
Austria - AT;AT-02;239;1;[12  13  14]
Austria - AT;AT-02;240;1;[12  13  14]
Austria - AT;AT-02;241;1;[12  13  14]
Austria - AT;AT-02;242;1;[12  13  14]
Austria - AT;AT-02;243;1;[12  13  14]
Austria - AT;AT-02;244;1;[12  13  14]
Austria - AT;AT-02;245;1;[12  13  14]
Austria - AT;AT-02;246;1;[12  13  14]
Austria - AT;AT-02;247;1;[12  13  14]
Austria - AT;AT-02;248;1;[12  13  14]
Austria - AT;AT-02;249;1;[12  13  14]
Austria - AT;AT-02;250;1;[12  13  14]
Austria - AT;AT-02;251;1;[12  13  14]
Austria - AT;AT-02;252;1;[12  13  14]
Austria - AT;AT-02;253;1;[12  13  14]
Austria - AT;AT-02;254;1;[12  13  14]
Austria - AT;AT-02;255;1;[12  13  14]
Austria - AT;AT-02;256;1;[12  13  14]
Austria - AT;AT-02;257;1;[12  13  14]
Austria - AT;AT-02;258;1;[12  13  14]
Austria - AT;AT-02;259;1;[12  13  14]
Austria - AT;AT-02;260;1;[12  13  14]
Austria - AT;AT-02;261;1;[12  13  14]
Austria - AT;AT-02;262;1;[12  13  14]
Austria - AT;AT-02;263;1;[12  13  14]
Austria - AT;AT-02;264;1;[12  13  14]
Austria - AT;AT-02;265;1;[12  13  14]
Austria - AT;AT-02;266;1;[12  13  14]
Austria - AT;AT-02;267;1;[12  13  14]
Austria - AT;AT-02;268;1;[12  13  14]
Austria - AT;AT-02;269;1;[12  13  14]
Austria - AT;AT-02;270;1;[12  13  14]
Austria - AT;AT-02;271;1;[12  13  14]
Austria - AT;AT-02;272;1;[12  13  14]
Austria - AT;AT-02;273;1;[12  13  14]
Austria - AT;AT-02;274;1;[12  13  14]
Austria - AT;AT-02;275;1;[12  13  14]
Austria - AT;AT-02;276;1;[12  13  14]
Austria - AT;AT-02;277;1;[12  13  14]
Austria - AT;AT-02;278;1;[12  13  14]
Austria - AT;AT-02;279;1;[12  13  14]
Austria - AT;AT-02;280;1;[12  13  14]
Austria - AT;AT-02;281;1;[12  13  14]
Austria - AT;AT-02;282;1;[12  13  14]
Austria - AT;AT-02;283;1;[12  13  14]
Austria - AT;AT-02;284;1;[12  13  14]
Austria - AT;AT-02;285;1;[12  13  14]
Austria - AT;AT-02;286;1;[12  13  14]
Austria - AT;AT-02;287;1;[12  13  14]
Austria - AT;AT-02;288;1;[12  13  14]
Austria - AT;AT-02;289;1;[12  13  14]
Austria - AT;AT-02;290;1;[12  13  14]
Austria - AT;AT-02;291;1;[12  13  14]
Austria - AT;AT-02;292;1;[12  13  14]
Austria - AT;AT-02;293;1;[12  13  14]
Austria - AT;AT-02;294;1;[12  13  14]
Austria - AT;AT-02;295;1;[12  13  14]
Austria - AT;AT-02;296;1;[12  13  14]
Austria - AT;AT-02;297;1;[12  13  14]
Austria - AT;AT-02;298;1;[12  13  14]
Austria - AT;AT-02;299;1;[12  13  14]
Austria - AT;AT-02;300;1;[12  13  14]
Austria - AT;AT-02;301;1;[12  13  14]
Austria - AT;AT-02;302;1;[12  13  14]
Austria - AT;AT-02;303;1;[12  13  14]
Austria - AT;AT-02;304;1;[12  13  14]
Austria - AT;AT-02;305;1;[12  13  14]
Austria - AT;AT-02;306;1;[12  13  14]
Austria - AT;AT-02;307;1;[12  13  14]
Austria - AT;AT-02;308;1;[12  13  14]
Austria - AT;AT-02;309;1;[12  13  14]
Austria - AT;AT-02;310;1;[12  13  14]
Austria - AT;AT-02;311;1;[12  13  14]
Austria - AT;AT-02;312;1;[12  13  14]
Austria - AT;AT-02;313;1;[12  13  14]
Austria - AT;AT-02;314;1;[12  13  14]
Austria - AT;AT-02;315;1;[12  13  14]
Austria - AT;AT-02;316;1;[12  13  14]
Austria - AT;AT-02;317;1;[12  13  14]
Austria - AT;AT-02;318;1;[12  13  14]
Austria - AT;AT-02;319;1;[12  13  14]
Austria - AT;AT-02;320;1;[12  13  14]
Austria - AT;AT-02;321;1;[12  13  14]
Austria - AT;AT-02;322;1;[12  13  14]
Austria - AT;AT-02;323;1;[12  13  14]
Austria - AT;AT-02;324;1;[12  13  14]
Austria - AT;AT-02;325;1;[12  13  14]
Austria - AT;AT-02;326;1;[12  13  14]
Austria - AT;AT-02;327;1;[12  13  14]
Austria - AT;AT-02;328;1;[12  13  14]
Austria - AT;AT-02;329;1;[12  13  14]
Austria - AT;AT-02;330;1;[12  13  14]
Austria - AT;AT-02;331;1;[12  13  14]
Austria - AT;AT-02;332;1;[12  13  14]
Austria - AT;AT-02;333;1;[12  13  14]
Austria - AT;AT-02;334;1;[12  13  14]
Austria - AT;AT-02;335;1;[12  13  14]
Austria - AT;AT-02;336;2;[5  6], [13  14]
Austria - AT;AT-02;337;2;[5  6], [13  14]
Austria - AT;AT-02;338;2;[5  6], [13  14]
Austria - AT;AT-02;339;2;[5  6], [13  14]
Austria - AT;AT-02;340;2;[5  6], [13  14]
Austria - AT;AT-02;341;2;[5  6], [13  14]
Austria - AT;AT-02;342;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;343;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;344;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;345;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;346;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;347;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;348;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;349;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;350;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;351;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;352;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;353;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;354;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;355;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;356;3;[5  6], [13  14], [15  16]
Austria - AT;AT-02;357;3;[5  6], [13  14], [15  16]
