Country;Video;Frame;Num_Groups;Groups
Brazil - BR;BR-07;1;1;[1  2]
Brazil - BR;BR-07;2;1;[]
Brazil - BR;BR-07;3;1;[]
Brazil - BR;BR-07;4;1;[]
Brazil - BR;BR-07;5;1;[]
Brazil - BR;BR-07;6;1;[]
Brazil - BR;BR-07;7;1;[]
Brazil - BR;BR-07;8;1;[]
Brazil - BR;BR-07;9;1;[]
Brazil - BR;BR-07;10;1;[]
Brazil - BR;BR-07;11;1;[]
Brazil - BR;BR-07;12;1;[]
Brazil - BR;BR-07;13;1;[]
Brazil - BR;BR-07;14;1;[1  2]
Brazil - BR;BR-07;15;1;[1  2]
Brazil - BR;BR-07;16;1;[1  2]
Brazil - BR;BR-07;17;1;[1  2]
Brazil - BR;BR-07;18;1;[1  2]
Brazil - BR;BR-07;19;1;[1  2]
Brazil - BR;BR-07;20;1;[]
Brazil - BR;BR-07;21;1;[]
Brazil - BR;BR-07;22;1;[]
Brazil - BR;BR-07;23;1;[]
Brazil - BR;BR-07;24;1;[]
Brazil - BR;BR-07;25;1;[]
Brazil - BR;BR-07;26;1;[]
Brazil - BR;BR-07;27;1;[]
Brazil - BR;BR-07;28;1;[]
Brazil - BR;BR-07;29;1;[]
Brazil - BR;BR-07;30;1;[]
Brazil - BR;BR-07;31;1;[]
Brazil - BR;BR-07;32;1;[]
Brazil - BR;BR-07;33;1;[]
Brazil - BR;BR-07;34;1;[]
Brazil - BR;BR-07;35;1;[]
Brazil - BR;BR-07;36;1;[]
Brazil - BR;BR-07;37;1;[]
Brazil - BR;BR-07;38;1;[]
Brazil - BR;BR-07;39;1;[]
Brazil - BR;BR-07;40;1;[]
Brazil - BR;BR-07;41;1;[]
Brazil - BR;BR-07;42;1;[]
Brazil - BR;BR-07;43;1;[]
Brazil - BR;BR-07;44;1;[]
Brazil - BR;BR-07;45;1;[]
Brazil - BR;BR-07;46;1;[]
Brazil - BR;BR-07;47;1;[]
Brazil - BR;BR-07;48;1;[]
Brazil - BR;BR-07;49;1;[]
Brazil - BR;BR-07;50;1;[]
Brazil - BR;BR-07;51;1;[]
Brazil - BR;BR-07;52;1;[4  5  6]
Brazil - BR;BR-07;53;1;[5  6]
Brazil - BR;BR-07;54;1;[4  5]
Brazil - BR;BR-07;55;1;[]
Brazil - BR;BR-07;56;1;[]
Brazil - BR;BR-07;57;1;[]
Brazil - BR;BR-07;58;1;[]
Brazil - BR;BR-07;59;1;[]
Brazil - BR;BR-07;60;1;[]
Brazil - BR;BR-07;61;1;[]
Brazil - BR;BR-07;62;1;[]
Brazil - BR;BR-07;63;1;[]
Brazil - BR;BR-07;64;1;[4  5]
Brazil - BR;BR-07;65;1;[4  5]
Brazil - BR;BR-07;66;1;[4  5]
Brazil - BR;BR-07;67;1;[4  5]
Brazil - BR;BR-07;68;1;[4  5  6]
Brazil - BR;BR-07;69;1;[4  5  6]
Brazil - BR;BR-07;70;1;[4  5  6]
Brazil - BR;BR-07;71;1;[4  5  6]
Brazil - BR;BR-07;72;2;[1  2], [4  5  6]
Brazil - BR;BR-07;73;2;[1  2], [5  6]
Brazil - BR;BR-07;74;2;[1  2], [5  6]
Brazil - BR;BR-07;75;2;[1  2], [5  6]
Brazil - BR;BR-07;76;2;[1  2], [4  5  6]
Brazil - BR;BR-07;77;2;[1  2], [4  5  6]
Brazil - BR;BR-07;78;2;[1  2], [4  5  6]
Brazil - BR;BR-07;79;2;[1  2], [4  5  6]
Brazil - BR;BR-07;80;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;81;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;82;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;83;2;[1  2], [4  5]
Brazil - BR;BR-07;84;2;[1  2], [4  5]
Brazil - BR;BR-07;85;2;[4  5], [6  7]
Brazil - BR;BR-07;86;2;[4  5], [6  7]
Brazil - BR;BR-07;87;2;[4  5], [6  7]
Brazil - BR;BR-07;88;2;[4  5], [6  7]
Brazil - BR;BR-07;89;2;[4  5], [6  7]
Brazil - BR;BR-07;90;1;[4  5]
Brazil - BR;BR-07;91;2;[4  5], [6  7]
Brazil - BR;BR-07;92;2;[4  5], [6  7]
Brazil - BR;BR-07;93;2;[4  5], [6  7]
Brazil - BR;BR-07;94;2;[1  2], [4  5]
Brazil - BR;BR-07;95;2;[1  2], [4  5]
Brazil - BR;BR-07;96;2;[1  2], [4  5]
Brazil - BR;BR-07;97;2;[1  2], [4  5]
Brazil - BR;BR-07;98;2;[1  2], [4  5]
Brazil - BR;BR-07;99;2;[1  2], [4  5]
Brazil - BR;BR-07;100;2;[1  2], [4  5]
Brazil - BR;BR-07;101;2;[1  2], [4  5]
Brazil - BR;BR-07;102;2;[1  2], [4  5]
Brazil - BR;BR-07;103;2;[1  2], [4  5]
Brazil - BR;BR-07;104;2;[1  2], [4  5]
Brazil - BR;BR-07;105;2;[1  2], [4  5]
Brazil - BR;BR-07;106;2;[1  2], [4  5]
Brazil - BR;BR-07;107;2;[1  2], [4  5]
Brazil - BR;BR-07;108;2;[1  2], [4  5]
Brazil - BR;BR-07;109;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;110;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;111;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;112;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;113;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;114;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;115;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;116;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;117;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;118;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;119;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;120;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;121;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;122;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;123;3;[1  2], [4  5], [6  7]
Brazil - BR;BR-07;124;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;125;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;126;3;[1  2], [4  5  6], [6  7]
Brazil - BR;BR-07;127;2;[1  2], [5  6  7]
Brazil - BR;BR-07;128;2;[1  2], [5  6  7]
Brazil - BR;BR-07;129;2;[1  2], [5  6  7]
Brazil - BR;BR-07;130;2;[1  2], [5  6  7]
Brazil - BR;BR-07;131;2;[1  2], [5  6  7]
Brazil - BR;BR-07;132;2;[1  2], [5  6  7]
Brazil - BR;BR-07;133;2;[1  2], [5  6  7]
Brazil - BR;BR-07;134;2;[1  2], [5  6  7]
Brazil - BR;BR-07;135;2;[1  2], [5  6  7]
Brazil - BR;BR-07;136;2;[1  2], [5  6  7]
Brazil - BR;BR-07;137;2;[1  2], [5  6  7]
Brazil - BR;BR-07;138;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;139;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;140;2;[1  2  9], [5  6  7]
Brazil - BR;BR-07;141;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;142;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;143;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;144;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;145;3;[1  2  9], [5  6  7], [7  8]
Brazil - BR;BR-07;146;3;[1  2  9], [4  5  6], [6  7  8]
Brazil - BR;BR-07;147;3;[1  2  9], [4  5  6], [6  7  8]
