Country;Video;Frame;Num_Groups;Groups
China - CN;CN-03;1;4;[1  2  3  4], [6  7  8], [9  10  11], [12  13]
China - CN;CN-03;2;1;[]
China - CN;CN-03;3;3;[2  3], [6  7], [9  10]
China - CN;CN-03;4;1;[]
China - CN;CN-03;5;2;[6  7], [9  10]
China - CN;CN-03;6;2;[6  7  8], [9  10]
China - CN;CN-03;7;2;[6  7  8], [9  10]
China - CN;CN-03;8;2;[6  7  8], [9  10]
China - CN;CN-03;9;2;[6  7  8], [9  10]
China - CN;CN-03;10;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;11;2;[6  7  8], [9  10]
China - CN;CN-03;12;2;[6  7  8], [9  10]
China - CN;CN-03;13;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;14;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;15;2;[6  7  8], [9  10]
China - CN;CN-03;16;2;[6  7  8], [9  10]
China - CN;CN-03;17;2;[6  7  8], [9  10]
China - CN;CN-03;18;2;[6  7  8], [9  10]
China - CN;CN-03;19;2;[6  7  8], [9  10]
China - CN;CN-03;20;2;[6  7  8], [9  10]
China - CN;CN-03;21;2;[6  7  8], [9  10]
China - CN;CN-03;22;2;[6  7  8], [9  10]
China - CN;CN-03;23;3;[6  7  8], [9  10], [21  22]
China - CN;CN-03;24;3;[1  3  4], [6  7  8], [9  10]
China - CN;CN-03;25;3;[1  3  4], [6  7  8], [9  10]
China - CN;CN-03;26;4;[1  3  4], [6  7  8], [9  10], [21  22]
China - CN;CN-03;27;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;28;2;[6  7  8], [9  10]
China - CN;CN-03;29;2;[6  7  8], [9  10]
China - CN;CN-03;30;2;[6  7  8], [9  10]
China - CN;CN-03;31;2;[6  7  8], [9  10]
China - CN;CN-03;32;2;[6  7  8], [9  10]
China - CN;CN-03;33;2;[6  7  8], [9  10]
China - CN;CN-03;34;2;[6  7  8], [9  10]
China - CN;CN-03;35;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;36;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;37;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;38;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;39;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;40;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;41;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;42;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;43;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;44;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;45;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;46;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;47;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;48;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;49;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;50;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;51;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;52;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;53;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;54;2;[6  7  8], [9  10]
China - CN;CN-03;55;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;56;2;[6  7  8], [9  10]
China - CN;CN-03;57;2;[6  7  8], [9  10]
China - CN;CN-03;58;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;59;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;60;2;[6  7  8], [9  10]
China - CN;CN-03;61;2;[6  7  8], [9  10]
China - CN;CN-03;62;2;[6  7  8], [9  10]
China - CN;CN-03;63;2;[6  7  8], [9  10]
China - CN;CN-03;64;3;[2  4], [6  7  8], [9  10]
China - CN;CN-03;65;3;[2  3  4], [6  7  8], [9  10]
China - CN;CN-03;66;3;[2  3  4], [6  7  8], [9  10]
China - CN;CN-03;67;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;68;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;69;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;70;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;71;3;[2  3], [6  7  8], [9  10]
China - CN;CN-03;72;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;73;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;74;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;75;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;76;3;[6  7  8], [9  10], [19  20]
China - CN;CN-03;77;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;78;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;79;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;80;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;81;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;82;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;83;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;84;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;85;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;86;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;87;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;88;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;89;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;90;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;91;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;92;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;93;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;94;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;95;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;96;4;[2  3], [6  7  8], [9  10], [19  20]
China - CN;CN-03;97;4;[2  3  4], [6  7  8], [9  10], [19  20]
China - CN;CN-03;98;4;[2  3], [6  7  8], [9  10], [19  20]
