Country;Video;Frame;Num_Groups;Groups
France - FR;FR-01;1;1;[]
France - FR;FR-01;2;1;[]
France - FR;FR-01;3;1;[]
France - FR;FR-01;4;1;[]
France - FR;FR-01;5;1;[]
France - FR;FR-01;6;1;[]
France - FR;FR-01;7;1;[]
France - FR;FR-01;8;1;[]
France - FR;FR-01;9;1;[]
France - FR;FR-01;10;1;[]
France - FR;FR-01;11;1;[]
France - FR;FR-01;12;1;[]
France - FR;FR-01;13;1;[]
France - FR;FR-01;14;1;[]
France - FR;FR-01;15;1;[]
France - FR;FR-01;16;1;[]
France - FR;FR-01;17;1;[]
France - FR;FR-01;18;1;[]
France - FR;FR-01;19;1;[]
France - FR;FR-01;20;1;[]
France - FR;FR-01;21;1;[]
France - FR;FR-01;22;1;[]
France - FR;FR-01;23;1;[]
France - FR;FR-01;24;1;[]
France - FR;FR-01;25;1;[]
France - FR;FR-01;26;1;[2  11]
France - FR;FR-01;27;1;[2  11]
France - FR;FR-01;28;1;[2  11]
France - FR;FR-01;29;1;[2  11]
France - FR;FR-01;30;1;[2  11]
France - FR;FR-01;31;1;[2  11]
France - FR;FR-01;32;1;[2  11]
France - FR;FR-01;33;1;[2  11]
France - FR;FR-01;34;1;[2  11]
France - FR;FR-01;35;1;[2  11]
France - FR;FR-01;36;1;[2  11]
France - FR;FR-01;37;1;[2  11]
France - FR;FR-01;38;1;[2  11]
France - FR;FR-01;39;1;[2  11]
France - FR;FR-01;40;1;[2  11]
France - FR;FR-01;41;1;[2  11]
France - FR;FR-01;42;1;[2  11]
France - FR;FR-01;43;1;[2  11]
France - FR;FR-01;44;1;[2  11]
France - FR;FR-01;45;1;[2  11]
France - FR;FR-01;46;1;[2  11]
France - FR;FR-01;47;1;[2  11]
France - FR;FR-01;48;1;[2  11]
France - FR;FR-01;49;1;[2  11]
France - FR;FR-01;50;1;[2  11]
France - FR;FR-01;51;1;[2  11]
France - FR;FR-01;52;1;[2  11]
France - FR;FR-01;53;1;[2  11]
France - FR;FR-01;54;1;[2  11]
France - FR;FR-01;55;1;[2  11]
France - FR;FR-01;56;1;[2  11]
France - FR;FR-01;57;1;[2  11]
France - FR;FR-01;58;1;[2  11]
France - FR;FR-01;59;1;[2  11]
France - FR;FR-01;60;1;[2  11]
France - FR;FR-01;61;1;[2  11]
France - FR;FR-01;62;1;[2  11]
France - FR;FR-01;63;1;[2  11]
France - FR;FR-01;64;1;[2  11]
France - FR;FR-01;65;1;[2  11]
France - FR;FR-01;66;1;[2  11]
France - FR;FR-01;67;1;[2  11]
France - FR;FR-01;68;1;[2  11]
France - FR;FR-01;69;1;[2  11]
France - FR;FR-01;70;1;[2  11]
France - FR;FR-01;71;1;[2  11]
France - FR;FR-01;72;1;[2  11]
France - FR;FR-01;73;1;[2  11]
France - FR;FR-01;74;1;[2  11]
France - FR;FR-01;75;1;[2  11]
France - FR;FR-01;76;1;[2  11]
France - FR;FR-01;77;1;[2  11]
France - FR;FR-01;78;1;[2  11]
France - FR;FR-01;79;1;[2  11]
France - FR;FR-01;80;1;[2  11]
France - FR;FR-01;81;1;[2  11]
France - FR;FR-01;82;1;[2  11]
France - FR;FR-01;83;1;[2  11]
France - FR;FR-01;84;1;[2  11]
France - FR;FR-01;85;1;[2  11]
France - FR;FR-01;86;1;[2  11]
France - FR;FR-01;87;1;[2  11]
France - FR;FR-01;88;1;[2  11]
France - FR;FR-01;89;1;[2  11]
France - FR;FR-01;90;1;[2  11]
France - FR;FR-01;91;1;[2  11]
France - FR;FR-01;92;1;[2  11]
France - FR;FR-01;93;1;[2  11]
France - FR;FR-01;94;1;[2  11]
France - FR;FR-01;95;1;[2  11]
France - FR;FR-01;96;1;[2  11]
France - FR;FR-01;97;2;[2  11], [3  5]
France - FR;FR-01;98;2;[2  11], [3  5]
France - FR;FR-01;99;1;[2  11]
France - FR;FR-01;100;2;[2  11], [3  5]
France - FR;FR-01;101;2;[2  11], [3  5]
France - FR;FR-01;102;2;[2  11], [3  5]
France - FR;FR-01;103;2;[2  11], [3  5]
France - FR;FR-01;104;2;[2  11], [3  5]
France - FR;FR-01;105;2;[2  11], [3  5]
France - FR;FR-01;106;3;[2  11], [3  5], [4  6]
France - FR;FR-01;107;3;[2  11], [3  5], [4  6]
France - FR;FR-01;108;3;[2  11], [3  5], [4  6]
France - FR;FR-01;109;2;[2  11], [3  5]
France - FR;FR-01;110;3;[2  11], [3  5], [4  6]
France - FR;FR-01;111;3;[2  11], [3  5], [4  6]
France - FR;FR-01;112;3;[2  11], [3  5], [4  6]
France - FR;FR-01;113;3;[2  11], [3  5], [4  6]
France - FR;FR-01;114;3;[2  11], [3  5], [4  6]
France - FR;FR-01;115;3;[2  11], [3  5], [4  6]
France - FR;FR-01;116;3;[2  11], [3  5], [4  6]
France - FR;FR-01;117;3;[2  11], [3  5], [4  6]
France - FR;FR-01;118;3;[2  11], [3  5], [4  6]
France - FR;FR-01;119;3;[2  11], [3  5], [4  6]
France - FR;FR-01;120;3;[2  11], [3  5], [4  6]
France - FR;FR-01;121;3;[2  11], [3  5], [4  6]
France - FR;FR-01;122;3;[2  11], [3  5], [4  6]
France - FR;FR-01;123;3;[2  11], [3  5], [4  6]
France - FR;FR-01;124;3;[2  11], [3  5], [4  6]
France - FR;FR-01;125;3;[2  11], [3  5], [4  6]
France - FR;FR-01;126;3;[2  11], [3  5], [4  6]
France - FR;FR-01;127;3;[2  11], [3  5], [4  6]
France - FR;FR-01;128;3;[2  11], [3  5], [4  6]
France - FR;FR-01;129;3;[2  11], [3  5], [4  6]
France - FR;FR-01;130;3;[2  11], [3  5], [4  6]
France - FR;FR-01;131;3;[2  11], [3  5], [4  6]
France - FR;FR-01;132;3;[2  11], [3  5], [4  6]
France - FR;FR-01;133;3;[2  11], [3  5], [4  6]
France - FR;FR-01;134;3;[2  11], [3  5], [4  6]
France - FR;FR-01;135;3;[2  11], [3  5], [4  6]
France - FR;FR-01;136;3;[2  11], [3  5], [4  6]
France - FR;FR-01;137;3;[2  11], [3  5], [4  6]
France - FR;FR-01;138;3;[2  11], [3  5], [4  6]
France - FR;FR-01;139;3;[2  11], [3  5], [4  6]
France - FR;FR-01;140;3;[2  11], [3  5], [4  6]
France - FR;FR-01;141;3;[2  11], [3  5], [4  6]
France - FR;FR-01;142;3;[2  11], [3  5], [4  6]
France - FR;FR-01;143;3;[2  11], [3  5], [4  6]
France - FR;FR-01;144;3;[2  11], [3  5], [4  6]
France - FR;FR-01;145;3;[2  11], [3  5], [4  6]
France - FR;FR-01;146;3;[2  11], [3  5], [4  6]
France - FR;FR-01;147;3;[2  11], [3  5], [4  6]
France - FR;FR-01;148;3;[2  11], [3  5], [4  6]
France - FR;FR-01;149;3;[2  11], [3  5], [4  6]
France - FR;FR-01;150;3;[2  11], [3  5], [4  6]
France - FR;FR-01;151;3;[2  11], [3  5], [4  6]
France - FR;FR-01;152;3;[2  11], [3  5], [4  6]
France - FR;FR-01;153;3;[2  11], [3  5], [4  6]
France - FR;FR-01;154;3;[2  11], [3  5], [4  6]
France - FR;FR-01;155;3;[2  11], [3  5], [4  6]
France - FR;FR-01;156;3;[2  11], [3  5], [4  6]
France - FR;FR-01;157;3;[2  11], [3  5], [4  6]
France - FR;FR-01;158;3;[2  11], [3  5], [4  6]
France - FR;FR-01;159;3;[2  11], [3  5], [4  6]
France - FR;FR-01;160;3;[2  11], [3  5], [4  6]
France - FR;FR-01;161;3;[2  11], [3  5], [4  6]
France - FR;FR-01;162;3;[2  11], [3  5], [4  6]
France - FR;FR-01;163;2;[2   4   6  11], [3  5]
France - FR;FR-01;164;2;[2   4   6  11], [3  5]
France - FR;FR-01;165;2;[2   4   6  11], [3  5]
France - FR;FR-01;166;2;[2   4   6  11], [3  5]
France - FR;FR-01;167;2;[2   4   6  11], [3  5]
France - FR;FR-01;168;2;[2   4   6  11], [3  5]
France - FR;FR-01;169;2;[2   4   6  11], [3  5]
France - FR;FR-01;170;2;[2   4   6  11], [3  5]
France - FR;FR-01;171;2;[2   4   6  11], [3  5]
France - FR;FR-01;172;2;[2   4   6  11], [3  5]
France - FR;FR-01;173;2;[2   4   6  11], [3  5]
France - FR;FR-01;174;2;[2   4   6  11], [3  5]
France - FR;FR-01;175;2;[2   4   6  11], [3  5]
France - FR;FR-01;176;2;[2   4   6  11], [3  5]
France - FR;FR-01;177;2;[2   4   6  11], [3  5]
France - FR;FR-01;178;2;[2   4   6  11], [3  5]
France - FR;FR-01;179;2;[2   4   6  11], [3  5]
France - FR;FR-01;180;2;[2   4   6  11], [3  5]
France - FR;FR-01;181;2;[2   4   6  11], [3  5]
France - FR;FR-01;182;2;[2   4   6  11], [3  5]
France - FR;FR-01;183;2;[2   4   6  11], [3  5]
France - FR;FR-01;184;2;[2   4   6  11], [3  5]
France - FR;FR-01;185;2;[2   4   6  11], [3  5]
France - FR;FR-01;186;2;[2   4   6  11], [3  5]
France - FR;FR-01;187;2;[2   4   6  11], [3  5]
France - FR;FR-01;188;2;[2   4   6  11], [3  5]
France - FR;FR-01;189;2;[2   4   6  11], [3  5]
France - FR;FR-01;190;2;[2   4   6  11], [3  5]
France - FR;FR-01;191;2;[2   4   6  11], [3  5]
France - FR;FR-01;192;3;[2  11], [3  5], [4  6]
France - FR;FR-01;193;3;[2  11], [3  5], [4  6]
France - FR;FR-01;194;3;[2  11], [3  5], [4  6]
France - FR;FR-01;195;3;[2  11], [3  5], [4  6]
France - FR;FR-01;196;3;[2  11], [3  5], [4  6]
France - FR;FR-01;197;3;[2  11], [3  5], [4  6]
France - FR;FR-01;198;3;[2  11], [3  5], [4  6]
France - FR;FR-01;199;3;[2  11], [3  5], [4  6]
France - FR;FR-01;200;3;[2  11], [3  5], [4  6]
France - FR;FR-01;201;3;[2  11], [3  5], [4  6]
France - FR;FR-01;202;3;[2  11], [3  5], [4  6]
France - FR;FR-01;203;3;[2  11], [3  5], [4  6]
France - FR;FR-01;204;3;[2  11], [3  5], [4  6]
France - FR;FR-01;205;3;[2  11], [3  5], [4  6]
France - FR;FR-01;206;3;[2  11], [3  5], [4  6]
France - FR;FR-01;207;3;[2  11], [3  5], [4  6]
France - FR;FR-01;208;3;[2  11], [3  5], [4  6]
France - FR;FR-01;209;3;[2  11], [3  5], [4  6]
France - FR;FR-01;210;3;[2  11], [3  5], [4  6]
France - FR;FR-01;211;3;[2  11], [3  5], [4  6]
France - FR;FR-01;212;3;[2  11], [3  5], [4  6]
France - FR;FR-01;213;3;[2  11], [3  5], [4  6]
France - FR;FR-01;214;3;[2  11], [3  5], [4  6]
France - FR;FR-01;215;3;[2  11], [3  5], [4  6]
France - FR;FR-01;216;3;[2  11], [3  5], [4  6]
France - FR;FR-01;217;3;[2  11], [3  5], [4  6]
France - FR;FR-01;218;3;[2  11], [3  5], [4  6]
France - FR;FR-01;219;3;[2  11], [3  5], [4  6]
France - FR;FR-01;220;3;[2  11], [3  5], [4  6]
France - FR;FR-01;221;3;[2  11], [3  5], [4  6]
France - FR;FR-01;222;3;[2  11], [3  5], [4  6]
