Country;Video;Frame;Num_Groups;Groups
Japan - JP;JP-02;1;9;[1  28], [2  3], [4  5  6  7], [7   8  12], [10  13  14  15], [14  15], [17  18  19], [24  25], [26  27]
Japan - JP;JP-02;2;6;[4  5  6], [8  12], [10  13  14  15], [14  15], [17  18  19], [24  25]
Japan - JP;JP-02;3;6;[4  5  6], [8  12], [10  13  14  15], [14  15], [17  18  19], [24  25]
Japan - JP;JP-02;4;5;[2  3], [4  5  6], [8  12], [13  14  15], [17  18  19]
Japan - JP;JP-02;5;5;[1  28], [4  5], [8  12], [17  18], [24  25]
Japan - JP;JP-02;6;2;[4  6], [24  25]
Japan - JP;JP-02;7;1;[24  25]
Japan - JP;JP-02;8;4;[1  28], [2  3], [17  18  19], [24  25]
Japan - JP;JP-02;9;3;[2  3], [7  8], [24  25]
Japan - JP;JP-02;10;2;[7  8], [24  25]
Japan - JP;JP-02;11;3;[1  28], [5  7  8], [18  19]
Japan - JP;JP-02;12;2;[5  7  8], [18  19]
Japan - JP;JP-02;13;2;[7  8], [17  18  19]
Japan - JP;JP-02;14;3;[4  5], [7  8], [18  19]
Japan - JP;JP-02;15;2;[4  5], [18  19]
Japan - JP;JP-02;16;4;[2  3], [4  5], [13  15], [18  19]
Japan - JP;JP-02;17;3;[2  3], [4  5], [13  15]
Japan - JP;JP-02;18;3;[1  28], [2  3], [13  15]
Japan - JP;JP-02;19;6;[1  28], [2  3], [7  8], [13  15], [24  25], [26  27]
Japan - JP;JP-02;20;6;[1  28], [2  3], [7  8], [13  15], [24  25], [26  27]
Japan - JP;JP-02;21;6;[1  28], [2  3], [7  8], [13  15], [24  25], [26  27]
Japan - JP;JP-02;22;6;[1  28], [2  3], [7  8], [13  15], [18  19], [26  27]
Japan - JP;JP-02;23;5;[1  28], [2  3], [7  8], [13  15], [26  27]
Japan - JP;JP-02;24;5;[1  28], [2  3], [7  8], [13  15], [26  27]
Japan - JP;JP-02;25;5;[1  28], [2  3], [7  8], [13  15], [26  27]
Japan - JP;JP-02;26;6;[1  28], [2  3], [4  6], [7  8], [13  15], [26  27]
Japan - JP;JP-02;27;4;[1  28], [2  3], [7  8], [26  27]
Japan - JP;JP-02;28;4;[1  28], [2  3], [7  8], [26  27]
Japan - JP;JP-02;29;4;[1  28], [2  3], [7  8], [26  27]
Japan - JP;JP-02;30;4;[1  28], [2  3], [7  8], [26  27]
Japan - JP;JP-02;31;5;[1  28], [2  3], [7  8], [24  25], [26  27]
Japan - JP;JP-02;32;5;[1  28], [2  3], [7  8], [24  25], [26  27]
