Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
China - CN;CN-01;1;1;923;157;1179;1179;yes;0;0;8.2579;2.3565;0.7773;0;0.20564;0.090909;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.20833;0;0.91667
China - CN;CN-01;1;2;891;336;1083;1083;yes;0.54136;0;6.9074;1.7316;0.43917;0;0.15925;0.21212;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.15278;0;1
China - CN;CN-01;1;3;943;524;1092;1092;yes;0.48421;0;8.8641;1.2725;0.86401;0;0.14702;0.15152;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.44444;1;0
China - CN;CN-01;1;4;871;456;1029;1029;yes;0.48421;0;7.5582;1.4746;0.86401;0;0.14242;0.21212;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.26389;0.75;0.16667
China - CN;CN-01;1;5;815;538;951;951;yes;1.4727;0;8.2556;2.6322;0.30703;0;0.12257;0.15152;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;1;0.20833;0;1
China - CN;CN-01;1;6;748;409;899;899;yes;0.87292;0;6.3218;1.4671;0.53329;0;0.16621;0.30303;95;-1;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.15278;0.25;0.66667
China - CN;CN-01;1;7;762;345;927;927;yes;0;0;5.9288;0.84669;0.7773;0;0.11891;0.21212;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.18056;0;0.75
China - CN;CN-01;1;8;790;291;972;972;yes;1.2345;0;6.0221;1.6439;0.35771;0;0.12313;0.18182;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.18056;0;0.91667
China - CN;CN-01;1;9;783;75;1016;1016;yes;0.7656;0;8.6588;1.9847;0.63473;0.0010328;0.15026;0.090909;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.23611;0.5;0.41667
China - CN;CN-01;1;10;752;84;971;971;yes;3.1567;0;8.2429;1.0516;0.12877;0.0010328;0.14232;0.090909;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.22222;0.5;0.41667
China - CN;CN-01;1;11;694;171;874;874;yes;3.3981;0;6.2641;2.6083;0.10514;0;0.20387;0.18182;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;1;0.27778;0.25;0.5
China - CN;CN-01;1;12;663;304;814;814;yes;0.87292;0;5.2447;1.3435;0.44927;0.0010843;0.14929;0.27273;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.125;0;0.91667
China - CN;CN-01;1;13;640;290;788;788;yes;0.34239;0;5.1359;1.7174;0.58182;0.0010843;0.1703;0.36364;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;0.25;0.25;0.13889;0.25;0.66667
China - CN;CN-01;1;14;695;514;824;824;yes;1.0827;0;7.3926;3.7469;0.57603;0;0.14404;0.15152;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.23611;0.5;0.41667
China - CN;CN-01;1;15;515;245;636;636;yes;0.7656;0;4.8815;2.0227;0.63473;0.00025183;0.15309;0.36364;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.72222;0.75;0
China - CN;CN-01;1;16;478;227;590;590;yes;0.68478;0;4.9418;0.82783;0.56519;0.00054611;0.14369;0.36364;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.84722;0.5;0.25
China - CN;CN-01;1;17;445;217;547;547;yes;0.72632;0;5.0279;0.47248;0.63705;0.00029427;0.13197;0.33333;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.81944;0.5;0.25
China - CN;CN-01;1;18;417;182;510;510;yes;0;0;5.4688;1.1843;0.7773;0.00018883;0.12139;0.27273;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.40278;0.5;0.25
China - CN;CN-01;1;19;394;190;481;481;yes;0.24211;0;5.4032;0.63773;0.49877;0.00018883;0.12261;0.30303;95;-1;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.38889;0.5;0.41667
China - CN;CN-01;1;20;386;311;476;476;yes;2.4331;0;4.9376;1.3048;0.25078;0;0.17518;0.39394;95;-1;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.79167;0.25;0.5
China - CN;CN-01;1;21;396;367;491;491;yes;0;0;5.2179;2.5558;0.7773;0;0.17917;0.30303;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.54167;0.5;0.25
China - CN;CN-01;1;22;345;490;439;439;yes;0.87292;0;6.7197;3.1313;0.53329;0;0.1535;0.21212;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.29167;0.75;0.16667
China - CN;CN-01;1;23;296;436;379;379;yes;0.87292;0;6.1124;1.1607;0.57976;0;0.1315;0.27273;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.20833;0.5;0.41667
China - CN;CN-01;1;24;250;473;331;331;yes;0.48421;0;6.7344;2.4075;0.86401;0;0.1116;0.21212;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.31944;1;0
China - CN;CN-01;1;25;329;202;397;397;yes;0.72632;0;5.5115;1.0378;0.44802;0;0.12449;0.30303;95;-1;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;1;0.20833;0;1
China - CN;CN-01;1;26;247;250;298;298;yes;0.7656;0;5.6018;0.87951;0.61458;0.00064622;0.15304;0.33333;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.40278;0.5;0.25
China - CN;CN-01;1;27;225;254;271;271;yes;0.24211;0;5.7379;1.0973;0.83229;0.00064622;0.15563;0.30303;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.20833;0.5;0.41667
China - CN;CN-01;1;28;187;325;236;236;yes;0;0;5.9388;1.8472;0.7773;0;0.16019;0.27273;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;1;0.20833;0;1
China - CN;CN-01;1;29;160;439;224;224;yes;0;0;6.7785;1.3693;0.7773;4.3356e-05;0.11715;0.24242;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.26389;0.75;0.16667
China - CN;CN-01;1;30;137;415;193;193;yes;0;0;6.7176;0.60632;0.7773;8.3309e-05;0.12575;0.24242;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.26389;0.75;0.16667
China - CN;CN-01;1;31;98;432;152;152;yes;0.24211;0;7.15;1.7001;0.49877;0.00012667;0.1256;0.21212;95;-1;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;0;0;0.26389;1;0
China - CN;CN-01;1;32;246;151;281;281;yes;0.87292;0;6.7809;0.93843;0.61208;0;0.17123;0.30303;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;0;0;0.13889;0;0.75
China - CN;CN-01;1;33;284;63;319;319;yes;0.96842;0;8.5959;1.0717;0.61309;0.00029269;0.11557;0.12121;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.26389;0.5;0.41667
China - CN;CN-01;1;34;254;54;275;275;yes;1.7119;0;9.0353;1.219;0.42972;0.00029269;0.1233;0.12121;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.26389;0.5;0.41667
China - CN;CN-01;1;35;188;111;195;195;yes;1.6241;0;8.0368;2.6577;0.41315;0;0.11954;0.12121;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.23611;0.5;0.41667
China - CN;CN-01;2;1;923;157;1179;1179;yes;0.72632;0;8.2529;2.3391;0.56713;0;0.20416;0.090909;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.20833;0;0.91667
China - CN;CN-01;2;2;890;335;1082;1082;yes;0.72632;243.4349;6.8826;1.7425;0.56713;0;0.16026;0.21212;95;0;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.15278;0;1
China - CN;CN-01;2;3;941;524;1090;1090;yes;0.54136;180;8.8353;1.296;0.64082;0;0.14619;0.15152;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.44444;1;0
China - CN;CN-01;2;4;869;456;1027;1027;yes;0.24211;180;7.53;1.4589;0.91754;0;0.1422;0.21212;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0;0.26389;0.75;0.16667
China - CN;CN-01;2;5;816;535;952;952;yes;0.54136;279.4623;8.1935;2.5612;0.5789;0;0.11941;0.15152;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;1;0.20833;0;1
China - CN;CN-01;2;6;746;410;896;896;yes;0;146.3099;6.3;1.4915;0.87654;0;0.1674;0.30303;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.15278;0.25;0.66667
China - CN;CN-01;2;7;762;345;927;927;yes;0.7656;0;5.9135;0.86397;0.55718;0;0.11983;0.21212;95;-3;-3;2;-2;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.5;0.18056;0;0.75
China - CN;CN-01;2;8;789;289;971;971;yes;0.48421;258.6901;6.0012;1.6166;0.59176;0;0.14041;0.21212;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.75;0.18056;0;0.91667
China - CN;CN-01;2;9;784;76;1017;1017;yes;0;71.5651;8.6515;2.0137;0.87654;0.00027629;0.15417;0.090909;95;-2;-1;1;-1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.23611;0.5;0.41667
China - CN;CN-01;2;10;752;88;970;970;yes;0.96842;94.3987;8.1529;1.1333;0.51611;0.00027629;0.14262;0.090909;95;2;1;-1;1;36.8767;93.3429;26.4796;53.2472;46.0022;1;0.25;0.22222;0.5;0.41667
