Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Germany - DE;DE-01;1;1;562;115;704;704;yes;1.15;0;6.5057;5.6944;0.49175;0.0053862;0.082717;0.11111;40;2;1;-1;1;22.0952;91.9655;26.1481;23.289;51.9928;0.25;0.5;0.86111;0.75;0
Germany - DE;DE-01;1;2;583;104;719;719;yes;0;0;6.8064;8.3154;0.7983;0.0022369;0.038279;0.074074;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;0.5;0.5;0.86111;1;0
Germany - DE;DE-01;1;3;556;100;684;684;yes;1.2857;0;6.7232;4.8049;0.57058;0.0031492;0.087997;0.11111;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;0;0.5;0.86111;1;0
Germany - DE;DE-01;1;4;368;290;640;640;yes;1.2857;0;5.2454;3.4732;0.55755;0;0.12635;0.40741;40;-1;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;1;0.75;0.29167;1;0.16667
Germany - DE;DE-01;1;5;419;411;784;784;yes;2.3708;0;6.9482;5.7539;0.24942;0;0.11721;0.2963;40;2;1;-1;1;22.0952;91.9655;26.1481;23.289;51.9928;1;0.75;0.25;0.75;0.41667
Germany - DE;DE-01;1;6;479;332;788;788;yes;0.575;0;6.0361;7.3036;0.57564;0.27381;0.08229;0.2963;40;-3;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;1;0.25;0.23611;0.75;0.41667
Germany - DE;DE-01;1;7;440;312;732;732;yes;0.81317;0;5.4;2.5546;0.52183;0.022174;0.087411;0.37037;40;-1;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;1;0.25;0.26389;1;0.16667
Germany - DE;DE-01;1;8;433;325;735;735;yes;1.2857;0;5.49;0.69069;0.57058;0.029896;0.081837;0.37037;40;-3;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;1;0.25;0.26389;1;0.16667
Germany - DE;DE-01;1;9;422;327;725;725;yes;2.5715;0;5.4571;0.84919;0.21546;0.028671;0.090655;0.40741;40;1;-1;0;0;22.0952;91.9655;26.1481;23.289;51.9928;1;0.25;0.26389;1;0.16667
Germany - DE;DE-01;1;10;395;324;695;695;yes;1.2857;0;5.3793;1.6203;0.50944;0.0031595;0.10569;0.44444;40;-1;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;1;0.25;0.26389;1;0.16667
Germany - DE;DE-01;1;11;291;332;594;594;yes;0.575;0;5.8932;12.0659;0.57564;0.0039628;0.12165;0.22222;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;0.75;0.5;0.20833;0.75;0.41667
Germany - DE;DE-01;1;12;305;325;603;603;yes;0;0;5.745;2.791;0.7983;0.0039628;0.13615;0.33333;40;-3;-3;2;-2;22.0952;91.9655;26.1481;23.289;51.9928;0.75;0.75;0.20833;0.75;0.41667
Germany - DE;DE-01;1;13;147;263;379;379;yes;1.725;0;8.3711;6.9929;0.64411;0;0.12914;0.22222;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;1;1;0.11111;0.25;0.91667
Germany - DE;DE-01;1;14;247;197;423;423;yes;0.575;0;7.4536;17.7112;0.57564;0;0.12196;0.14815;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;0.75;1;0.25;0;1
Germany - DE;DE-01;1;15;347;193;533;533;yes;0.81317;0;5.9207;4.8297;0.64296;0;0.121;0.25926;40;-2;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;1;1;0.38889;0.75;0.41667
Germany - DE;DE-01;1;16;294;212;492;492;yes;1.2857;0;6.3557;3.916;0.55755;0;0.14;0.25926;40;0;-1;1;-1;22.0952;91.9655;26.1481;23.289;51.9928;1;1;0.41667;0.75;0.41667
