Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
England - UK;UK-01;1;1;489;326;843;843;yes;1.9395;0;5.56;12.8743;0.45367;0;1;0;75;-1;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.75;0.72222;1;0.25
England - UK;UK-01;1;2;681;320;1128;1128;yes;0.92;0;8.3925;3.5755;0.62098;0;1;0.33333;75;0;1;-1;1;59.1087;76.7;25.6424;70.2578;85.2015;1;1;0.22222;0.25;1
England - UK;UK-01;1;3;209;313;390;390;yes;0.68573;0;4.4875;2.9472;0.52766;0.0011384;0.10331;1;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.5;0.88889;1;0
England - UK;UK-01;1;4;147;382;389;389;yes;0.92;0;4.935;6.6513;0.31372;0;0.18004;1;75;-1;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0.75;0.25;0.69444;1;0.25
England - UK;UK-01;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0;0.88889;1;0
England - UK;UK-01;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0.25;0.25;0.54167;1;0.25
England - UK;UK-01;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0;0.16667;1;0.66667
England - UK;UK-01;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0.25;0.51389;1;0.41667
England - UK;UK-01;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0;0.25;0;1
England - UK;UK-01;1;10;224;292;382;382;yes;2.1685;0;4.69;8.0876;0.47971;0.0011384;0.12989;1;75;-1;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.5;0.72222;1;0.16667
England - UK;UK-01;2;1;492;327;849;849;yes;0.68573;18.4349;5.575;12.831;0.69086;0;1;0;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.75;0.72222;1;0.25
England - UK;UK-01;2;2;683;320;1131;1131;yes;0.61333;0;8.3775;3.3807;0.68092;0;1;0.33333;75;0;1;-1;1;59.1087;76.7;25.6424;70.2578;85.2015;1;1;0.22222;0.25;1
England - UK;UK-01;2;3;211;312;392;392;yes;0.92;333.4349;4.495;2.9327;0.71181;0.0015743;0.1016;1;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.5;0.88889;1;0
England - UK;UK-01;2;4;149;380;389;389;yes;1.1057;270;4.945;6.6686;0.62576;0;0.17718;1;75;-1;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0.75;0.25;0.69444;1;0.25
England - UK;UK-01;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0;0.88889;1;0
England - UK;UK-01;2;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0.25;0.25;0.54167;1;0.25
England - UK;UK-01;2;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0;0.16667;1;0.66667
England - UK;UK-01;2;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;0;0.25;0.51389;1;0.41667
England - UK;UK-01;2;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-4;75;-3;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0;0.25;0;1
England - UK;UK-01;2;10;229;291;389;389;yes;0.86738;351.8699;4.6625;8.1777;0.10496;0.0015743;0.12763;1;75;1;-1;0;0;59.1087;76.7;25.6424;70.2578;85.2015;1;0.5;0.72222;1;0.16667
England - UK;UK-01;3;1;493;328;851;851;yes;2.5288;20.556;5.5875;12.8526;0.48453;0;1;0;75;-2;-3;2;-2;59.1087;76.7;25.6424;70.2578;85.2015;1;0.75;0.72222;1;0.25
England - UK;UK-01;3;2;684;320;1133;1133;yes;1.2267;0;8.39;3.2937;0.79423;0;1;0.33333;75;0;1;-1;1;59.1087;76.7;25.6424;70.2578;85.2015;1;1;0.22222;0.25;1
