Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Unknown - UKN;UKN-02;1;1;40;546;793;793;yes;1.4375;0;10.7952;0.52542;0.51733;5.0025e-05;0.029261;0.045455;112;-2;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;1;2;93;550;857;857;yes;1.6429;0;10.6396;3.7261;0.47586;5.0025e-05;0.029261;0.045455;112;-2;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;1;3;117;193;305;305;yes;1.1617;0;8.5835;2.5931;0.55937;0;0.10472;0.090909;112;-2;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.48611;0.5;0.33333
Unknown - UKN;UKN-02;1;4;256;181;512;512;yes;0;0;7.2996;2.1323;0.64869;0;0.12817;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.26389;1;0.16667
Unknown - UKN;UKN-02;1;5;344;334;902;902;yes;1.1974;0;6.5178;2.3314;0.52859;0;0.12183;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.41667;1;0.16667
Unknown - UKN;UKN-02;1;6;359;149;620;620;yes;0;0;7.227;1.0601;0.64869;0;0.11277;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;1;7;355;71;434;434;yes;1.2988;0;10.8109;1.2656;0.24543;0;1;0.045455;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.11111;0;1
Unknown - UKN;UKN-02;1;8;484;152;839;839;yes;1.6039;0;6.4296;0.8598;0.48355;0.00042896;0.13736;0.36364;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.26389;1;0.16667
Unknown - UKN;UKN-02;1;9;532;145;909;909;yes;2.4728;0;6.5213;0.9323;0.092806;0.00042896;0.13441;0.31818;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;1;10;522;212;994;994;yes;1.0268;0;5.3339;0.92399;0.29205;0;0.1144;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;1;11;430;406;1099;1099;yes;1.495;0;7.3722;2.9642;0.45241;0;0.12714;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;1;12;589;253;1147;1147;yes;0.84671;0;5.3896;0.84482;0.57973;0;0.13127;0.36364;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;1;13;558;408;1260;1260;yes;0.6494;0;7.4322;2.65;0.56694;0;0.14339;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.29167;1;0.16667
Unknown - UKN;UKN-02;1;14;699;310;1358;1358;yes;1.0268;0;6.3009;2.4672;0.57581;0;0.15982;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.44444;1;0
Unknown - UKN;UKN-02;1;15;653;194;1174;1174;yes;4.0917;0;5.5404;1.1587;0.05774;0.00084948;0.11322;0.45455;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.33333;1;0
Unknown - UKN;UKN-02;1;16;870;178;1495;1495;yes;2.2589;0;7.1748;1.3781;0.33036;0;0.11922;0.22727;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;1;17;911;124;1517;1517;yes;1.1059;0;8.843;0.98917;0.58343;0;0.12757;0.13636;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.22222;0.75;0.33333
Unknown - UKN;UKN-02;1;18;948;369;1714;1714;yes;2.7398;0;8.5509;2.5044;0.24444;0;0.17608;0.090909;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.88889;1;0
Unknown - UKN;UKN-02;1;19;741;576;1574;1574;yes;0.74043;0;10.9178;3.3137;0.54247;0;1;0.045455;112;-2;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.70833;0.25;0.58333
Unknown - UKN;UKN-02;1;20;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;1;21;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.5;0.5;0.38889;1;0.16667
Unknown - UKN;UKN-02;1;22;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;0.25;0.19444;0.75;0.33333
Unknown - UKN;UKN-02;1;23;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;1;0.18056;0.5;0.33333
Unknown - UKN;UKN-02;1;24;593;214;1104;1104;yes;0.20536;0;5.2861;0.1842;0.27475;0.00041951;0.1001;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.26389;1;0.16667
Unknown - UKN;UKN-02;1;25;359;308;885;885;yes;0;0;6.1765;1.1514;0.64869;0;0.13142;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;1;26;604;196;1098;1098;yes;0.6494;0;5.427;0.35934;0.39744;0.001269;0.10293;0.40909;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;1;27;750;191;1320;1320;yes;0;0;6.0883;0.95261;0.64869;0;0.11682;0.36364;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.27778;1;0.16667
Unknown - UKN;UKN-02;1;28;787;153;1339;1339;yes;0;0;7.03;1.7415;0.64869;0;0.12084;0.27273;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.27778;1;0.16667
Unknown - UKN;UKN-02;1;29;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;1;30;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;2;1;43;543;793;793;yes;1.1059;270;10.7548;0.55328;0.39152;0.00079321;0.029397;0.045455;112;-2;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;2;2;96;547;857;857;yes;0.58084;270;10.593;3.7337;0.37021;0.00079321;0.029397;0.045455;112;0;-1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;2;3;116;192;301;301;yes;2.2118;225;8.5922;2.5708;0.18676;0;0.10624;0.090909;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.48611;0.5;0.33333
Unknown - UKN;UKN-02;2;4;256;181;512;512;yes;2.0536;0;7.2752;2.126;0.28373;0;0.12859;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.26389;1;0.16667
Unknown - UKN;UKN-02;2;5;341;333;897;897;yes;0.29042;210.9638;6.5122;2.3906;0.26364;0;0.090253;0.13636;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.41667;1;0.16667
Unknown - UKN;UKN-02;2;6;359;149;620;620;yes;1.4809;0;7.1978;1.0415;0.33224;0;0.11209;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;2;7;355;72;436;436;yes;1.564;71.5651;10.7309;1.2752;0.30967;0;1;0.045455;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.11111;0;1
Unknown - UKN;UKN-02;2;8;481;151;833;833;yes;1.3776;219.8056;6.4404;0.87018;0.38088;0.00036261;0.13858;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.26389;1;0.16667
Unknown - UKN;UKN-02;2;9;531;147;910;910;yes;1.1059;85.2364;6.4309;0.89375;0.36378;0.00036261;0.13065;0.31818;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;2;10;521;213;994;994;yes;1.3149;90;5.3135;0.93276;0.36329;0;0.11567;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;2;11;433;404;1101;1101;yes;1.3149;285.9454;7.3396;2.9193;0.37019;0;0.1267;0.18182;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;2;12;589;252;1146;1146;yes;1.0471;255.9638;5.3752;0.83004;0.39972;0;0.13158;0.36364;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;2;13;558;407;1259;1259;yes;0.74043;251.5651;7.4222;2.6184;0.36654;0;0.12274;0.13636;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.29167;1;0.16667
Unknown - UKN;UKN-02;2;14;698;309;1355;1355;yes;0;233.1301;6.28;2.4581;0.58788;0;0.15988;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.44444;1;0
Unknown - UKN;UKN-02;2;15;652;190;1168;1168;yes;0.41071;252.4744;5.567;1.2425;0.32231;0.00089016;0.11375;0.45455;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.33333;1;0
Unknown - UKN;UKN-02;2;16;871;176;1495;1495;yes;1.1974;270;7.2004;1.3622;0.3925;0;0.11926;0.22727;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;2;17;910;123;1515;1515;yes;0;248.1986;8.843;0.96591;0.58788;0;0.12739;0.13636;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.22222;0.75;0.33333
Unknown - UKN;UKN-02;2;18;947;365;1711;1711;yes;0;257.0054;8.5035;2.5865;0.58788;0;0.17535;0.090909;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.88889;1;0
Unknown - UKN;UKN-02;2;19;739;575;1571;1571;yes;1.4375;213.6901;10.9126;3.3376;0.30691;0;1;0.045455;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.70833;0.25;0.58333
Unknown - UKN;UKN-02;2;20;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;2;21;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.5;0.5;0.38889;1;0.16667
Unknown - UKN;UKN-02;2;22;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;0.25;0.19444;0.75;0.33333
Unknown - UKN;UKN-02;2;23;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;1;0.18056;0.5;0.33333
Unknown - UKN;UKN-02;2;24;594;214;1105;1105;yes;2.0942;0;5.273;0.18059;0.26803;0.00033881;0.10094;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.26389;1;0.16667
Unknown - UKN;UKN-02;2;25;359;308;885;885;yes;4.9371;0;6.1691;1.1234;0.028137;0;0.13117;0.18182;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;2;26;602;196;1095;1095;yes;3.7866;161.5651;5.4057;0.33273;0.063615;0.001229;0.10321;0.40909;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;2;27;750;191;1320;1320;yes;8.0927;0;6.0743;0.96187;0.001275;0;0.11788;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.27778;1;0.16667
Unknown - UKN;UKN-02;2;28;787;153;1339;1339;yes;0;0;7.0083;1.7165;0.58788;0;0.12006;0.27273;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.27778;1;0.16667
Unknown - UKN;UKN-02;2;29;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;2;30;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;3;1;44;541;791;791;yes;1.4521;260.5377;10.7548;0.58167;0.38756;0.00030799;0.031476;0.045455;112;-3;1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;3;2;97;548;859;859;yes;1.1974;288.4349;10.6383;3.689;0.3234;0.00030799;0.031476;0.045455;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;3;3;111;191;291;291;yes;0.45919;209.7449;8.6517;2.5178;0.22175;0;0.11146;0.090909;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.48611;0.5;0.33333
Unknown - UKN;UKN-02;3;4;259;179;512;512;yes;1.1974;270;7.2717;2.1545;0.24496;0;0.12883;0.18182;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.26389;1;0.16667
Unknown - UKN;UKN-02;3;5;340;333;896;896;yes;1.7665;198.4349;6.543;2.4361;0.35416;0;0.094685;0.13636;112;-1;1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.41667;1;0.16667
Unknown - UKN;UKN-02;3;6;360;150;624;624;yes;1.4809;56.3099;7.127;1.0164;0.38544;0;0.11025;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;3;7;355;73;439;439;yes;0.41071;68.9625;10.633;1.2745;0.29825;0;1;0.045455;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.11111;0;1
Unknown - UKN;UKN-02;3;8;484;150;836;836;yes;4.8813;254.7449;6.4252;0.86641;0.061586;0.00024175;0.13777;0.36364;112;-2;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.26389;1;0.16667
Unknown - UKN;UKN-02;3;9;531;148;912;912;yes;3.4424;79.992;6.3643;0.84542;0.13375;0.00024175;0.12719;0.31818;112;0;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;3;10;523;214;999;999;yes;0.20536;60.9454;5.2965;0.92626;0.28316;0;0.11558;0.36364;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;3;11;432;402;1097;1097;yes;0.84671;260.5377;7.343;2.8973;0.35053;0;0.12883;0.18182;112;-1;1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;3;12;589;251;1145;1145;yes;0.20536;257.4712;5.3791;0.81665;0.28316;0;0.13232;0.36364;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;3;13;557;406;1257;1257;yes;0.20536;243.4349;7.437;2.6322;0.28316;0;0.12255;0.13636;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.29167;1;0.16667
Unknown - UKN;UKN-02;3;14;698;309;1355;1355;yes;0;233.1301;6.3043;2.5329;0.59836;0;0.16013;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.44444;1;0
Unknown - UKN;UKN-02;3;15;653;190;1170;1170;yes;1.1974;258.1113;5.5539;1.1515;0.38261;0.00029302;0.11295;0.45455;112;-2;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.33333;1;0
Unknown - UKN;UKN-02;3;16;873;175;1498;1498;yes;1.4809;280.6197;7.2287;1.4073;0.23981;0;0.12049;0.22727;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.30556;1;0
Unknown - UKN;UKN-02;3;17;910;123;1515;1515;yes;0.20536;248.1986;8.8183;0.95113;0.28316;0;0.12616;0.13636;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.22222;0.75;0.33333
Unknown - UKN;UKN-02;3;18;947;365;1711;1711;yes;1.3776;257.0054;8.5339;2.6093;0.38873;0;0.17544;0.090909;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.88889;1;0
Unknown - UKN;UKN-02;3;19;737;578;1571;1571;yes;0.29042;120.9638;11.0017;3.3016;0.22191;0;1;0.045455;112;2;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0;0.70833;0.25;0.58333
Unknown - UKN;UKN-02;3;20;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;3;21;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.5;0.5;0.38889;1;0.16667
Unknown - UKN;UKN-02;3;22;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;0.25;0.19444;0.75;0.33333
Unknown - UKN;UKN-02;3;23;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0.75;1;0.18056;0.5;0.33333
Unknown - UKN;UKN-02;3;24;597;212;1107;1107;yes;2.0942;286.6992;5.2778;0.17307;0.26483;0;0.099661;0.36364;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;1;0.26389;1;0.16667
Unknown - UKN;UKN-02;3;25;360;302;878;878;yes;1.6039;253.0725;6.1304;1.1361;0.29629;0;0.13622;0.18182;112;2;1;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.29167;1;0.16667
Unknown - UKN;UKN-02;3;26;597;193;1083;1083;yes;1.6039;220.9144;5.4209;0.36438;0.2385;0.00029302;0.10243;0.40909;112;-1;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;3;27;740;184;1297;1297;yes;4.3125;234.2933;6.0761;0.99279;0.080645;0;0.11595;0.36364;112;1;-1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.27778;1;0.16667
Unknown - UKN;UKN-02;3;28;787;153;1339;1339;yes;1.6556;0;6.9804;1.6882;0.33258;0;0.11734;0.27273;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.27778;1;0.16667
Unknown - UKN;UKN-02;3;29;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;3;30;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;0;0.5;0.25;0.75;0.16667
Unknown - UKN;UKN-02;4;1;46;538;790;790;yes;0.6494;261.0274;10.7348;0.62392;0.25134;0.00078441;0.034073;0.045455;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;4;2;102;547;864;864;yes;2.0638;307.875;10.6391;3.6869;0.42576;0.00078441;0.034073;0.045455;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.44444;1;0
Unknown - UKN;UKN-02;4;3;110;191;289;289;yes;1.1974;203.6294;8.6565;2.4682;0.26351;0;0.11048;0.090909;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.48611;0.5;0.33333
Unknown - UKN;UKN-02;4;4;256;180;509;509;yes;2.0536;239.0362;7.2748;2.1906;0.41528;0;0.13147;0.18182;112;-1;1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.75;0.26389;1;0.16667
Unknown - UKN;UKN-02;4;5;339;331;891;891;yes;1.7665;219.2894;6.5439;2.4355;0.45902;0;0.094992;0.13636;112;-1;1;1;-1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.41667;1;0.16667
Unknown - UKN;UKN-02;4;6;359;149;620;620;yes;0.41071;0;7.1526;1.022;0.36507;0;0.11168;0.18182;112;-3;-3;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
Unknown - UKN;UKN-02;4;7;356;73;441;441;yes;1.8482;61.6992;10.5878;1.2803;0.22058;0;1;0.045455;112;1;3;-1;1;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.11111;0;1
Unknown - UKN;UKN-02;4;8;483;146;827;827;yes;2.0225;250.0169;6.5352;0.87151;0.18334;0.00051363;0.14345;0.36364;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.26389;1;0.16667
Unknown - UKN;UKN-02;4;9;531;145;907;907;yes;1.4521;153.4349;6.4374;0.86332;0.48958;0.00051363;0.13147;0.31818;112;0;1;0;0;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.5;0.25;1;0.16667
Unknown - UKN;UKN-02;4;10;524;214;1000;1000;yes;2.2118;56.3099;5.3039;0.93134;0.40411;0;0.11874;0.36364;112;-2;-1;2;-2;50.4693;92.2333;27.8159;65.0913;84.6274;1;0.25;0.25;1;0.16667
