Country;Video;Frame;Num_Groups;Groups
Austria - AT;AT-01;1;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;2;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;3;1;[4  5]
Austria - AT;AT-01;4;1;[2  3]
Austria - AT;AT-01;5;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;6;3;[2  3], [6  7], [8  9]
Austria - AT;AT-01;7;3;[2  3], [6  7], [8  9]
Austria - AT;AT-01;8;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;9;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;10;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;11;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;12;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;13;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;14;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;15;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;16;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;17;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;18;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;19;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;20;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;21;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;22;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;23;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;24;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;25;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;26;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;27;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;28;4;[1  6  7], [2  3], [4  5], [8  9]
Austria - AT;AT-01;29;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;30;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;31;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;32;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;33;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;34;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;35;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;36;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;37;4;[2  3], [4  5], [6  7], [8  9]
Austria - AT;AT-01;38;4;[2  3], [4  5], [6  7], [8  9]
