Country;Video;Frame;Num_Groups;Groups
Brazil - BR;BR-08;1;2;[1  2], [3  4]
Brazil - BR;BR-08;2;1;[1  2]
Brazil - BR;BR-08;3;1;[1  2]
Brazil - BR;BR-08;4;1;[1  2]
Brazil - BR;BR-08;5;1;[1  2]
Brazil - BR;BR-08;6;1;[1  2]
Brazil - BR;BR-08;7;1;[1  2]
Brazil - BR;BR-08;8;1;[1  2]
Brazil - BR;BR-08;9;1;[1  2]
Brazil - BR;BR-08;10;1;[1  2]
Brazil - BR;BR-08;11;1;[1  2]
Brazil - BR;BR-08;12;1;[1  2]
Brazil - BR;BR-08;13;1;[1  2]
Brazil - BR;BR-08;14;1;[1  2]
Brazil - BR;BR-08;15;1;[1  2]
Brazil - BR;BR-08;16;1;[1  2]
Brazil - BR;BR-08;17;1;[1  2]
Brazil - BR;BR-08;18;1;[1  2]
Brazil - BR;BR-08;19;1;[1  2]
Brazil - BR;BR-08;20;1;[1  2]
Brazil - BR;BR-08;21;1;[1  2]
Brazil - BR;BR-08;22;1;[1  2]
Brazil - BR;BR-08;23;1;[1  2]
Brazil - BR;BR-08;24;1;[1  2]
Brazil - BR;BR-08;25;1;[1  2]
Brazil - BR;BR-08;26;1;[1  2]
Brazil - BR;BR-08;27;1;[1  2]
Brazil - BR;BR-08;28;1;[1  2]
Brazil - BR;BR-08;29;1;[1  2]
Brazil - BR;BR-08;30;1;[1  2]
Brazil - BR;BR-08;31;1;[1  2]
Brazil - BR;BR-08;32;1;[1  2]
Brazil - BR;BR-08;33;2;[1  2], [11  12]
Brazil - BR;BR-08;34;2;[1  2], [10  11  12]
Brazil - BR;BR-08;35;2;[1  2], [10  11  12]
Brazil - BR;BR-08;36;2;[1  2], [10  11  12]
Brazil - BR;BR-08;37;2;[1  2], [10  11  12]
Brazil - BR;BR-08;38;2;[1  2], [10  11  12]
Brazil - BR;BR-08;39;2;[1  2], [10  11  12]
Brazil - BR;BR-08;40;2;[1  2], [10  11  12]
Brazil - BR;BR-08;41;2;[1  2], [10  11  12]
Brazil - BR;BR-08;42;2;[1  2], [10  11  12]
Brazil - BR;BR-08;43;2;[1  2], [10  11  12]
Brazil - BR;BR-08;44;2;[1  2], [10  11  12]
Brazil - BR;BR-08;45;2;[1  2], [10  11  12]
Brazil - BR;BR-08;46;2;[1  2], [10  11  12]
Brazil - BR;BR-08;47;2;[1  2], [10  11  12]
Brazil - BR;BR-08;48;2;[1  2], [10  11  12]
Brazil - BR;BR-08;49;2;[1  2], [10  11  12]
Brazil - BR;BR-08;50;2;[1  2], [10  11  12]
Brazil - BR;BR-08;51;2;[1  2], [10  11  12]
Brazil - BR;BR-08;52;2;[1  2], [10  11  12]
Brazil - BR;BR-08;53;2;[1  2], [10  11  12]
Brazil - BR;BR-08;54;2;[1  2], [10  11  12]
Brazil - BR;BR-08;55;2;[1  2], [10  11  12]
Brazil - BR;BR-08;56;2;[1  2], [10  11  12]
Brazil - BR;BR-08;57;2;[1  2], [10  11  12]
Brazil - BR;BR-08;58;2;[1  2], [10  11  12]
Brazil - BR;BR-08;59;2;[1  2], [10  11  12]
Brazil - BR;BR-08;60;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;61;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;62;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;63;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;64;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;65;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;66;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;67;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;68;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;69;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;70;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;71;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;72;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;73;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;74;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;75;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;76;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;77;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;78;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;79;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;80;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;81;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;82;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;83;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;84;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;85;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;86;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;87;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;88;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;89;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;90;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;91;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;92;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;93;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;94;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;95;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;96;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;97;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;98;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;99;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;100;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;101;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;102;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;103;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;104;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;105;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;106;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;107;3;[1  2], [4  8], [10  11  12]
Brazil - BR;BR-08;108;4;[1  2], [4  8], [10  11  12], [13  14]
Brazil - BR;BR-08;109;4;[1  2], [4  8], [10  11  12], [13  14]
Brazil - BR;BR-08;110;4;[1  2], [4  8  9], [10  11  12], [13  14]
