Country;Video;Frame;Num_Groups;Groups
China - CN;CN-02;1;5;[2  3  4  5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;2;1;[2  3  4]
China - CN;CN-02;3;4;[2  3  4], [9  10], [18  19], [22  23]
China - CN;CN-02;4;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;5;5;[3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;6;5;[3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;7;5;[3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;8;5;[3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;9;4;[2  3], [9  10], [18  19], [22  23]
China - CN;CN-02;10;5;[2  3], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;11;5;[3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;12;5;[2  3  4], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;13;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;14;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;15;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;16;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;17;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;18;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;19;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;20;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;21;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;22;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;23;6;[2  3], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;24;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;25;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;26;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;27;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;28;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;29;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;30;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;31;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;32;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;33;7;[2  3  4], [5  6], [9  10], [11  12], [18  19], [20  21], [22  23]
China - CN;CN-02;34;6;[2  3  4], [5  6], [9  10], [11  12], [18  19], [22  23]
China - CN;CN-02;35;6;[5  6], [9  10], [11  12], [18  19], [20  21], [22  23]
