Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
BR-15;BR-15;1;1;399;384;399;399;yes;0;0;3.4121;2.8745;1;0;0.31529;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;2;285;383;285;285;yes;0;0;3.8386;3.2484;1;0;0.31;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;3;194;355;194;194;yes;0;0;4.3093;2.919;1;0;0.36397;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;4;151;221;151;151;yes;0;0;4.4157;3.3561;1;0;0.33059;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;5;178;101;178;178;yes;0;0;4.435;2.4572;1;0;0.35324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;6;300;62;300;300;yes;0;0;3.8193;3.4802;1;0;0.36642;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;7;422;53;422;422;yes;0;0;3.4543;2.5268;1;0;0.31941;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;8;522;60;522;522;yes;0;0;3.3743;2.6642;1;0;0.32843;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;9;613;62;613;613;yes;0;0;3.5864;2.5434;1;0;0.34811;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;10;712;98;712;712;yes;0;0;3.9364;1.9314;1;0;0.34643;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;11;744;192;744;744;yes;0;0;3.895;2.4204;1;0;0.32269;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;12;746;281;746;746;yes;0;0;3.935;2.0005;1;0;0.32689;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;13;717;361;717;717;yes;0;0;3.9857;2.1158;1;0;0.32181;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;14;632;397;632;632;yes;0;0;3.7171;3.1504;1;0;0.32672;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;1;15;491;383;491;491;yes;0;0;3.3229;3.5956;1;0;0.37164;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;1;399;384;399;399;yes;0;0;3.4121;2.8745;0.99602;0;0.31529;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;2;285;383;285;285;yes;0;0;3.8386;3.2484;0.99602;0;0.31;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;3;194;355;194;194;yes;0.30682;0;4.3093;2.919;0.97414;0;0.36397;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;4;151;221;151;151;yes;0;0;4.4157;3.3561;0.99602;0;0.33059;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;5;178;101;178;178;yes;0;0;4.435;2.4572;0.99602;0;0.35324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;6;300;62;300;300;yes;0;0;3.8193;3.4802;0.99602;0;0.36642;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;7;422;53;422;422;yes;0;0;3.4543;2.5268;0.99602;0;0.31941;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;8;522;60;522;522;yes;0;0;3.3743;2.6642;0.99602;0;0.32843;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;9;613;62;613;613;yes;0;0;3.5864;2.5434;0.99602;0;0.34811;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;10;712;98;712;712;yes;0.30682;0;3.9364;1.9314;0.97414;0;0.34643;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;11;744;192;744;744;yes;0;0;3.895;2.4204;0.99602;0;0.32269;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;12;746;281;746;746;yes;0;0;3.935;2.0005;0.99602;0;0.32689;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;13;717;361;717;717;yes;0;0;3.9857;2.1158;0.99602;0;0.32181;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;14;632;397;632;632;yes;0;0;3.7171;3.1504;0.99602;0;0.32672;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;2;15;491;383;491;491;yes;0;0;3.3229;3.5956;0.99602;0;0.37164;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;1;399;384;399;399;yes;0;0;3.4107;2.8745;1;0;0.315;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;2;285;383;285;285;yes;0;0;3.8371;3.2379;1;0;0.30971;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;3;195;355;195;195;yes;0;0;4.3007;2.9187;1;0;0.36324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;4;151;221;151;151;yes;0;0;4.415;3.3586;1;0;0.33059;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;5;178;101;178;178;yes;0;0;4.4343;2.4572;1;0;0.35324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;6;300;62;300;300;yes;0;0;3.8186;3.4802;1;0;0.36642;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;7;422;53;422;422;yes;0;0;3.4529;2.5268;1;0;0.31912;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;8;522;60;522;522;yes;0;0;3.3729;2.6642;1;0;0.32819;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;9;613;62;613;613;yes;0;0;3.585;2.5351;1;0;0.3479;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;10;711;98;711;711;yes;0;180;3.9279;1.932;1;0;0.34559;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;11;744;192;744;744;yes;0;0;3.8943;2.4243;1;0;0.32269;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;12;746;281;746;746;yes;0;0;3.9343;2.0005;1;0;0.32689;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;13;717;361;717;717;yes;0;0;3.985;2.1158;1;0;0.32181;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;14;632;397;632;632;yes;0;0;3.7157;3.1504;1;0;0.32647;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;3;15;491;383;491;491;yes;0;0;3.3214;3.5956;1;0;0.37143;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;1;399;384;399;399;yes;0.30682;0;3.4107;2.8745;0.87303;0;0.315;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;2;285;383;285;285;yes;0;0;3.8371;3.2379;0.99204;0;0.30971;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;3;195;355;195;195;yes;0.30682;0;4.3007;2.9187;0.90341;0;0.36324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;4;151;221;151;151;yes;0.30682;0;4.415;3.3586;0.87303;0;0.33059;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;5;178;101;178;178;yes;0;0;4.4343;2.4572;0.99204;0;0.35324;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;6;300;62;300;300;yes;0;0;3.8186;3.4802;0.99204;0;0.36642;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;7;422;53;422;422;yes;0;0;3.4529;2.5268;0.99204;0;0.31912;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;8;522;60;522;522;yes;0;0;3.3729;2.6642;0.99204;0;0.32819;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;9;613;62;613;613;yes;0;0;3.585;2.5351;0.99204;0;0.3479;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;10;711;98;711;711;yes;0.30682;180;3.9279;1.932;0.97812;0;0.34559;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;11;744;192;744;744;yes;0;0;3.8943;2.4243;0.99204;0;0.32269;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;12;746;281;746;746;yes;0;0;3.9343;2.0005;0.99204;0;0.32689;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;13;717;361;717;717;yes;0;0;3.985;2.1158;0.99204;0;0.32181;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;14;632;397;632;632;yes;0;0;3.7157;3.1504;0.99204;0;0.32647;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;4;15;491;383;491;491;yes;0;0;3.3214;3.5956;0.99204;0;0.37143;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;1;399;385;399;399;yes;0.43391;90;3.415;2.8461;0.91165;0;0.315;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;2;285;383;285;285;yes;0;0;3.8364;3.2463;0.99215;0;0.30971;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;3;196;355;196;196;yes;0;0;4.2943;2.9299;0.99215;0;0.36275;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;4;151;220;151;151;yes;0.43391;270;4.4143;3.3617;0.91165;0;0.33118;0.38462;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;5;178;101;178;178;yes;0;0;4.4336;2.4447;0.99215;0;0.35294;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;6;300;62;300;300;yes;0;0;3.8171;3.4808;0.99215;0;0.36593;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;7;422;53;422;422;yes;0;0;3.4529;2.5313;0.99215;0;0.31882;0.46154;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;8;522;60;522;522;yes;0;0;3.3721;2.6642;0.99215;0;0.32794;0.53846;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR-15;BR-15;5;9;613;62;613;613;yes;0;0;3.5843;2.5266;0.99215;0;0.34769;0.61538;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
