Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Brazil - BR;BR-01;1;1;127;79;233;233;yes;0;0;10.2633;9.3798;1;0;1;0;70;-1;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;1;0.75;0.19444;1;0.66667
Brazil - BR;BR-01;1;2;584;170;832;832;yes;0;0;5.7667;10.1615;1;0;0.13409;1;70;-1;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;1;1;0.36111;0.75;0.75
Brazil - BR;BR-01;1;3;600;116;837;837;yes;0;0;6.2567;5.0426;1;0;0.13409;1;70;-1;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.75;0;0.43056;0.5;0.58333
Brazil - BR;BR-01;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;0.5;0.56944;0.25;0.66667
Brazil - BR;BR-01;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;1;0.66667;0;1
Brazil - BR;BR-01;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.59722;0.5;0.58333
Brazil - BR;BR-01;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.69444;1;0.16667
Brazil - BR;BR-01;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.25;0.88889;1;0
Brazil - BR;BR-01;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.25;0.88889;1;0
Brazil - BR;BR-01;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;1;0.66667;0;1
Brazil - BR;BR-01;1;11;602;423;905;905;yes;0;0;9.38;5.7884;1;0;1;0.5;70;2;1;-1;1;75.1799;85.4375;24.3731;78.7776;113.6332;1;0;0.11111;1;0.66667
Brazil - BR;BR-01;1;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.73611;0.5;0.58333
Brazil - BR;BR-01;1;13;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.5;0.88889;1;0
Brazil - BR;BR-01;1;14;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.25;0.88889;1;0
Brazil - BR;BR-01;1;15;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.5;0.75;0.73611;0;0.66667
Brazil - BR;BR-01;1;16;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.44444;0.5;0.58333
Brazil - BR;BR-01;2;1;127;79;233;233;yes;0;0;10.2633;9.3798;0.95269;0;1;0;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;1;0.75;0.19444;1;0.66667
Brazil - BR;BR-01;2;2;584;170;832;832;yes;0;0;5.7667;10.1615;0.95269;0;0.13409;1;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;1;1;0.36111;0.75;0.75
Brazil - BR;BR-01;2;3;600;116;837;837;yes;0.71429;0;6.2567;5.0426;0.85808;0;0.13409;1;70;-1;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.75;0;0.43056;0.5;0.58333
Brazil - BR;BR-01;2;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;0.5;0.56944;0.25;0.66667
Brazil - BR;BR-01;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;1;0.66667;0;1
Brazil - BR;BR-01;2;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.59722;0.5;0.58333
Brazil - BR;BR-01;2;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.69444;1;0.16667
Brazil - BR;BR-01;2;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.25;0.88889;1;0
Brazil - BR;BR-01;2;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;0.25;0.88889;1;0
Brazil - BR;BR-01;2;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0.25;1;0.66667;0;1
Brazil - BR;BR-01;2;11;602;423;905;905;yes;0;0;9.38;5.7884;0.95269;0;1;0.5;70;0;1;-1;1;75.1799;85.4375;24.3731;78.7776;113.6332;1;0;0.11111;1;0.66667
Brazil - BR;BR-01;2;12;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;70;-3;-3;2;-2;75.1799;85.4375;24.3731;78.7776;113.6332;0;1;0.73611;0.5;0.58333
