Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Japan - JP;JP-03;1;1;119;405;260;260;yes;2.6151;0;8.5119;3.4736;0.26894;0;0.16152;0.13333;118;2;1;-1;1;60.7941;94.175;26.5052;82.0842;86.4519;1;0.5;0.58333;1;0
Japan - JP;JP-03;1;2;249;480;551;551;yes;0.97458;0;7.4506;1.627;0.57516;0.00018835;0.10833;0.33333;118;-3;-3;2;-2;60.7941;94.175;26.5052;82.0842;86.4519;1;0.25;0.31944;1;0
Japan - JP;JP-03;1;3;298;483;619;619;yes;1.6073;0;7.2538;2.0325;0.51075;0.00018835;0.11642;0.4;118;-3;-3;2;-2;60.7941;94.175;26.5052;82.0842;86.4519;1;0.25;0.29167;1;0
Japan - JP;JP-03;1;4;626;467;1034;1034;yes;1.6654;0;6.9963;1.019;0.4941;0.00029299;0.11352;0.53333;118;-1;-3;2;-2;60.7941;94.175;26.5052;82.0842;86.4519;1;0.25;0.29167;1;0
Japan - JP;JP-03;1;5;725;575;1207;1207;yes;0.80366;0;8.3775;0.85978;0.58696;7.482e-05;0.09098;0.4;118;-3;-3;2;-2;60.7941;94.175;26.5052;82.0842;86.4519;1;0.25;0.31944;1;0
Japan - JP;JP-03;1;6;803;580;1297;1297;yes;1.1695;0;8.8162;0.88186;0.56227;7.482e-05;0.085539;0.33333;118;-3;-3;2;-2;60.7941;94.175;26.5052;82.0842;86.4519;1;0.25;0.30556;1;0
Japan - JP;JP-03;1;7;661;287;948;948;yes;2.5414;0;7.5419;3.2577;0.29719;0;1;0.066667;118;2;1;-1;1;60.7941;94.175;26.5052;82.0842;86.4519;1;1;0.47222;1;0
Japan - JP;JP-03;1;8;513;194;554;554;yes;1.2328;0;9.1812;4.0401;0.34338;0;1;0.066667;118;2;1;-1;1;60.7941;94.175;26.5052;82.0842;86.4519;1;0.5;0.13889;0;1
Japan - JP;JP-03;1;9;614;126;641;641;yes;1.6073;0;11.1338;0.94019;0.28642;0;0.17598;0.13333;118;2;1;-1;1;60.7941;94.175;26.5052;82.0842;86.4519;1;0.75;0.30556;0;1
Japan - JP;JP-03;1;10;541;76;350;350;yes;0;0;14.2131;0.71805;0.66057;0;0.036765;0.13333;118;-2;-1;1;-1;60.7941;94.175;26.5052;82.0842;86.4519;1;0;0.41667;0;0.91667
