Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
United Arab Emirates (Dubai) - AE;AE-02;1;1;371;297;1425;1425;yes;1.7203;0;13.54;5.4852;0.13872;0;1;0;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;1;1;0.69444;0.5;0.41667
United Arab Emirates (Dubai) - AE;AE-02;1;2;476;96;1459;1459;yes;3.1944;0;8.94;4.5378;0.017222;0;1;0.5;72;2;1;-1;1;97.2099;89.8696;23.5252;70.5595;80.5712;1;1;0.80556;0;0.75
United Arab Emirates (Dubai) - AE;AE-02;1;3;409;57;1192;1192;yes;0;0;8.9233;2.6453;0.1528;0;1;0.5;72;-2;-1;1;-1;97.2099;89.8696;23.5252;70.5595;80.5712;1;0;0.65278;0.5;0.41667
United Arab Emirates (Dubai) - AE;AE-02;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0.25;0.5;0.125;0;0.91667
United Arab Emirates (Dubai) - AE;AE-02;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.5;0.16667;0.25;0.66667
United Arab Emirates (Dubai) - AE;AE-02;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.25;0.30556;1;0
United Arab Emirates (Dubai) - AE;AE-02;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.25;0.30556;1;0
United Arab Emirates (Dubai) - AE;AE-02;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0;0.29167;1;0
United Arab Emirates (Dubai) - AE;AE-02;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.25;0.30556;1;0
United Arab Emirates (Dubai) - AE;AE-02;1;10;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.25;0.30556;1;0
United Arab Emirates (Dubai) - AE;AE-02;1;11;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-3;72;-3;-3;2;-2;97.2099;89.8696;23.5252;70.5595;80.5712;0;0.25;0.26389;0.75;0.16667
