Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Brazil - BR;BR-02;1;1;187;228;227;227;yes;2.3585;0;8.049;3.6677;0.11329;0.00054307;0.050314;0.15;100;2;1;-1;1;37.6056;89.4091;26.1453;55.4081;64.1658;0.75;1;0.45833;0;0.83333
Brazil - BR;BR-02;1;2;223;266;255;255;yes;1.25;0;7.8148;3.1975;0.11179;0.00097657;0.088862;0.2;100;2;1;-1;1;37.6056;89.4091;26.1453;55.4081;64.1658;1;1;0.65278;0;0.58333
Brazil - BR;BR-02;1;3;292;195;318;318;yes;0.75;0;7.389;4.9581;0.16679;0.001269;0.048691;0.15;100;2;1;-1;1;37.6056;89.4091;26.1453;55.4081;64.1658;0;1;0.48611;0;0.58333
Brazil - BR;BR-02;1;4;305;232;326;326;yes;1.9039;0;7.2967;8.1796;0.43676;0.0017025;0.04504;0.15;100;-2;-1;1;-1;37.6056;89.4091;26.1453;55.4081;64.1658;0;1;0.65278;0;0.58333
Brazil - BR;BR-02;1;5;195;584;211;211;yes;3.7832;0;9.1771;4.4833;0.18508;8.1571e-05;0.12416;0.15;100;2;1;-1;1;37.6056;89.4091;26.1453;55.4081;64.1658;0.25;0.75;0.11111;0;1
Brazil - BR;BR-02;1;6;237;625;243;243;yes;4.0311;0;9.1962;23.3319;0.14956;8.1571e-05;0.034084;0.1;100;2;1;-1;1;37.6056;89.4091;26.1453;55.4081;64.1658;0;0.75;0.11111;0;1
Brazil - BR;BR-02;1;7;783;112;749;749;yes;2.2361;0;5.3043;9.3053;0.49231;0.0014217;0.12477;0.3;100;-2;-1;1;-1;37.6056;89.4091;26.1453;55.4081;64.1658;1;0.75;0.18056;0.5;0.66667
Brazil - BR;BR-02;1;8;814;122;775;775;yes;1.25;0;5.179;2.3105;0.46295;0.0014217;0.11187;0.3;100;-2;-1;1;-1;37.6056;89.4091;26.1453;55.4081;64.1658;1;1;0.15278;0;1
Brazil - BR;BR-02;1;9;938;239;873;873;yes;1.25;0;4.81;8.2479;0.46295;0.00022484;0.1288;0.45;100;-3;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;1;0.75;0.18056;0.5;0.66667
Brazil - BR;BR-02;1;10;1004;279;927;927;yes;2.0156;0;4.8033;13.6955;0.43256;0.00022484;0.12827;0.45;100;-3;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;1;1;0.18056;0;1
Brazil - BR;BR-02;1;11;1078;144;1008;1008;yes;1.5207;0;4.661;1.6534;0.24871;0.0095683;0.12879;0.55;100;-1;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;0.75;0.5;0.30556;0;0.75
Brazil - BR;BR-02;1;12;1086;153;1015;1015;yes;1.82;0;4.64;1.5222;0.46156;0.0095683;0.12635;0.55;100;-3;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;0.75;0.5;0.30556;0;0.75
Brazil - BR;BR-02;1;13;1226;212;1134;1134;yes;2.1506;0;4.709;2.9204;0.49843;0.00028068;0.10611;0.5;100;-3;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;1;0.75;0.88889;0.5;0
Brazil - BR;BR-02;1;14;1273;241;1173;1173;yes;2;0;4.8224;1.9355;0.50818;0.00049241;0.10685;0.5;100;-3;-3;2;-2;37.6056;89.4091;26.1453;55.4081;64.1658;1;0.5;0.88889;0.5;0
