Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
China - CN;CN-05;1;1;82;414;141;141;yes;0.23;0;5.8548;0.49937;0.87564;0.00061822;0.20507;0.29167;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0.25;0.125;0.25;0.91667
China - CN;CN-05;1;2;91;470;214;214;yes;1.2386;0;6.2432;1.0123;0.5845;0.00078295;0.15565;0.125;100;-2;-1;1;-1;47.3983;91.6786;28.8704;48.8803;53.5816;1;0.25;0.31944;0.25;0.75
China - CN;CN-05;1;3;126;471;257;257;yes;0.5143;0;6.026;2.9338;0.84257;0.00078295;0.1664;0.125;100;-2;-1;1;-1;47.3983;91.6786;28.8704;48.8803;53.5816;1;0.25;0.31944;0.25;0.66667
China - CN;CN-05;1;4;144;371;171;171;yes;0;0;5.9732;1.8244;0.92678;0;0.16578;0.29167;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0;0.18056;0.75;0.66667
China - CN;CN-05;1;5;179;374;224;224;yes;0;0;5.5544;0.75903;0.92678;0;0.17276;0.375;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0;0.16667;0.75;0.66667
China - CN;CN-05;1;6;210;374;268;268;yes;0;0;5.31;1.4595;0.92678;4.0859e-05;0.16246;0.375;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0;0.20833;1;0.41667
China - CN;CN-05;1;7;262;375;343;343;yes;0.23;0;4.9664;1.4451;0.92719;8.9909e-05;0.15341;0.375;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0;0.16667;0.5;0.66667
China - CN;CN-05;1;8;306;371;403;403;yes;0;0;4.91;1.5889;0.92678;4.905e-05;0.14677;0.375;100;-3;-3;2;-2;47.3983;91.6786;28.8704;48.8803;53.5816;1;0;0.20833;0.75;0.41667
China - CN;CN-05;1;9;480;583;722;722;yes;0;0;8.2856;2.8601;0.92678;0;0.2871;0.083333;100;-2;-1;1;-1;47.3983;91.6786;28.8704;48.8803;53.5816;1;0.5;0.15278;0.25;0.91667
China - CN;CN-05;1;10;452;462;657;657;yes;0;0;4.744;1.1136;0.92678;0;0.16839;0.25;100;-2;-1;1;-1;47.3983;91.6786;28.8704;48.8803;53.5816;1;0.75;0.20833;0;1
