Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Portugal - PT;PT-01;1;1;92;116;101;101;yes;0;0;3.435;0.69184;1;0;0.21378;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;1;2;146;114;243;243;yes;0;0;3.305;1.1355;1;0;0.21378;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;1;3;120;89;176;176;yes;0;0;5.53;0.46517;1;0;1;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;1;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;2;1;92;116;101;101;yes;3.8333;0;3.435;0.69184;0.031974;0;0.21378;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;2;2;146;114;243;243;yes;3.8333;0;3.305;1.1355;0.031974;0;0.21378;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;2;3;120;89;176;176;yes;0;0;5.53;0.46517;0.012175;0;1;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;2;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;2;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;3;1;92;115;101;101;yes;0;270;3.34;0.68038;0.91917;0;0.21403;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;3;2;146;115;243;243;yes;0;90;3.375;1.147;0.91917;0;0.21403;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;3;3;120;89;176;176;yes;0.76667;0;5.525;0.46381;0.83834;0;1;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;3;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;3;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;4;1;92;115;101;101;yes;2.499;270;3.34;0.67501;0.25546;0;0.21403;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;4;2;146;115;243;243;yes;0.42858;90;3.375;1.151;0.53364;0;0.21403;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;4;3;119;89;172;172;yes;0.79026;180;5.525;0.46451;0.62571;0;1;1;120;-2;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;4;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;4;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;5;1;92;116;102;102;yes;0;278.1301;3.37;0.68344;0.97319;0;0.21223;1;120;1;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;5;2;147;115;244;244;yes;0.42858;87.3974;3.365;1.1509;0.94639;0;0.21223;1;120;-4;-1;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;5;3;119;89;173;173;yes;0;126.8699;5.555;0.46986;0.97319;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;5;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;5;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;6;1;92;116;102;102;yes;0;278.1301;3.375;0.68344;0.94731;0;0.21364;1;120;1;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;6;2;147;115;245;245;yes;0.575;85.2364;3.38;1.1509;0.93122;0;0.21364;1;120;-4;-1;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;6;3;119;89;173;173;yes;0.19167;126.8699;5.565;0.46986;0.97296;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;6;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;6;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;7;1;92;116;102;102;yes;0.6061;278.1301;3.375;0.68344;0.95982;0;0.21288;1;120;1;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;7;2;147;115;245;245;yes;0.42858;85.7636;3.39;1.1509;0.97658;0;0.21288;1;120;-4;-1;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;7;3;119;89;172;172;yes;0.19167;135;5.575;0.46986;0.96654;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;7;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;7;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;8;1;93;116;103;103;yes;0.38333;296.5651;3.39;0.68078;0.58037;0;0.21212;1;120;-1;-1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;8;2;147;115;246;246;yes;0.38333;84.0939;3.4;1.1474;0.58037;0;0.21212;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;8;3;119;89;171;171;yes;0.27106;141.3402;5.6;0.47069;0.16073;0;1;1;120;2;3;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;8;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;8;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;9;1;93;116;103;103;yes;0.42858;315;3.4;0.67241;0.76401;0;0.21099;1;120;1;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;9;2;148;116;246;246;yes;0.19167;84.4725;3.415;1.1625;0.78534;0;0.21099;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;9;3;118;89;170;170;yes;0;153.4349;5.625;0.4757;0.96771;0;1;1;120;2;3;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;9;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;9;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;10;1;93;116;104;104;yes;0.42858;0;3.41;0.67241;0.88551;0;0.21099;1;120;1;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;10;2;148;116;247;247;yes;0;82.6476;3.415;1.1625;0.89236;0;0.21099;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;10;3;118;89;170;170;yes;0.76667;153.4349;5.635;0.4757;0.83149;0;1;1;120;2;3;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;10;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;10;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;11;1;93;116;105;105;yes;0.42858;26.5651;3.395;0.67241;0.92038;0;0.21034;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;11;2;148;116;247;247;yes;0;82.6476;3.39;1.1625;0.92598;0;0.21034;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;11;3;118;89;170;170;yes;0.575;130.6013;5.605;0.4757;0.89997;0;1;1;120;2;3;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;11;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;11;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;12;1;94;116;106;106;yes;0.6061;38.6598;3.39;0.66936;0.52584;0;0.21071;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;12;2;148;116;247;247;yes;0.79026;82.6476;3.38;1.1591;0.49999;0;0.21071;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;12;3;118;89;170;170;yes;0.19167;120.9638;5.59;0.47682;0.92393;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;12;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;12;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;13;1;94;116;107;107;yes;0.42858;49.3987;3.4;0.6756;0.88551;0;0.20996;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;13;2;148;115;248;248;yes;0;79.5085;3.365;1.1539;0.89236;0;0.20996;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;13;3;118;89;169;169;yes;0.76667;124.992;5.585;0.47326;0.83149;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;13;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;13;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;14;1;95;116;108;108;yes;0.79026;52.125;3.39;0.67246;0.97859;0;0.20856;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;14;2;148;115;248;248;yes;0.76667;79.5085;3.34;1.1503;0.98929;0;0.20856;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;14;3;118;89;169;169;yes;0.76667;116.5651;5.56;0.4746;0.98929;0;1;1;120;-2;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;14;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;14;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;15;1;95;117;109;109;yes;1.0322;58.3925;3.385;0.67186;0.9;0;0.20677;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
Portugal - PT;PT-01;15;2;148;116;248;248;yes;0.42858;80.8377;3.335;1.1497;0.91897;0;0.20677;1;120;-4;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;1;0.5;0.88889;0.75;0
Portugal - PT;PT-01;15;3;118;90;169;169;yes;0.6061;111.2505;5.56;0.48135;0.95088;0;1;1;120;-3;1;1;-1;75.1019;53.4;27.5717;62.7601;43.3224;1;0.25;0.125;1;0.66667
Portugal - PT;PT-01;15;4;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;0.5;0.25;0;1
Portugal - PT;PT-01;15;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-2;120;-3;-3;2;-2;75.1019;53.4;27.5717;62.7601;43.3224;0;1;0.25;0;1
Portugal - PT;PT-01;16;1;95;117;111;111;yes;0.79026;60.9454;3.39;0.67186;0.85351;0;0.20641;1;120;2;1;-1;1;75.1019;53.4;27.5717;62.7601;43.3224;1;0;0.84722;1;0
