Country;Video;Frame;Num_Groups;Groups
United Arab Emirates (Dubai) - AE;AE-01;1;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;2;1;[]
United Arab Emirates (Dubai) - AE;AE-01;3;1;[]
United Arab Emirates (Dubai) - AE;AE-01;4;1;[]
United Arab Emirates (Dubai) - AE;AE-01;5;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;6;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;7;1;[]
United Arab Emirates (Dubai) - AE;AE-01;8;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;9;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;10;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;11;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;12;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;13;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;14;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;15;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;16;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;17;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;18;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;19;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;20;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;21;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;22;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;23;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;24;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;25;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;26;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;27;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;28;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;29;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;30;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;31;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;32;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;33;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;34;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;35;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;36;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;37;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;38;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;39;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;40;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;41;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;42;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;43;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;44;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;45;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;46;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;47;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;48;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;49;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;50;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;51;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;52;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;53;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;54;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;55;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;56;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;57;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;58;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;59;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;60;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;61;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;62;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;63;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;64;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;65;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;66;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;67;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;68;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;69;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;70;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;71;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;72;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;73;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;74;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;75;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;76;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;77;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;78;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;79;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;80;1;[3  11]
United Arab Emirates (Dubai) - AE;AE-01;81;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;82;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;83;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;84;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;85;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;86;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;87;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;88;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;89;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;90;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;91;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;92;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;93;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;94;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;95;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;96;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;97;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;98;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;99;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;100;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;101;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;102;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;103;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;104;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;105;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;106;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;107;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;108;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;109;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;110;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;111;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;112;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;113;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;114;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;115;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;116;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;117;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;118;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;119;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;120;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;121;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;122;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;123;2;[3  11], [7  9]
United Arab Emirates (Dubai) - AE;AE-01;124;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;125;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;126;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;127;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;128;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;129;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;130;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;131;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;132;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;133;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;134;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;135;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;136;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;137;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;138;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;139;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;140;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;141;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;142;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;143;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;144;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;145;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;146;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;147;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;148;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;149;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;150;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;151;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;152;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;153;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;154;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;155;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;156;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;157;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;158;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;159;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;160;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;161;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;162;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;163;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;164;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;165;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;166;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;167;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;168;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;169;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;170;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;171;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;172;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;173;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;174;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;175;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;176;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;177;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;178;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;179;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;180;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;181;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;182;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;183;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;184;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;185;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;186;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;187;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;188;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;189;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;190;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;191;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;192;1;[7  9]
United Arab Emirates (Dubai) - AE;AE-01;193;1;[7  9]
