Country;Video;Frame;Num_Groups;Groups
Austria - AT;AT-03;1;2;[2  3], [4  5]
Austria - AT;AT-03;2;1;[2  3]
Austria - AT;AT-03;3;2;[2  3], [4  5]
Austria - AT;AT-03;4;2;[2  3], [4  5]
Austria - AT;AT-03;5;2;[2  3], [4  5]
Austria - AT;AT-03;6;2;[2  3], [4  5]
Austria - AT;AT-03;7;2;[2  3], [4  5]
Austria - AT;AT-03;8;2;[2  3], [4  5]
Austria - AT;AT-03;9;2;[2  3], [4  5]
Austria - AT;AT-03;10;2;[2  3], [4  5]
Austria - AT;AT-03;11;2;[2  3], [4  5]
Austria - AT;AT-03;12;2;[2  3], [4  5]
Austria - AT;AT-03;13;1;[2  3]
Austria - AT;AT-03;14;1;[2  3]
Austria - AT;AT-03;15;1;[2  3]
Austria - AT;AT-03;16;1;[2  3]
Austria - AT;AT-03;17;1;[2  3]
Austria - AT;AT-03;18;1;[2  3]
Austria - AT;AT-03;19;1;[2  3]
Austria - AT;AT-03;20;1;[2  3]
Austria - AT;AT-03;21;1;[2  3]
Austria - AT;AT-03;22;1;[2  3]
Austria - AT;AT-03;23;1;[2  3]
Austria - AT;AT-03;24;1;[2  3]
Austria - AT;AT-03;25;1;[2  3]
Austria - AT;AT-03;26;1;[2  3]
Austria - AT;AT-03;27;1;[2  3]
Austria - AT;AT-03;28;1;[2  3]
Austria - AT;AT-03;29;1;[2  3]
Austria - AT;AT-03;30;1;[2  3]
Austria - AT;AT-03;31;1;[2  3]
Austria - AT;AT-03;32;1;[2  3]
Austria - AT;AT-03;33;1;[2  3]
Austria - AT;AT-03;34;1;[2  3]
Austria - AT;AT-03;35;1;[2  3]
Austria - AT;AT-03;36;1;[2  3]
Austria - AT;AT-03;37;1;[2  3]
Austria - AT;AT-03;38;1;[2  3]
Austria - AT;AT-03;39;1;[2  3]
Austria - AT;AT-03;40;1;[2  3]
Austria - AT;AT-03;41;1;[2  3]
Austria - AT;AT-03;42;1;[2  3]
Austria - AT;AT-03;43;1;[2  3]
Austria - AT;AT-03;44;1;[2  3]
Austria - AT;AT-03;45;1;[2  3]
Austria - AT;AT-03;46;1;[2  3]
Austria - AT;AT-03;47;1;[2  3]
Austria - AT;AT-03;48;1;[]
Austria - AT;AT-03;49;1;[2  3]
Austria - AT;AT-03;50;1;[2  3]
Austria - AT;AT-03;51;1;[2  3]
Austria - AT;AT-03;52;1;[2  3]
Austria - AT;AT-03;53;1;[2  3]
Austria - AT;AT-03;54;1;[2  3]
Austria - AT;AT-03;55;1;[2  3]
Austria - AT;AT-03;56;1;[2  3]
Austria - AT;AT-03;57;1;[2  3]
Austria - AT;AT-03;58;1;[2  3]
Austria - AT;AT-03;59;1;[2  3]
Austria - AT;AT-03;60;1;[2  3]
Austria - AT;AT-03;61;1;[2  3]
Austria - AT;AT-03;62;1;[2  3]
Austria - AT;AT-03;63;1;[2  3]
Austria - AT;AT-03;64;1;[2  3]
Austria - AT;AT-03;65;1;[2  3]
Austria - AT;AT-03;66;1;[2  3]
Austria - AT;AT-03;67;1;[2  3]
Austria - AT;AT-03;68;1;[2  3]
Austria - AT;AT-03;69;1;[2  3]
Austria - AT;AT-03;70;1;[2  3]
Austria - AT;AT-03;71;1;[2  3]
Austria - AT;AT-03;72;1;[2  3]
Austria - AT;AT-03;73;1;[2  3]
Austria - AT;AT-03;74;1;[2  3]
Austria - AT;AT-03;75;1;[2  3]
Austria - AT;AT-03;76;1;[2  3]
Austria - AT;AT-03;77;1;[2  3]
Austria - AT;AT-03;78;1;[2  3]
Austria - AT;AT-03;79;1;[2  3]
Austria - AT;AT-03;80;1;[2  3]
Austria - AT;AT-03;81;1;[2  3]
Austria - AT;AT-03;82;1;[2  3]
Austria - AT;AT-03;83;2;[2  3], [6  7]
Austria - AT;AT-03;84;1;[2  3]
Austria - AT;AT-03;85;1;[2  3]
Austria - AT;AT-03;86;2;[2  3], [6  7]
Austria - AT;AT-03;87;2;[2  3], [6  7]
Austria - AT;AT-03;88;2;[2  3], [6  7]
Austria - AT;AT-03;89;2;[2  3], [6  7]
Austria - AT;AT-03;90;2;[2  3], [6  7]
Austria - AT;AT-03;91;2;[2  3], [6  7]
Austria - AT;AT-03;92;2;[2  3], [6  7]
Austria - AT;AT-03;93;2;[2  3], [6  7]
Austria - AT;AT-03;94;2;[2  3], [6  7]
Austria - AT;AT-03;95;2;[2  3], [6  7]
Austria - AT;AT-03;96;2;[2  3], [6  7]
Austria - AT;AT-03;97;2;[2  3], [6  7]
Austria - AT;AT-03;98;2;[2  3], [6  7]
Austria - AT;AT-03;99;2;[2  3], [6  7]
Austria - AT;AT-03;100;2;[2  3], [6  7]
Austria - AT;AT-03;101;2;[2  3], [6  7]
Austria - AT;AT-03;102;2;[2  3], [6  7]
Austria - AT;AT-03;103;2;[2  3], [6  7]
Austria - AT;AT-03;104;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;105;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;106;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;107;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;108;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;109;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;110;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;111;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;112;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;113;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;114;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;115;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;116;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;117;3;[2  3], [4  5], [6  7]
Austria - AT;AT-03;118;2;[2  3], [6  7]
Austria - AT;AT-03;119;2;[2  3], [6  7]
Austria - AT;AT-03;120;2;[2  3], [6  7]
Austria - AT;AT-03;121;2;[2  3], [6  7]
Austria - AT;AT-03;122;2;[2  3], [6  7]
Austria - AT;AT-03;123;2;[2  3], [6  7]
Austria - AT;AT-03;124;2;[2  3], [6  7]
Austria - AT;AT-03;125;2;[2  3], [6  7]
Austria - AT;AT-03;126;2;[2  3], [6  7]
Austria - AT;AT-03;127;2;[2  3], [6  7]
Austria - AT;AT-03;128;2;[2  3], [6  7]
Austria - AT;AT-03;129;2;[2  3], [6  7]
Austria - AT;AT-03;130;2;[2  3], [6  7]
Austria - AT;AT-03;131;2;[2  3], [6  7]
Austria - AT;AT-03;132;2;[2  3], [6  7]
Austria - AT;AT-03;133;2;[2  3], [6  7]
Austria - AT;AT-03;134;2;[2  3], [6  7]
Austria - AT;AT-03;135;2;[2  3], [6  7]
Austria - AT;AT-03;136;2;[2  3], [6  7]
Austria - AT;AT-03;137;2;[2  3], [6  7]
Austria - AT;AT-03;138;2;[2  3], [6  7]
Austria - AT;AT-03;139;2;[2  3], [6  7]
Austria - AT;AT-03;140;2;[2  3], [6  7]
Austria - AT;AT-03;141;2;[2  3], [6  7]
Austria - AT;AT-03;142;2;[2  3], [6  7]
Austria - AT;AT-03;143;2;[2  3], [6  7]
Austria - AT;AT-03;144;2;[2  3], [6  7]
Austria - AT;AT-03;145;2;[2  3], [6  7]
Austria - AT;AT-03;146;2;[2  3], [6  7]
Austria - AT;AT-03;147;2;[2  3], [6  7]
Austria - AT;AT-03;148;2;[2  3], [6  7]
Austria - AT;AT-03;149;2;[2  3], [6  7]
Austria - AT;AT-03;150;2;[2  3], [6  7]
Austria - AT;AT-03;151;2;[2  3], [6  7]
Austria - AT;AT-03;152;2;[2  3], [6  7]
Austria - AT;AT-03;153;2;[2  3], [6  7]
Austria - AT;AT-03;154;2;[2  3], [6  7]
