Country;Video;Frame;Num_Groups;Groups
Brazil - BR;BR-04;1;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  16  17  19  20], [17  21  22  23  24  25  26], [24  25  26  27  28], [27  28]
Brazil - BR;BR-04;2;5;[9  10], [12  19], [14  15  16], [22  25], [23  24]
Brazil - BR;BR-04;3;7;[1  2  3], [4  5], [9  10  11], [13  15], [16  17], [22  24  25], [25  27]
Brazil - BR;BR-04;4;7;[6  7], [9  10  11], [12  19], [13  15], [16  17  22], [22  24  25], [26  28]
Brazil - BR;BR-04;5;10;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14], [16  17], [19  20], [21  25], [22  24], [26  27  28]
Brazil - BR;BR-04;6;10;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  25], [22  23], [26  27  28]
Brazil - BR;BR-04;7;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  25], [26  27  28]
Brazil - BR;BR-04;8;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  25], [26  27  28]
Brazil - BR;BR-04;9;10;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  25], [23  24], [26  27  28]
Brazil - BR;BR-04;10;10;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [23  24], [26  27  28]
Brazil - BR;BR-04;11;10;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [23  24], [26  27  28]
Brazil - BR;BR-04;12;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;13;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;14;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;15;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;16;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;17;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;18;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;19;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;20;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;21;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;22;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;23;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;24;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;25;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;26;8;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;27;8;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;28;8;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;29;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;30;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;31;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;32;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;33;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;34;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;35;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;36;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;37;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;38;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;39;9;[2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;40;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;41;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;42;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;43;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;44;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;45;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;46;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;47;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  15], [14  15  19  20], [16  17], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;48;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
Brazil - BR;BR-04;49;9;[1  2  3], [4  5], [6  7  8], [9  10  11], [12  13  14  15  19  20], [16  17], [19  20], [21  22  23  24  25], [26  27  28]
