Country;Video;Frame;Num_Groups;Groups
China - CN;CN-01;1;8;[9  10], [12  13], [15  16  17], [17  18  19  25], [23  24], [26  27], [29  30  31], [33  34]
China - CN;CN-01;2;3;[18  19], [29  30  31], [33  34]
China - CN;CN-01;3;4;[18  19], [26  27], [29  30  31], [33  34]
China - CN;CN-01;4;6;[9  10], [12  13], [17  19], [26  27], [29  31], [33  34]
China - CN;CN-01;5;5;[9  10], [12  13], [16  17], [26  27], [33  34]
China - CN;CN-01;6;5;[9  10], [16  17], [18  19], [26  27], [33  34]
China - CN;CN-01;7;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;8;6;[9  10], [12  13], [16  17], [26  27], [29  30], [33  34]
China - CN;CN-01;9;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;10;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;11;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;12;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;13;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;14;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;15;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;16;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;17;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;18;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;19;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;20;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;21;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;22;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;23;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;24;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;25;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;26;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;27;6;[9  10], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;28;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;29;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;30;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;31;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;32;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;33;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;34;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;35;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;36;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;37;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;38;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;39;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;40;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;41;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;42;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;43;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;44;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;45;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;46;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;47;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;48;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;49;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;50;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;51;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;52;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;53;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;54;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;55;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;56;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;57;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;58;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;59;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;60;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;61;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;62;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;63;6;[12  13], [16  17], [18  19], [26  27], [29  30  31], [33  34]
China - CN;CN-01;64;6;[12  13], [16  17], [18  19], [26  27], [29  30  31], [33  34]
China - CN;CN-01;65;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;66;6;[12  13], [16  17], [18  19], [26  27], [29  30], [33  34]
China - CN;CN-01;67;6;[12  13], [16  17], [18  19], [26  27], [29  30  31], [33  34]
China - CN;CN-01;68;7;[9  10], [12  13], [16  17], [18  19], [26  27], [29  30  31], [33  34]
China - CN;CN-01;69;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;70;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;71;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;72;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;73;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;74;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;75;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;76;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;77;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;78;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;79;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;80;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;81;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;82;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;83;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;84;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;85;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
China - CN;CN-01;86;7;[9  10], [12  13], [15  18  19], [16  17], [26  27], [29  30  31], [33  34]
