Country;Video;Frame;Num_Groups;Groups
France - FR;FR-02;1;1;[1  2]
France - FR;FR-02;2;1;[]
France - FR;FR-02;3;1;[]
France - FR;FR-02;4;1;[]
France - FR;FR-02;5;1;[]
France - FR;FR-02;6;1;[]
France - FR;FR-02;7;1;[]
France - FR;FR-02;8;1;[]
France - FR;FR-02;9;1;[]
France - FR;FR-02;10;1;[]
France - FR;FR-02;11;1;[]
France - FR;FR-02;12;1;[]
France - FR;FR-02;13;1;[1  2]
France - FR;FR-02;14;1;[]
France - FR;FR-02;15;1;[1  2]
France - FR;FR-02;16;1;[]
France - FR;FR-02;17;1;[1  2]
France - FR;FR-02;18;1;[]
France - FR;FR-02;19;1;[]
France - FR;FR-02;20;1;[]
France - FR;FR-02;21;1;[]
France - FR;FR-02;22;1;[]
France - FR;FR-02;23;1;[]
France - FR;FR-02;24;1;[]
France - FR;FR-02;25;1;[1  2]
France - FR;FR-02;26;1;[1  2]
France - FR;FR-02;27;1;[1  2]
France - FR;FR-02;28;1;[1  2]
France - FR;FR-02;29;1;[1  2]
France - FR;FR-02;30;1;[1  2]
France - FR;FR-02;31;1;[1  2]
France - FR;FR-02;32;1;[1  2]
France - FR;FR-02;33;1;[1  2]
France - FR;FR-02;34;1;[1  2]
France - FR;FR-02;35;1;[1  2]
France - FR;FR-02;36;1;[1  2]
France - FR;FR-02;37;1;[1  2]
France - FR;FR-02;38;1;[1  2]
France - FR;FR-02;39;1;[1  2]
France - FR;FR-02;40;1;[1  2]
France - FR;FR-02;41;1;[1  2]
France - FR;FR-02;42;1;[1  2]
France - FR;FR-02;43;1;[1  2]
France - FR;FR-02;44;1;[1  2]
France - FR;FR-02;45;1;[1  2]
France - FR;FR-02;46;1;[1  2]
France - FR;FR-02;47;1;[1  2]
France - FR;FR-02;48;1;[1  2]
France - FR;FR-02;49;1;[1  2]
France - FR;FR-02;50;1;[1  2]
France - FR;FR-02;51;1;[1  2]
France - FR;FR-02;52;1;[1  2]
France - FR;FR-02;53;1;[1  2]
France - FR;FR-02;54;1;[1  2]
France - FR;FR-02;55;1;[1  2]
France - FR;FR-02;56;1;[1  2]
France - FR;FR-02;57;1;[1  2]
France - FR;FR-02;58;1;[1  2]
France - FR;FR-02;59;1;[1  2]
France - FR;FR-02;60;1;[1  2]
France - FR;FR-02;61;1;[1  2]
France - FR;FR-02;62;1;[1  2]
France - FR;FR-02;63;1;[1  2]
France - FR;FR-02;64;1;[1  2]
France - FR;FR-02;65;1;[1  2]
France - FR;FR-02;66;1;[1  2]
France - FR;FR-02;67;1;[1  2]
France - FR;FR-02;68;1;[1  2]
France - FR;FR-02;69;1;[1  2]
France - FR;FR-02;70;1;[1  2]
France - FR;FR-02;71;1;[1  2]
France - FR;FR-02;72;1;[1  2]
France - FR;FR-02;73;1;[1  2]
France - FR;FR-02;74;1;[1  2]
France - FR;FR-02;75;1;[1  2]
France - FR;FR-02;76;1;[1  2]
France - FR;FR-02;77;1;[1  2]
France - FR;FR-02;78;1;[1  2]
France - FR;FR-02;79;1;[1  2]
France - FR;FR-02;80;1;[1  2]
