Country;Video;Frame;Num_Groups;Groups
Portugal - PT;PT-01;1;1;[]
Portugal - PT;PT-01;2;1;[]
Portugal - PT;PT-01;3;1;[]
Portugal - PT;PT-01;4;1;[]
Portugal - PT;PT-01;5;1;[]
Portugal - PT;PT-01;6;1;[]
Portugal - PT;PT-01;7;1;[]
Portugal - PT;PT-01;8;1;[]
Portugal - PT;PT-01;9;1;[]
Portugal - PT;PT-01;10;1;[]
Portugal - PT;PT-01;11;1;[]
Portugal - PT;PT-01;12;1;[]
Portugal - PT;PT-01;13;1;[]
Portugal - PT;PT-01;14;1;[]
Portugal - PT;PT-01;15;1;[]
Portugal - PT;PT-01;16;1;[]
Portugal - PT;PT-01;17;1;[1  2]
Portugal - PT;PT-01;18;1;[1  2]
Portugal - PT;PT-01;19;1;[1  2]
Portugal - PT;PT-01;20;1;[]
Portugal - PT;PT-01;21;1;[]
Portugal - PT;PT-01;22;1;[]
Portugal - PT;PT-01;23;1;[]
Portugal - PT;PT-01;24;1;[]
Portugal - PT;PT-01;25;1;[]
Portugal - PT;PT-01;26;1;[]
Portugal - PT;PT-01;27;1;[]
Portugal - PT;PT-01;28;1;[]
Portugal - PT;PT-01;29;1;[]
Portugal - PT;PT-01;30;1;[]
Portugal - PT;PT-01;31;1;[]
Portugal - PT;PT-01;32;1;[]
Portugal - PT;PT-01;33;1;[]
Portugal - PT;PT-01;34;1;[]
Portugal - PT;PT-01;35;1;[]
Portugal - PT;PT-01;36;1;[]
Portugal - PT;PT-01;37;1;[]
Portugal - PT;PT-01;38;1;[]
Portugal - PT;PT-01;39;1;[]
Portugal - PT;PT-01;40;1;[1  5]
Portugal - PT;PT-01;41;1;[]
Portugal - PT;PT-01;42;1;[]
Portugal - PT;PT-01;43;1;[]
Portugal - PT;PT-01;44;1;[]
Portugal - PT;PT-01;45;1;[]
Portugal - PT;PT-01;46;1;[]
Portugal - PT;PT-01;47;1;[]
Portugal - PT;PT-01;48;1;[]
Portugal - PT;PT-01;49;1;[]
Portugal - PT;PT-01;50;1;[]
Portugal - PT;PT-01;51;1;[]
Portugal - PT;PT-01;52;1;[]
Portugal - PT;PT-01;53;1;[]
Portugal - PT;PT-01;54;1;[]
Portugal - PT;PT-01;55;1;[]
Portugal - PT;PT-01;56;1;[]
Portugal - PT;PT-01;57;1;[]
Portugal - PT;PT-01;58;1;[1  2]
Portugal - PT;PT-01;59;1;[1  2]
Portugal - PT;PT-01;60;1;[1  2]
Portugal - PT;PT-01;61;1;[1  2]
Portugal - PT;PT-01;62;1;[1  2]
Portugal - PT;PT-01;63;1;[1  2]
Portugal - PT;PT-01;64;1;[1  2]
Portugal - PT;PT-01;65;1;[1  2]
Portugal - PT;PT-01;66;1;[1  2]
Portugal - PT;PT-01;67;1;[1  2]
Portugal - PT;PT-01;68;1;[1  2]
Portugal - PT;PT-01;69;1;[1  2]
Portugal - PT;PT-01;70;1;[1  2]
Portugal - PT;PT-01;71;1;[1  2]
Portugal - PT;PT-01;72;1;[1  2]
Portugal - PT;PT-01;73;1;[1  2]
Portugal - PT;PT-01;74;1;[1  2]
Portugal - PT;PT-01;75;1;[1  2]
Portugal - PT;PT-01;76;1;[1  2]
Portugal - PT;PT-01;77;1;[1  2]
Portugal - PT;PT-01;78;1;[1  2]
Portugal - PT;PT-01;79;1;[1  2]
Portugal - PT;PT-01;80;1;[1  2]
Portugal - PT;PT-01;81;1;[1  2]
Portugal - PT;PT-01;82;1;[1  2]
Portugal - PT;PT-01;83;1;[1  2]
Portugal - PT;PT-01;84;1;[1  2]
Portugal - PT;PT-01;85;1;[1  2]
Portugal - PT;PT-01;86;1;[1  2]
Portugal - PT;PT-01;87;1;[1  2]
Portugal - PT;PT-01;88;1;[1  2]
Portugal - PT;PT-01;89;1;[1  2]
Portugal - PT;PT-01;90;1;[1  2]
Portugal - PT;PT-01;91;1;[1  2]
Portugal - PT;PT-01;92;1;[1  2]
Portugal - PT;PT-01;93;1;[1  2]
Portugal - PT;PT-01;94;1;[1  2]
Portugal - PT;PT-01;95;1;[1  2]
Portugal - PT;PT-01;96;1;[1  2]
Portugal - PT;PT-01;97;1;[1  2]
Portugal - PT;PT-01;98;1;[1  2]
Portugal - PT;PT-01;99;1;[1  2]
Portugal - PT;PT-01;100;1;[1  2]
Portugal - PT;PT-01;101;1;[1  2]
Portugal - PT;PT-01;102;1;[1  2]
Portugal - PT;PT-01;103;1;[1  2]
Portugal - PT;PT-01;104;1;[1  2]
Portugal - PT;PT-01;105;1;[1  2]
Portugal - PT;PT-01;106;1;[1  2]
Portugal - PT;PT-01;107;1;[1  2]
Portugal - PT;PT-01;108;1;[1  2]
