Country;Video;Frame;Num_Groups;Groups
Turkey - TR;TR-01;1;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;2;4;[1  2], [5  6], [12  13], [14  15]
Turkey - TR;TR-01;3;4;[5  6], [9  10], [14  15], [20  21]
Turkey - TR;TR-01;4;3;[9  10], [14  15], [20  21]
Turkey - TR;TR-01;5;6;[1  2], [5  6], [9  10], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;6;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;7;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;8;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;9;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;10;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;11;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;12;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;13;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;14;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;15;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;16;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;17;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;18;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;19;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;20;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;21;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;22;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [34  35]
Turkey - TR;TR-01;23;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;24;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;25;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;26;7;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21]
Turkey - TR;TR-01;27;8;[1  2], [5  6], [9  10], [11  37], [12  13], [14  15], [20  21], [39  40]
