Country;Video;Frame;Num_Groups;Groups
England - UK;UK-01;1;1;[3  10]
England - UK;UK-01;2;1;[]
England - UK;UK-01;3;1;[]
England - UK;UK-01;4;1;[]
England - UK;UK-01;5;1;[3  10]
England - UK;UK-01;6;1;[3  10]
England - UK;UK-01;7;1;[3  10]
England - UK;UK-01;8;1;[3  10]
England - UK;UK-01;9;1;[3  10]
England - UK;UK-01;10;1;[3  10]
England - UK;UK-01;11;1;[3  10]
England - UK;UK-01;12;1;[3   5  10]
England - UK;UK-01;13;1;[3  10]
England - UK;UK-01;14;1;[3  10]
England - UK;UK-01;15;1;[3  10]
England - UK;UK-01;16;1;[3   5  10]
England - UK;UK-01;17;1;[3   5  10]
England - UK;UK-01;18;1;[3   5  10]
England - UK;UK-01;19;1;[3   5  10]
England - UK;UK-01;20;1;[3   5  10]
England - UK;UK-01;21;1;[3   5  10]
England - UK;UK-01;22;1;[3   5  10]
England - UK;UK-01;23;1;[3   5  10]
England - UK;UK-01;24;1;[3   5  10]
England - UK;UK-01;25;1;[3   5  10]
England - UK;UK-01;26;1;[3  10]
England - UK;UK-01;27;1;[3  10]
England - UK;UK-01;28;1;[3  10]
England - UK;UK-01;29;1;[3  10]
England - UK;UK-01;30;1;[3  10]
England - UK;UK-01;31;1;[3  10]
England - UK;UK-01;32;1;[3  10]
England - UK;UK-01;33;2;[3  10], [6  8]
England - UK;UK-01;34;2;[3  10], [6  8]
England - UK;UK-01;35;2;[3   5  10], [6  8]
England - UK;UK-01;36;2;[3   5  10], [6  8]
England - UK;UK-01;37;2;[3   5  10], [6  8]
England - UK;UK-01;38;2;[3   5  10], [6  8]
England - UK;UK-01;39;2;[3  10], [6  8]
England - UK;UK-01;40;1;[3  10]
England - UK;UK-01;41;1;[3  10]
England - UK;UK-01;42;2;[3  10], [6  8]
England - UK;UK-01;43;2;[3  10], [6  8]
England - UK;UK-01;44;2;[3  10], [6  8]
England - UK;UK-01;45;2;[3  10], [6  8]
England - UK;UK-01;46;2;[3  10], [6  8]
England - UK;UK-01;47;2;[3  10], [6  8]
England - UK;UK-01;48;2;[3  10], [6  8]
England - UK;UK-01;49;2;[3  10], [6  8]
England - UK;UK-01;50;2;[3  10], [6  8]
England - UK;UK-01;51;2;[3  10], [6  8]
England - UK;UK-01;52;2;[3  10], [6  8]
England - UK;UK-01;53;2;[3  10], [6  8]
England - UK;UK-01;54;2;[3  10], [6  8]
England - UK;UK-01;55;2;[3  10], [6  8]
England - UK;UK-01;56;2;[3  10], [6  8]
England - UK;UK-01;57;2;[3  10], [6  8]
England - UK;UK-01;58;2;[3  10], [6  8]
England - UK;UK-01;59;2;[3  10], [6  8]
England - UK;UK-01;60;2;[3  10], [6  8]
England - UK;UK-01;61;2;[3  10], [6  8]
England - UK;UK-01;62;2;[3  10], [6  8]
England - UK;UK-01;63;2;[3  10], [6  8]
England - UK;UK-01;64;2;[3  10], [6  8]
England - UK;UK-01;65;2;[3  10], [6  8]
England - UK;UK-01;66;2;[3  10], [6  8]
England - UK;UK-01;67;2;[3  10], [6  8]
England - UK;UK-01;68;2;[3  10], [6  8]
England - UK;UK-01;69;2;[3  10], [6  8]
England - UK;UK-01;70;2;[3  10], [6  8]
England - UK;UK-01;71;2;[3  10], [6  8]
England - UK;UK-01;72;2;[3  10], [6  8]
England - UK;UK-01;73;2;[3  10], [6  8]
England - UK;UK-01;74;2;[3  10], [6  8]
England - UK;UK-01;75;2;[3  10], [6  8]
England - UK;UK-01;76;2;[3  10], [6  8]
England - UK;UK-01;77;2;[3  10], [6  8]
England - UK;UK-01;78;2;[3  10], [6  8]
England - UK;UK-01;79;2;[3  10], [6  8]
England - UK;UK-01;80;2;[3  10], [6  8]
England - UK;UK-01;81;2;[3  10], [6  8]
England - UK;UK-01;82;2;[3  10], [6  8]
England - UK;UK-01;83;2;[3  10], [6  8]
England - UK;UK-01;84;2;[3  10], [6  8]
England - UK;UK-01;85;2;[3  10], [6  8]
England - UK;UK-01;86;2;[3  10], [6  8]
England - UK;UK-01;87;2;[3  10], [6  8]
England - UK;UK-01;88;2;[3  10], [6  8]
England - UK;UK-01;89;2;[3  10], [6  8]
England - UK;UK-01;90;2;[3  10], [6  8]
England - UK;UK-01;91;2;[3  10], [6  8]
England - UK;UK-01;92;2;[3  10], [6  8]
England - UK;UK-01;93;2;[3  10], [6  8]
England - UK;UK-01;94;2;[3  10], [6  8]
England - UK;UK-01;95;2;[3  10], [6  8]
England - UK;UK-01;96;2;[3  10], [6  8]
England - UK;UK-01;97;2;[3  10], [6  8]
England - UK;UK-01;98;2;[3  10], [6  8]
England - UK;UK-01;99;2;[3  10], [6  8]
England - UK;UK-01;100;2;[3  10], [6  8]
England - UK;UK-01;101;2;[3  10], [6  8]
England - UK;UK-01;102;2;[3  10], [6  8]
