Country;Video;Frame;Num_Groups;Groups
Unknown - UKN;UKN-02;1;4;[1  2], [5  25], [8  9], [10  15  24  26]
Unknown - UKN;UKN-02;2;1;[1  2]
Unknown - UKN;UKN-02;3;1;[]
Unknown - UKN;UKN-02;4;1;[]
Unknown - UKN;UKN-02;5;2;[8  9], [15  24]
Unknown - UKN;UKN-02;6;2;[8  9], [15  24]
Unknown - UKN;UKN-02;7;2;[8  9], [15  24]
Unknown - UKN;UKN-02;8;2;[8  9], [15  24]
Unknown - UKN;UKN-02;9;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;10;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;11;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;12;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;13;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;14;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;15;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;16;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;17;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;18;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;19;4;[1  2], [8  9], [11  13], [15  24]
Unknown - UKN;UKN-02;20;4;[1  2], [8  9], [11  13], [15  24]
Unknown - UKN;UKN-02;21;4;[1  2], [8  9], [11  13], [15  24]
Unknown - UKN;UKN-02;22;4;[1  2], [8  9], [11  13], [15  24]
Unknown - UKN;UKN-02;23;4;[1  2], [8  9], [10  15  24], [11  13]
Unknown - UKN;UKN-02;24;4;[1  2], [8  9], [10  15  24], [11  13]
Unknown - UKN;UKN-02;25;4;[1  2], [8  9], [11  13], [15  24]
Unknown - UKN;UKN-02;26;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;27;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;28;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;29;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;30;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;31;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;32;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;33;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;34;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;35;3;[1  2], [8  9], [15  24]
Unknown - UKN;UKN-02;36;3;[1  2], [8  9], [15  24]
