Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
United Arab Emirates (Dubai) - AE;AE-01;1;1;494;197;1584;1584;yes;1.3553;0;10.06;5.3685;0.44431;0;0.22054;0.2;72;0;1;-1;1;45.5417;80.5833;28.075;76.0418;107.5488;1;0.25;0.47222;1;0
United Arab Emirates (Dubai) - AE;AE-01;1;2;411;176;1349;1349;yes;0;0;7.6367;3.1597;0.54372;0;0.184;0.4;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;1;0;0.29167;1;0
United Arab Emirates (Dubai) - AE;AE-01;1;3;111;157;502;502;yes;1.2778;0;8.0467;1.7251;0.26821;0.016258;0.10599;0.6;72;-1;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;1;1;0.11111;0;1
United Arab Emirates (Dubai) - AE;AE-01;1;4;82;212;553;553;yes;1.3171;0;8.2567;3.8642;0.48941;0;0.20441;0.6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;1;0.5;0.34722;0.5;0.41667
United Arab Emirates (Dubai) - AE;AE-01;1;5;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;0.25;0.5;0.23611;0.75;0.16667
United Arab Emirates (Dubai) - AE;AE-01;1;6;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;0.25;0.75;0.31944;0.5;0.41667
United Arab Emirates (Dubai) - AE;AE-01;1;7;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;0.25;0.5;0.23611;0.75;0.16667
United Arab Emirates (Dubai) - AE;AE-01;1;8;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;0;0.75;0.52778;0;1
United Arab Emirates (Dubai) - AE;AE-01;1;9;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-6;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;0.25;0.5;0.375;0.75;0.16667
United Arab Emirates (Dubai) - AE;AE-01;1;10;276;173;987;987;yes;1.6289;0;6.425;5.1568;0.42124;0;1;0.2;72;0;1;-1;1;45.5417;80.5833;28.075;76.0418;107.5488;0.75;0.75;0.73611;0.25;0.58333
United Arab Emirates (Dubai) - AE;AE-01;1;11;109;155;491;491;yes;3.4553;0;8.17;2.846;0.028372;0.016258;0.11027;0.6;72;1;-1;0;0;45.5417;80.5833;28.075;76.0418;107.5488;1;1;0.40278;0;1
United Arab Emirates (Dubai) - AE;AE-01;1;12;380;217;1318;1318;yes;0;0;7.4983;2.8439;0.54372;0;0.14747;0.4;72;-3;-3;2;-2;45.5417;80.5833;28.075;76.0418;107.5488;1;0.25;0.45833;1;0
