Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Brazil - BR;BR-05;1;1;399;373;742;742;yes;1.6007;0;8.6111;1.4933;0.31905;0.00022698;0.086547;0.30769;190;0;-1;1;-1;46.6468;91.6786;32.919;83.1274;134.7596;1;1;0.47222;1;0
Brazil - BR;BR-05;1;2;459;391;880;880;yes;4.6053;0;8.1078;0.60302;0.19171;0.0001542;0.10669;0.5;190;-1;-3;2;-2;46.6468;91.6786;32.919;83.1274;134.7596;1;1;0.23611;0.25;0.5
Brazil - BR;BR-05;1;3;359;427;608;608;yes;0.29422;0;9.1452;0.69609;0.22377;0.00043948;0.063097;0.23077;190;2;1;-1;1;46.6468;91.6786;32.919;83.1274;134.7596;0;0.75;0.26389;1;0
Brazil - BR;BR-05;1;4;337;468;530;530;yes;0.74432;0;9.5078;0.75976;0.27615;0.00071142;0.050331;0.19231;190;2;1;-1;1;46.6468;91.6786;32.919;83.1274;134.7596;0.25;0.75;0.23611;0.75;0.16667
Brazil - BR;BR-05;1;5;358;532;543;543;yes;0.67092;0;9.4878;1.4935;0.26088;0.00066371;0.051124;0.19231;190;2;1;-1;1;46.6468;91.6786;32.919;83.1274;134.7596;0.75;0.25;0.27778;0;0.75
Brazil - BR;BR-05;1;6;476;735;694;694;yes;2.4826;0;9.1574;4.0878;0.21357;0;0.10754;0.30769;190;2;1;-1;1;46.6468;91.6786;32.919;83.1274;134.7596;1;0.25;0.25;0;1
Brazil - BR;BR-05;1;7;755;678;1371;1371;yes;0.9304;0;7.1085;2.097;0.29166;0.002593;0.096616;0.38462;190;-1;-3;2;-2;46.6468;91.6786;32.919;83.1274;134.7596;1;0.75;0.27778;1;0
Brazil - BR;BR-05;1;8;739;650;1357;1357;yes;3.1797;0;7.0733;0.52476;0.14233;0.0026412;0.091719;0.38462;190;2;1;-1;1;46.6468;91.6786;32.919;83.1274;134.7596;1;0.75;0.23611;0.5;0.41667
Brazil - BR;BR-05;1;9;760;573;1476;1476;yes;1.4711;0;6.79;0.97009;0.32605;0.00020453;0.086578;0.38462;190;-1;-3;2;-2;46.6468;91.6786;32.919;83.1274;134.7596;1;0.75;0.22222;0.5;0.41667
Brazil - BR;BR-05;1;10;618;420;1259;1259;yes;1.3987;0;7.0141;1.0505;0.31452;0;0.087423;0.42308;190;-1;-3;2;-2;46.6468;91.6786;32.919;83.1274;134.7596;0;0;0.16667;0.5;0.5
