Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Turkey - TR;TR-01;1;1;268;133;376;376;yes;0.75632;0;6.2461;4.3329;0.61713;0;0.19491;0.18182;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.30556;1;0.16667
Turkey - TR;TR-01;1;2;229;119;322;322;yes;0.75632;0;6.7787;4.6531;0.61713;0;0.18358;0.18182;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.29167;1;0.16667
Turkey - TR;TR-01;1;3;407;102;456;456;yes;2.1392;0;5.727;4.2409;0.43731;0;0.20358;0.18182;68;2;1;-1;1;59.1567;94.3171;25.9383;59.2341;67.6215;1;1;0.30556;1;0.16667
Turkey - TR;TR-01;1;4;495;90;519;519;yes;1.5126;0;5.7191;2.6479;0.59788;0;0.16503;0.18182;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.44444;1;0.16667
Turkey - TR;TR-01;1;5;550;151;649;649;yes;1.3529;0;5.05;2.3378;0.62934;0;0.1883;0.31818;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.75;0.44444;1;0.16667
Turkey - TR;TR-01;1;6;584;179;715;715;yes;1.3529;0;4.9796;1.9881;0.62934;0;0.18289;0.31818;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.47222;1;0
Turkey - TR;TR-01;1;7;445;295;734;734;yes;1.6912;0;4.9078;4.2023;0.51442;0;0.1917;0.31818;68;-1;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;1;0.25;0.75;0.33333
Turkey - TR;TR-01;1;8;320;350;695;695;yes;0.67647;0;5.8674;6.1627;0.60475;0;0.22132;0.22727;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.29167;1;0.16667
Turkey - TR;TR-01;1;9;500;344;835;835;yes;0;0;5.2204;2.0357;0.69752;0;0.16345;0.36364;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.65278;0;0.75
Turkey - TR;TR-01;1;10;536;375;897;897;yes;1.0696;0;5.6243;2.8592;0.25517;0;0.15447;0.31818;68;1;-1;0;0;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.75;0.69444;0.25;0.5
Turkey - TR;TR-01;1;11;609;275;849;849;yes;1.0696;0;5.043;1.4946;0.27632;0.0010256;0.17562;0.5;68;1;-1;0;0;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.16667;0;0.91667
Turkey - TR;TR-01;1;12;628;341;937;937;yes;0.67647;0;5.6552;1.1917;0.60475;0.0006076;0.16764;0.40909;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.29167;1;0.16667
Turkey - TR;TR-01;1;13;647;364;976;976;yes;1.3946;0;6.053;5.053;0.63339;0.0006076;0.17553;0.36364;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.29167;1;0.16667
Turkey - TR;TR-01;1;14;775;261;975;975;yes;1.3946;0;6.78;3.6689;0.63339;0;0.20408;0.27273;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.75;0.30556;1;0.16667
Turkey - TR;TR-01;1;15;746;247;935;935;yes;1.3946;0;6.3552;2.5941;0.63339;0;0.20755;0.36364;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.30556;1;0.16667
Turkey - TR;TR-01;1;16;759;108;784;784;yes;0.95667;0;7.3474;4.1817;0.4609;0;0.19296;0.18182;68;2;1;-1;1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.58333;1;0.16667
Turkey - TR;TR-01;1;17;686;90;694;694;yes;1.3529;0;6.6826;2.0866;0.62934;0;0.17264;0.22727;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.75;1;0
Turkey - TR;TR-01;1;18;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0;0.40278;1;0.16667
Turkey - TR;TR-01;1;19;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.58333;1;0
Turkey - TR;TR-01;1;20;104;289;446;446;yes;1.3946;0;7.5235;2.6986;0.63339;0.00053423;0.18063;0.18182;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.29167;1;0.16667
Turkey - TR;TR-01;1;21;134;300;484;484;yes;1.0696;0;7.1913;4.5033;0.57908;0.00053423;0.18868;0.18182;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.5;0.29167;1;0.16667
Turkey - TR;TR-01;1;22;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.5;0.58333;1;0
Turkey - TR;TR-01;1;23;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0;0.72222;1;0
Turkey - TR;TR-01;1;24;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.5;0.875;1;0
Turkey - TR;TR-01;1;25;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.73611;1;0
Turkey - TR;TR-01;1;26;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0;0.40278;1;0.16667
Turkey - TR;TR-01;1;27;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0;0.26389;1;0.16667
Turkey - TR;TR-01;1;28;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.41667;1;0.16667
Turkey - TR;TR-01;1;29;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.41667;1;0.16667
Turkey - TR;TR-01;1;30;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0;0.75;0.73611;0;0.83333
Turkey - TR;TR-01;1;31;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.75;0.11111;0;1
Turkey - TR;TR-01;1;32;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.77778;0.25;0.5
Turkey - TR;TR-01;1;33;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0;0.63889;0.25;0.5
Turkey - TR;TR-01;1;34;72;150;227;227;yes;0;0;8.4796;2.3397;0.69752;0.00036584;0.20113;0.18182;68;-2;-1;1;-1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.33333;0;0.75
Turkey - TR;TR-01;1;35;92;168;270;270;yes;0.67647;0;8.0152;2.2972;0.28479;0.00036584;0.19502;0.22727;68;2;1;-1;1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.47222;0;0.75
Turkey - TR;TR-01;1;36;226;473;754;754;yes;0.67647;0;7.8261;3.4184;0.28479;0;0.20906;0.090909;68;2;1;-1;1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.63889;0;0.75
Turkey - TR;TR-01;1;37;587;258;809;809;yes;0.67647;0;4.8613;1.5848;0.38437;0.0010256;0.18121;0.5;68;-1;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;1;0.25;0.29167;0;0.91667
Turkey - TR;TR-01;1;38;666;40;606;606;yes;0.33824;0;7.4304;2.5983;0.25963;0;0.15547;0.13636;68;2;1;-1;1;59.1567;94.3171;25.9383;59.2341;67.6215;1;0;0.58333;1;0
Turkey - TR;TR-01;1;39;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0;0.25;0.30556;0;0.75
Turkey - TR;TR-01;1;40;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0;0;0.125;0;0.91667
Turkey - TR;TR-01;1;41;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-23;68;-3;-3;2;-2;59.1567;94.3171;25.9383;59.2341;67.6215;0.25;0.25;0.875;1;0
