Country;Video;Frame;Agent_id;Pos_X;Pos_Y;Pos_X_Perspectiva;Pos_Y_Perspectiva;Active;Velocity;Direction;Dist_from_others;Area_around;Collectivity;Disturbance;Isolation;Socialization;Px_to_m_factor;Emotion_Anger;Emotion_Fear;Emotion_Happiness;Emotion_Sadness;Hofstede_PDI;Hofstede_IDV;Hofstede_MAS;Hofstede_LTO;Hofstede_IND;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism
Unknown - UKN;UKN-01;1;1;386;507;245;245;yes;0.57144;0;5.0386;7.8803;0.06419;0;0.26475;0.23077;90;2;1;-1;1;77.3333;90.68;26.2634;77.2981;79.3407;1;0;0.26389;0;1
Unknown - UKN;UKN-01;1;2;612;596;364;364;yes;2.3561;0;5.3043;3.2661;0.05689;0;0.27392;0.30769;90;2;1;-1;1;77.3333;90.68;26.2634;77.2981;79.3407;1;0.75;0.15278;0;1
Unknown - UKN;UKN-01;1;3;744;499;533;533;yes;0.92142;0;4.8014;4.2144;0.56228;0;0.27349;0.53846;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;1;0.38889;1;0.41667
Unknown - UKN;UKN-01;1;4;747;402;623;623;yes;0.57144;0;4.2971;2.3037;0.65652;0;0.24927;0.61538;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;1;0.88889;1;0
Unknown - UKN;UKN-01;1;5;854;371;754;754;yes;0.92142;0;4.9993;2.7256;0.66098;0;0.19033;0.38462;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;1;0.56944;1;0.16667
Unknown - UKN;UKN-01;1;6;841;307;822;822;yes;0.25556;0;5.0671;4.3438;0.56748;0;0.22814;0.38462;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.5;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;7;681;287;685;685;yes;0.51111;0;3.9057;4.9582;0.64414;0;0.2644;0.61538;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.5;0.88889;1;0
Unknown - UKN;UKN-01;1;8;544;237;601;601;yes;0.36141;0;3.65;3.2033;0.54482;0;0.27881;0.53846;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.5;0.70833;1;0.16667
Unknown - UKN;UKN-01;1;9;413;294;411;411;yes;1.0222;0;3.7443;2.0517;0.67603;0;0.24057;0.46154;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.75;0.56944;1;0.16667
Unknown - UKN;UKN-01;1;10;309;244;349;349;yes;1.7143;0;4.4464;5.0828;0.52573;0;0.26303;0.53846;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.75;0.20833;1;0.58333
Unknown - UKN;UKN-01;1;11;344;180;444;444;yes;1.5545;0;4.5507;1.0607;0.58808;0;0.2179;0.46154;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.75;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;12;323;126;478;478;yes;1.5545;0;5.4343;3.3083;0.5444;0;0.18999;0.30769;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.5;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;13;401;108;597;597;yes;0.57144;0;5.3286;2.0553;0.50851;0;0.24331;0.38462;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.5;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;14;523;66;823;823;yes;0.76667;0;6.3764;3.7984;0.67709;0;0.25823;0.15385;90;-2;-1;1;-1;77.3333;90.68;26.2634;77.2981;79.3407;1;0.75;0.20833;0.75;0.58333
Unknown - UKN;UKN-01;1;15;459;351;407;407;yes;1.3762;0;3.75;3.3326;0.51712;0;0.28254;0.61538;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;1;0.25;0.88889;1;0
Unknown - UKN;UKN-01;1;16;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0;0.5;0.375;1;0.41667
Unknown - UKN;UKN-01;1;17;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0;1;0.18056;0.75;0.58333
Unknown - UKN;UKN-01;1;18;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0;0.75;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;19;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0;0.75;0.18056;1;0.58333
Unknown - UKN;UKN-01;1;20;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0;1;0.18056;1;0.58333
Unknown - UKN;UKN-01;1;21;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0.25;0.75;0.18056;1;0.58333
Unknown - UKN;UKN-01;1;22;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0.25;0.5;0.19444;1;0.58333
Unknown - UKN;UKN-01;1;23;-666;-666;-666;-666;no;-666;-666;NaN;-666;NaN;-666;-666;-14;90;-3;-3;2;-2;77.3333;90.68;26.2634;77.2981;79.3407;0.25;0.25;0.11111;0.25;0.91667
